sample,region,movement_input,action_or_upload,frame_ms,walk_cpu_ms,upload_cpu_ms
0,creek,1,0,0.010000,2.000000,0.000000
1,creek,1,0,0.010000,2.000000,0.000000
2,creek,1,0,0.010000,2.000000,0.000000
3,creek,1,0,0.010000,2.000000,0.000000
4,creek,1,0,0.010000,2.000000,0.000000
5,creek,1,0,0.010000,2.000000,0.000000
6,creek,1,0,0.010000,2.000000,0.000000
7,creek,1,0,0.010000,2.000000,0.000000
8,creek,1,0,0.010000,2.000000,0.000000
9,creek,1,0,0.010000,2.000000,0.000000
10,creek,1,0,0.010000,2.000000,0.000000
11,creek,1,0,0.010000,2.000000,0.000000
12,creek,1,0,0.010000,2.000000,0.000000
13,creek,1,0,0.010000,2.000000,0.000000
14,creek,1,0,0.010000,2.000000,0.000000
15,creek,1,0,0.010000,2.000000,0.000000
16,creek,1,0,0.010000,2.000000,0.000000
17,creek,1,0,0.010000,2.000000,0.000000
18,creek,1,0,0.010000,2.000000,0.000000
19,creek,1,0,0.010000,2.000000,0.000000
20,creek,1,0,0.010000,2.000000,0.000000
21,creek,1,0,0.010000,2.000000,0.000000
22,creek,1,0,0.010000,2.000000,0.000000
23,creek,1,0,0.010000,2.000000,0.000000
24,creek,1,0,0.010000,2.000000,0.000000
25,creek,1,0,0.010000,2.000000,0.000000
26,creek,1,0,0.010000,2.000000,0.000000
27,creek,1,0,0.010000,2.000000,0.000000
28,creek,1,0,0.010000,2.000000,0.000000
29,creek,1,0,0.010000,2.000000,0.000000
30,creek,1,0,0.010000,2.000000,0.000000
31,creek,1,0,0.010000,2.000000,0.000000
32,creek,1,0,0.010000,2.000000,0.000000
33,creek,1,0,0.010000,2.000000,0.000000
34,creek,1,0,0.010000,2.000000,0.000000
35,creek,1,0,0.010000,2.000000,0.000000
36,creek,1,0,0.010000,2.000000,0.000000
37,creek,1,0,0.010000,2.000000,0.000000
38,creek,1,0,0.010000,2.000000,0.000000
39,creek,1,0,0.010000,2.000000,0.000000
40,creek,1,0,0.010000,2.000000,0.000000
41,creek,1,0,0.010000,2.000000,0.000000
42,creek,1,0,0.010000,2.000000,0.000000
43,creek,1,0,0.010000,2.000000,0.000000
44,creek,1,0,0.010000,2.000000,0.000000
45,creek,1,0,0.010000,2.000000,0.000000
46,creek,1,0,0.010000,2.000000,0.000000
47,creek,1,0,0.010000,2.000000,0.000000
48,creek,1,0,0.010000,2.000000,0.000000
49,creek,1,0,0.010000,2.000000,0.000000
50,creek,1,0,0.010000,2.000000,0.000000
51,creek,1,0,0.010000,2.000000,0.000000
52,creek,1,0,0.010000,2.000000,0.000000
53,creek,1,0,0.010000,2.000000,0.000000
54,creek,1,0,0.010000,2.000000,0.000000
55,creek,1,0,0.010000,2.000000,0.000000
56,creek,1,0,0.010000,2.000000,0.000000
57,creek,1,0,0.010000,2.000000,0.000000
58,creek,1,0,0.010000,2.000000,0.000000
59,creek,1,0,0.010000,2.000000,0.000000
60,creek,1,0,0.010000,2.000000,0.000000
61,creek,1,0,0.010000,2.000000,0.000000
62,creek,1,0,0.010000,2.000000,0.000000
63,creek,1,0,0.010000,2.000000,0.000000
64,creek,1,0,0.010000,2.000000,0.000000
65,creek,1,0,0.010000,2.000000,0.000000
66,creek,1,0,0.010000,2.000000,0.000000
67,creek,1,0,0.010000,2.000000,0.000000
68,creek,1,0,0.010000,2.000000,0.000000
69,creek,1,0,0.010000,2.000000,0.000000
70,creek,1,0,0.010000,2.000000,0.000000
71,creek,1,0,0.010000,2.000000,0.000000
72,creek,1,0,0.010000,2.000000,0.000000
73,creek,1,0,0.010000,2.000000,0.000000
74,creek,1,0,0.010000,2.000000,0.000000
75,creek,1,0,0.010000,2.000000,0.000000
76,creek,1,0,0.010000,2.000000,0.000000
77,creek,1,0,0.010000,2.000000,0.000000
78,creek,1,0,0.010000,2.000000,0.000000
79,creek,1,0,0.010000,2.000000,0.000000
80,creek,1,0,0.010000,2.000000,0.000000
81,creek,1,0,0.010000,2.000000,0.000000
82,creek,1,0,0.010000,2.000000,0.000000
83,creek,1,0,0.010000,2.000000,0.000000
84,creek,1,0,0.010000,2.000000,0.000000
85,creek,1,0,0.010000,2.000000,0.000000
86,creek,1,0,0.010000,2.000000,0.000000
87,creek,1,0,0.010000,2.000000,0.000000
88,creek,1,0,0.010000,2.000000,0.000000
89,creek,1,0,0.010000,2.000000,0.000000
90,creek,1,0,0.010000,2.000000,0.000000
91,creek,1,0,0.010000,2.000000,0.000000
92,creek,1,0,0.010000,2.000000,0.000000
93,creek,1,0,0.010000,2.000000,0.000000
94,creek,1,0,0.010000,2.000000,0.000000
95,creek,1,0,0.010000,2.000000,0.000000
96,creek,1,0,0.010000,2.000000,0.000000
97,creek,1,0,0.010000,2.000000,0.000000
98,creek,1,0,0.010000,2.000000,0.000000
99,creek,1,0,0.010000,2.000000,0.000000
100,creek,1,0,0.010000,2.000000,0.000000
101,creek,1,0,0.010000,2.000000,0.000000
102,creek,1,0,0.010000,2.000000,0.000000
103,creek,1,0,0.010000,2.000000,0.000000
104,creek,1,0,0.010000,2.000000,0.000000
105,creek,1,0,0.010000,2.000000,0.000000
106,creek,1,0,0.010000,2.000000,0.000000
107,creek,1,0,0.010000,2.000000,0.000000
108,creek,1,0,0.010000,2.000000,0.000000
109,creek,1,0,0.010000,2.000000,0.000000
