sample,region,movement_input,action_or_upload,frame_ms,walk_cpu_ms,upload_cpu_ms
0,lab,1,0,16.957000,0.780300,0.342000
1,lab,1,0,15.087000,1.023900,0.002100
2,lab,1,0,16.868999,0.623500,0.002300
3,lab,1,0,16.363000,1.188000,0.002100
4,lab,1,0,16.903000,1.310200,0.002000
5,lab,1,0,16.452000,2.490100,0.002100
6,lab,1,0,16.673001,0.968600,0.001900
7,lab,1,0,16.593000,0.809000,0.272000
8,lab,1,0,16.572000,0.980200,0.002200
9,lab,1,0,16.663000,1.224900,0.002100
10,lab,1,0,17.174000,0.962500,0.001800
11,lab,1,0,16.355000,0.943100,0.001900
12,lab,1,0,16.582001,1.059800,0.002100
13,lab,1,0,16.518001,1.081500,0.002000
14,lab,1,0,16.926000,2.406400,0.270500
15,lab,1,0,16.493000,1.150000,0.001800
16,lab,1,0,16.434999,1.055000,0.001900
17,lab,1,0,16.628999,0.954400,0.001800
18,lab,1,0,16.344000,0.939700,0.001900
19,lab,1,0,17.122999,1.015100,0.001800
20,lab,1,0,15.919000,0.897700,0.001800
21,lab,1,0,16.647000,0.953400,0.002500
22,lab,1,0,16.237000,1.631700,0.270200
23,lab,1,0,16.524000,0.561500,0.001900
24,lab,1,0,16.344000,1.212200,0.001900
25,lab,1,0,15.592000,1.192500,0.001900
26,lab,1,0,16.155001,1.095000,0.001800
27,lab,1,0,14.500000,1.441100,0.001900
28,lab,1,0,15.275000,1.361200,0.002000
29,lab,1,0,16.465001,1.131500,0.287500
30,lab,1,0,15.748000,1.178500,0.002600
31,lab,1,0,15.836000,1.109900,0.002100
32,lab,1,0,15.635001,1.247800,0.002200
33,lab,1,0,16.455000,1.121400,0.001900
34,lab,1,0,16.504999,0.520200,0.001900
35,lab,1,0,16.535999,0.392000,0.001900
36,outer,1,0,16.506001,0.600000,0.274400
37,outer,1,0,16.441999,0.498000,0.001900
38,outer,1,0,16.012000,0.348000,0.002000
39,outer,1,0,15.879000,0.087400,0.001900
40,outer,1,0,16.385000,0.174300,0.001800
41,outer,1,0,15.800001,0.086100,0.001900
42,outer,1,0,17.124001,0.032100,0.001900
43,outer,1,0,16.307000,0.032500,0.271600
44,outer,1,0,14.936000,0.032200,0.001900
45,outer,1,0,16.187999,0.030600,0.001900
46,outer,1,0,16.666001,0.031600,0.002000
47,outer,1,0,15.907999,0.031700,0.001700
48,outer,1,0,16.347000,0.032900,0.002000
49,outer,1,0,16.221000,0.033200,0.002000
50,outer,1,0,16.927000,0.030700,0.002000
51,outer,1,0,16.311001,0.062100,0.003700
52,outer,1,0,16.287001,0.033300,0.002100
53,outer,1,0,15.821999,0.036200,0.002300
54,outer,1,0,16.764000,0.034800,0.002200
55,outer,1,0,16.652999,0.032100,0.002100
56,outer,1,0,15.814001,0.032400,0.002100
57,outer,1,0,16.524000,0.032400,0.002100
58,outer,1,0,14.450000,0.032300,0.001900
59,outer,1,0,16.426001,0.032100,0.001900
60,outer,1,0,15.610000,0.033500,0.002300
61,outer,1,0,16.144000,0.033800,0.002100
62,outer,1,0,15.729999,0.034500,0.002000
63,outer,1,0,16.159000,0.032900,0.002000
64,outer,1,0,15.841000,0.032600,0.002000
65,outer,1,0,16.659001,0.032300,0.002200
66,outer,1,0,14.916000,0.029300,0.002000
67,outer,1,0,16.395999,0.029200,0.002000
68,outer,1,0,15.805000,0.029500,0.002000
69,outer,1,0,15.556000,0.029800,0.002000
70,outer,1,0,16.067000,0.028200,0.002200
71,outer,1,0,15.857000,0.028000,0.001900
72,outer,1,0,16.860999,0.028800,0.002000
73,outer,1,0,15.573000,0.043900,0.002200
74,outer,1,0,15.998000,0.024800,0.002400
75,outer,1,0,16.956000,0.023500,0.002000
76,outer,1,0,16.192000,0.024200,0.002000
77,outer,1,0,16.264999,0.030800,0.001900
78,outer,1,0,16.277000,0.023900,0.001800
79,outer,1,0,16.597999,0.023600,0.001900
80,outer,1,0,15.939001,0.033500,0.002100
81,outer,1,0,16.221000,0.025100,0.002100
82,outer,1,0,16.215000,0.033600,0.002300
83,outer,1,0,16.091999,0.030400,0.002300
84,outer,1,0,16.302001,0.033600,0.001900
85,outer,1,0,15.828000,0.032400,0.001900
86,outer,1,0,16.048001,0.034700,0.002000
87,outer,1,0,16.222000,0.032800,0.002000
88,outer,1,0,16.298000,0.032100,0.002000
89,outer,1,0,16.952999,0.034000,0.002000
90,outer,1,0,16.596001,0.032900,0.001800
91,outer,1,0,16.438998,0.036100,0.002200
92,outer,1,0,16.168000,0.034600,0.002300
93,outer,1,0,16.520001,0.034800,0.002000
94,outer,1,0,16.566999,0.034000,0.002200
95,outer,1,0,16.223000,0.036600,0.002100
96,outer,1,0,16.697999,0.041400,0.002200
97,outer,1,0,16.817000,0.036400,0.002100
98,outer,1,0,16.481001,0.065800,0.003800
99,outer,1,0,15.975000,0.035800,0.002100
100,outer,1,0,16.938999,0.035100,0.002300
101,outer,1,0,16.084000,0.032400,0.002000
102,outer,1,0,16.694000,0.032400,0.002100
103,outer,1,0,15.975000,0.033300,0.001900
104,outer,1,0,16.875001,0.032300,0.001900
105,outer,1,0,16.465999,0.032900,0.002000
106,outer,1,0,17.362000,0.143000,0.002200
107,outer,1,0,15.659999,0.031200,0.001900
108,outer,1,0,16.796000,0.032600,0.001800
109,outer,1,0,16.590999,0.033600,0.001800
110,outer,1,0,16.076000,0.031600,0.001900
111,outer,1,0,17.113000,0.031500,0.001800
112,outer,1,0,17.194999,0.040400,0.002400
113,outer,1,0,16.672000,0.035100,0.002600
114,outer,1,0,15.737999,0.033100,0.002200
115,outer,1,0,15.687000,0.032500,0.002100
116,outer,1,0,16.508000,0.030700,0.002000
117,outer,1,0,16.789000,0.030500,0.002000
118,outer,1,0,15.778000,0.030200,0.002100
119,outer,1,0,15.659999,0.029200,0.001800
120,outer,1,0,16.417999,0.026900,0.002300
121,outer,1,0,15.845001,0.032200,0.002300
122,outer,1,0,17.244000,0.029600,0.002100
123,outer,1,0,16.040999,0.028000,0.002300
124,outer,1,0,16.858999,0.027200,0.002300
125,outer,1,0,16.599001,0.026000,0.002200
126,outer,1,0,16.658001,0.026700,0.002000
127,outer,1,0,16.363000,0.026000,0.001900
128,outer,1,0,16.962999,0.025600,0.001900
129,outer,1,0,16.383000,0.025300,0.001900
130,outer,1,0,16.646000,0.025900,0.002000
131,outer,1,0,16.985001,0.025200,0.001900
132,outer,1,0,16.479000,0.025100,0.001900
133,outer,1,0,16.520999,0.025700,0.001900
134,outer,1,0,16.623000,0.025700,0.001900
135,outer,1,0,16.774001,0.025300,0.001800
136,outer,1,0,16.375000,0.030900,0.001900
137,outer,1,0,16.726000,0.030900,0.001900
138,outer,1,0,16.985999,0.030400,0.001900
139,outer,1,0,16.578000,0.031000,0.001800
140,outer,1,0,16.115000,0.030400,0.001900
141,outer,1,0,16.462000,0.031100,0.001900
142,lab,1,0,15.781000,0.040900,0.002000
143,lab,1,0,16.535999,0.045300,0.002000
144,lab,1,0,16.757999,0.049900,0.001900
145,lab,1,0,16.283002,0.050100,0.001900
146,lab,1,0,16.215999,0.050900,0.002000
147,lab,1,0,16.479999,0.049900,0.001900
148,lab,1,0,16.347999,0.050300,0.001900
149,lab,1,0,16.594999,0.052400,0.001900
150,lab,1,0,16.935000,0.057400,0.001900
151,lab,1,0,16.353000,0.059800,0.001900
152,lab,1,0,17.312000,0.060200,0.002500
153,lab,1,0,15.953001,0.064000,0.002400
154,lab,1,0,16.528999,0.066000,0.002500
155,lab,1,0,16.323000,0.065100,0.002300
156,lab,1,0,16.791999,0.061700,0.001800
157,lab,1,0,16.450999,0.064400,0.001900
158,lab,1,0,16.634000,0.066100,0.001800
159,lab,1,0,16.738001,0.083800,0.002000
160,lab,1,0,16.767001,0.067700,0.002000
161,lab,1,0,16.349001,0.074800,0.001800
162,lab,1,0,17.400999,0.937800,0.279400
163,lab,1,0,16.047001,0.354200,0.002300
164,lab,1,0,16.937999,0.328900,0.001900
165,outer,1,0,16.569000,0.168400,0.002000
166,outer,1,0,16.826000,0.083700,0.002200
167,outer,1,0,15.947999,0.058300,0.001800
168,outer,1,0,16.816000,0.028500,0.001900
169,outer,1,0,16.687000,0.027400,0.272400
170,outer,1,0,16.743001,0.027200,0.001900
171,outer,1,0,16.716000,0.026600,0.001700
172,outer,1,0,16.743999,0.030000,0.002200
173,outer,1,0,16.278999,0.028300,0.002200
174,outer,1,0,16.868999,0.027900,0.002100
175,outer,1,0,16.952001,0.027000,0.001900
176,outer,1,0,16.068000,0.031800,0.002400
177,outer,1,0,16.434999,0.027700,0.002200
178,outer,1,0,15.846999,0.031400,0.002100
179,outer,1,0,16.599001,0.030600,0.002300
180,outer,1,0,15.400000,0.031800,0.002000
181,outer,1,0,16.472001,0.031600,0.001800
182,outer,1,0,16.350999,0.031100,0.002000
183,outer,1,0,15.889000,0.030400,0.002000
184,outer,1,0,17.132999,0.030100,0.002000
185,outer,1,0,16.059000,0.032500,0.002100
186,outer,1,0,16.271999,0.031000,0.002000
187,outer,1,0,16.319001,0.032800,0.003100
188,outer,1,0,16.374001,0.027400,0.001900
189,outer,1,0,16.554002,0.028100,0.001900
190,outer,1,0,16.462998,0.028000,0.001900
191,outer,1,0,16.569000,0.024000,0.001900
192,outer,1,0,16.666999,0.026500,0.001800
193,outer,1,0,16.146999,0.026000,0.001900
194,outer,1,0,16.961001,0.031000,0.001900
195,outer,1,0,15.977001,0.025600,0.001900
196,outer,1,0,16.672000,0.025300,0.001800
197,outer,1,0,16.711000,0.026400,0.001900
198,outer,1,0,17.346000,0.025500,0.001800
199,outer,1,0,15.875001,0.025900,0.002000
200,outer,1,0,17.175000,0.025400,0.001900
201,outer,1,0,15.714999,0.026700,0.002000
202,outer,1,0,17.121000,0.022700,0.001900
203,outer,1,0,16.240999,0.022800,0.001900
204,outer,1,0,16.886000,0.023300,0.001800
205,outer,1,0,16.709998,0.023800,0.002300
206,outer,1,0,16.606001,0.022700,0.001900
207,outer,1,0,16.379001,0.023000,0.002000
208,outer,1,0,16.515000,0.022500,0.002000
209,outer,1,0,16.786000,0.022100,0.001900
210,outer,1,0,17.007999,0.023100,0.002400
211,outer,1,0,16.244000,0.022000,0.001900
212,outer,1,0,16.805999,0.022500,0.001900
213,outer,1,0,16.546000,0.024400,0.002300
214,outer,1,0,16.506001,0.024500,0.002100
215,outer,1,0,17.395999,0.023700,0.002300
216,outer,1,0,15.944000,0.023900,0.002000
217,outer,1,0,16.504999,0.027900,0.002200
218,outer,1,0,16.721001,0.027600,0.001800
219,outer,1,0,17.021000,0.028500,0.002500
220,outer,1,0,16.501000,0.027500,0.002200
221,outer,1,0,16.565001,0.027600,0.002600
222,outer,1,0,16.669001,0.026900,0.002000
223,outer,1,0,16.350999,0.026500,0.002000
224,outer,1,0,16.774001,0.027100,0.001900
225,outer,1,0,16.688000,0.026600,0.002000
226,outer,1,0,15.972000,0.027100,0.001900
227,outer,1,0,16.331000,0.027000,0.001800
228,outer,1,0,16.464001,0.026300,0.001900
229,outer,1,0,16.251000,0.026300,0.001900
230,outer,1,0,16.503999,0.027000,0.001900
231,outer,1,0,17.028999,0.030100,0.001900
232,outer,1,0,15.980000,0.035300,0.002100
233,outer,1,0,16.350001,0.033400,0.002000
234,outer,1,0,16.037000,0.029700,0.002200
235,outer,1,0,16.548000,0.028200,0.002000
236,outer,1,0,16.754000,0.028700,0.002000
237,outer,1,0,16.177999,0.028900,0.002000
238,outer,1,0,17.083000,0.028200,0.002000
239,outer,1,0,15.819000,0.029400,0.002200
240,outer,1,0,16.820999,0.028200,0.002500
241,outer,1,0,15.869999,0.022400,0.001800
242,outer,1,0,16.393000,0.022000,0.001900
243,outer,1,0,16.958000,0.022000,0.002000
244,outer,1,0,16.304001,0.026800,0.001800
245,outer,1,0,16.600000,0.021100,0.002000
246,outer,1,0,16.864000,0.025800,0.001900
247,outer,1,0,16.232001,0.020900,0.002000
248,outer,1,0,16.117999,0.021200,0.001900
249,creek,1,0,16.621999,0.026200,0.001900
250,creek,1,0,16.585000,0.021200,0.002000
251,creek,1,0,16.177999,0.027600,0.002000
252,creek,1,0,16.690999,0.020900,0.001900
253,creek,1,0,16.941000,0.020900,0.001800
254,creek,1,0,16.263001,0.026900,0.001900
255,creek,1,0,16.655000,0.021200,0.001900
256,creek,1,0,16.403999,0.051100,0.003600
257,creek,1,0,16.523000,0.020800,0.002000
258,creek,1,0,16.508000,0.025800,0.001900
259,creek,1,0,16.209999,0.020900,0.001900
260,creek,1,0,16.190000,0.025400,0.002100
261,creek,1,0,16.517000,0.021200,0.002000
262,creek,1,0,16.553000,0.025500,0.001900
263,creek,1,0,16.540000,0.021100,0.001900
264,creek,1,0,16.763000,0.027300,0.001900
265,creek,1,0,16.538000,0.021000,0.001800
266,creek,1,0,16.472999,0.026200,0.001900
267,creek,1,0,17.044000,0.025500,0.002000
268,creek,1,0,16.405001,0.028000,0.002100
269,creek,1,0,16.450999,0.027400,0.002000
270,creek,1,0,16.497999,0.026200,0.002000
271,creek,1,0,16.918000,0.026200,0.002000
272,creek,1,0,16.804000,0.025300,0.002200
273,creek,1,0,16.139001,0.025700,0.002000
274,creek,1,0,16.860999,0.026700,0.002100
275,creek,1,0,16.055999,0.026600,0.002100
276,creek,1,0,16.628001,0.024100,0.002100
277,creek,1,0,16.334999,0.022900,0.002000
278,creek,1,0,15.879000,0.022800,0.002000
279,creek,1,0,16.502000,0.022700,0.002000
280,creek,1,0,16.597001,0.034300,0.002800
281,creek,1,0,16.134001,0.022600,0.002000
282,creek,1,0,16.663000,0.022300,0.001900
283,creek,1,0,16.256999,0.022400,0.001900
284,creek,1,0,16.393999,0.022400,0.002000
285,creek,1,0,15.974000,0.022700,0.001800
286,creek,1,0,16.148001,0.023300,0.001900
287,creek,1,0,16.000001,0.023100,0.002000
288,creek,1,0,16.522000,0.022300,0.001900
289,creek,1,0,16.688999,0.022700,0.001900
290,creek,1,0,15.824001,0.021900,0.001900
291,creek,1,0,18.275000,0.024600,0.002300
292,creek,1,0,15.281000,0.032700,0.002800
293,creek,1,0,16.497999,0.031000,0.002400
294,creek,1,0,16.405001,0.029500,0.002500
295,creek,1,0,16.850000,0.028800,0.002100
296,creek,1,0,16.681001,0.026400,0.002100
297,creek,1,0,16.604999,0.027300,0.002000
298,creek,1,0,16.915001,0.026700,0.002200
299,creek,1,0,16.870001,0.027000,0.002000
300,creek,1,0,16.452000,0.026700,0.002100
301,creek,1,0,16.353000,0.030000,0.002400
302,creek,1,0,16.338000,0.028900,0.002100
