GraniteSupportReuseTest.cpp
strike,reference_support_ms,reuse_support_ms,nodes,releases,fines
0,23.541,10.614,299,0,2
1,20.858,16.211,653,0,3
2,29.026,15.703,1030,0,1
3,15.373,18.027,1256,0,0
4,18.890,16.966,1562,0,0
5,33.429,24.429,1815,0,2
6,42.484,25.965,2061,0,1
7,52.310,36.044,2390,0,1
8,29.803,27.560,2627,0,0
9,34.033,35.009,2877,0,0
10,36.571,35.094,3203,0,0
11,62.824,48.072,3470,0,1
12,71.674,47.103,3862,0,1
13,76.952,59.162,4154,0,3
14,84.970,62.066,4400,0,4
15,80.824,58.337,4742,0,2
16,92.406,64.147,5087,0,1
17,48.528,51.025,5321,0,0
18,52.172,49.989,5615,0,0
19,52.419,57.619,5846,0,0
20,56.535,53.453,6083,0,0
21,106.459,78.099,6502,0,2
22,107.895,74.890,6802,0,1
23,63.128,65.425,7176,0,0
24,117.801,83.041,7410,0,1
25,70.904,72.862,7769,0,0
26,74.585,71.423,8159,0,0
27,76.741,79.093,8568,0,0
28,75.404,74.067,8738,0,0
29,142.681,105.435,9095,0,1
30,153.775,113.427,9554,0,1
31,151.878,110.754,9792,0,2
32,164.948,123.425,10108,0,1
33,180.705,117.911,10406,0,1
34,175.188,127.675,10486,0,4
35,170.021,126.430,10917,0,1
MATCHED_REFERENCE_REFUSAL,36,REFUSED: cavity/cast volume mismatch
36,0.000,0.000,0,0,0
37,95.638,96.318,11152,0,0
38,177.371,129.260,11432,0,1
39,96.504,96.958,11477,0,0
40,179.376,135.034,11707,0,1
41,193.063,144.454,12080,0,1
42,103.524,102.903,12242,0,0
43,97.604,100.742,12536,0,0
44,188.513,133.922,12774,0,1
45,186.777,137.437,13085,0,1
46,202.048,149.803,13376,0,2
47,202.529,154.391,13654,0,1
48,109.892,108.379,13826,0,0
49,131.388,116.327,14093,0,0
50,201.817,145.221,14125,0,2
51,203.181,150.826,14228,0,1
52,213.714,148.757,14549,0,1
53,116.586,117.860,14836,0,0
54,116.782,113.754,15119,0,0
55,220.989,163.758,15554,0,1
56,219.784,157.280,15809,0,1
57,125.536,123.799,16193,0,0
58,126.975,123.067,16393,0,0
59,127.212,128.422,16581,0,0
60,239.049,171.420,16872,0,1
61,127.884,130.797,17194,0,0
62,136.950,137.858,17381,0,0
63,132.721,135.569,17736,0,0
TOTAL reference_support_ms 7121.140 reuse_support_ms 5790.867; refusals 1; checks 1347891
VOLUME boundary 8.99719870255704 recovered 0.00280147223907116 initial 9.00000000000007 residual 1.74796049634551e-07
FAIL closed host plus recovered volume conserved
