strike,reference_support_ms,reuse_support_ms,nodes,releases,fines
0,22.583,9.909,299,0,2
1,20.560,15.492,653,0,3
2,29.588,15.630,1030,0,1
3,14.540,18.231,1256,0,0
4,20.383,16.988,1562,0,0
5,35.811,25.012,1815,0,2
6,43.873,25.483,2061,0,1
7,50.931,34.525,2390,0,1
8,30.251,26.775,2627,0,0
9,30.881,33.454,2877,0,0
10,35.767,31.703,3203,0,0
11,62.687,46.017,3470,0,1
12,71.416,46.740,3862,0,1
13,79.150,56.937,4154,0,3
14,88.302,61.016,4400,0,4
15,78.611,56.074,4742,0,2
16,93.492,64.509,5087,0,1
17,49.422,51.737,5321,0,0
18,52.045,49.551,5615,0,0
19,51.422,54.038,5846,0,0
20,54.202,53.051,6083,0,0
21,110.673,80.773,6502,0,2
22,108.928,75.823,6802,0,1
23,63.051,64.907,7176,0,0
24,117.691,81.204,7410,0,1
25,72.319,74.085,7769,0,0
26,73.803,73.042,8159,0,0
27,78.550,78.296,8568,0,0
28,76.818,74.327,8738,0,0
29,144.936,109.513,9095,0,1
30,153.374,110.171,9554,0,1
31,150.155,108.557,9792,0,2
32,164.930,120.480,10108,0,1
33,163.539,118.826,10406,0,1
34,168.558,121.688,10486,0,4
35,166.304,125.526,10917,0,1
MATCHED_REFERENCE_REFUSAL,36,REFUSED: cavity/cast volume mismatch
36,0.000,0.000,0,0,0
37,92.960,93.948,11152,0,0
38,180.288,126.184,11432,0,1
39,95.765,98.451,11477,0,0
40,182.310,131.974,11707,0,1
41,204.150,149.627,12080,0,1
42,104.287,110.089,12242,0,0
43,102.329,107.172,12536,0,0
44,190.439,138.465,12774,0,1
45,210.865,147.523,13085,0,1
46,208.506,146.296,13376,0,2
FIRST_VOLUME_DRIFT,46,residual_m3,1.74775346195588e-07
47,209.886,151.670,13654,0,1
48,113.849,112.786,13826,0,0
49,113.487,114.734,14093,0,0
50,203.235,147.926,14125,0,2
51,202.582,147.996,14228,0,1
52,211.537,150.560,14549,0,1
53,114.505,116.251,14836,0,0
54,114.885,114.942,15119,0,0
55,220.146,164.953,15554,0,1
56,220.755,161.629,15809,0,1
57,126.665,127.649,16193,0,0
58,125.014,122.805,16393,0,0
59,127.217,127.269,16581,0,0
60,237.943,172.731,16872,0,1
61,127.776,129.432,17194,0,0
62,137.051,133.753,17381,0,0
63,132.850,137.096,17736,0,0
TOTAL reference_support_ms 7140.831 reuse_support_ms 5794.004; refusals 1; checks 1347891
VOLUME boundary 8.99719870255704 recovered 0.00280147223907116 initial 9.00000000000007 residual 1.74796049634551e-07
FAIL closed host plus recovered volume conserved
