GraniteSupportReuseTest.cpp
strike,reference_support_ms,reuse_support_ms,nodes,releases,fines
0,20.924,10.531,299,0,2
1,20.565,15.275,653,0,3
2,28.410,16.076,1030,0,1
3,14.667,16.950,1256,0,0
4,19.331,17.768,1562,0,0
5,33.860,24.206,1815,0,2
6,42.665,25.142,2061,0,1
7,53.263,35.310,2390,0,1
8,30.244,29.506,2627,0,0
9,30.099,32.194,2877,0,0
10,32.927,31.445,3203,0,0
11,64.025,46.106,3470,0,1
12,69.989,47.515,3862,0,1
13,79.028,57.400,4154,0,3
14,85.571,60.709,4400,0,4
15,79.183,54.694,4742,0,2
16,92.155,64.277,5087,0,1
17,48.726,51.504,5321,0,0
18,50.907,50.335,5615,0,0
19,51.689,53.607,5846,0,0
20,53.756,52.918,6083,0,0
21,108.011,77.651,6502,0,2
22,107.837,76.071,6802,0,1
23,65.794,67.478,7176,0,0
24,118.795,84.500,7410,0,1
25,71.972,73.721,7769,0,0
26,73.888,72.898,8159,0,0
27,79.262,78.511,8568,0,0
28,74.770,73.427,8738,0,0
29,143.689,104.882,9095,0,1
30,171.174,117.040,9554,0,1
31,155.822,111.356,9792,0,2
32,167.684,121.858,10108,0,1
33,166.073,119.961,10406,0,1
34,171.915,130.034,10486,0,4
35,170.131,126.804,10917,0,1
MATCHED_REFERENCE_REFUSAL,36,REFUSED: cavity/cast volume mismatch
36,0.000,0.000,0,0,0
37,95.466,94.031,11152,0,0
38,182.550,137.530,11432,0,1
39,98.813,98.677,11477,0,0
40,179.928,134.487,11707,0,1
41,192.861,147.860,12080,0,1
42,109.344,100.616,12242,0,0
43,97.650,99.617,12536,0,0
44,185.209,133.498,12774,0,1
45,188.884,135.818,13085,0,1
46,198.933,147.299,13376,0,2
FIRST_VOLUME_DRIFT,46,cut_residual_m3,7.25208018081958e-08,after_support_residual_m3,1.74775346195588e-07
47,206.872,146.908,13654,0,1
48,110.525,108.835,13826,0,0
49,112.867,114.292,14093,0,0
50,202.780,145.951,14125,0,2
51,205.292,147.755,14228,0,1
52,210.649,152.231,14549,0,1
53,116.854,115.395,14836,0,0
54,120.516,116.610,15119,0,0
55,219.446,161.814,15554,0,1
56,235.854,161.210,15809,0,1
57,130.312,126.487,16193,0,0
58,123.862,125.502,16393,0,0
59,129.577,133.063,16581,0,0
60,238.982,180.012,16872,0,1
61,130.063,129.557,17194,0,0
62,136.592,135.273,17381,0,0
63,135.003,134.923,17736,0,0
TOTAL reference_support_ms 7144.484 reuse_support_ms 5794.909; refusals 1; checks 1347891
VOLUME boundary 8.99719870255704 recovered 0.00280147223907116 initial 9.00000000000007 residual 1.74796049634551e-07
FAIL closed host plus recovered volume conserved
