Path,Bytes,SHA256,GitCoverage,Disposition
"Build/x64_Debug/ApplyGraniteOutcropAuthoring.cmd","536","7D9A39327A9AC237C9857221D5D7A20B437C366600105D330294B883E548CED2","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/EditorMouseStateRegression.cpp","7555","2B5E8F31A704B920162D7DB0A4299E936F3ACC12CBE9DF748B8CBF0249FB36CE","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/GraniteOutcropAuthoredShape.last-pass.h","26501","5C4EAA9E6883E83AC5F4CE84DAF86ED621EC86259F704182A4AB33C7D1A914D8","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/GraniteOutcropAuthoring.obj","70102","D95B256AE589C025E5565CAB35848FAA8C2AB15895E0A72173375C1F85022918","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/GraniteOutcropCandidate.h","26201","185E18044835DF1A02599165186D91F52FB32DDDF2BA44D255682358EAD6A920","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/GraniteOutcropCandidate3.h","26201","185E18044835DF1A02599165186D91F52FB32DDDF2BA44D255682358EAD6A920","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/inspect_mouse_dump.py","5679","3CA003D8154DDCE1C237642190FFA40079CFD697EE66A9F14DF184BDE36FCF13","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/MouseLockoutDiagnosis.md","2245","C7D8FFD2E326D6268865BEBB3780F0CA17550BAC59C1D5479AD686BF06DB2A92","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunAllocatorMemoryCounterTest.cmd","611","0C238E40906AFCAFE2369D5ADD99E78DFCDF43340D8141B4BAE9DC8800AD4E67","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunEditorMouseRegression.cmd","540","BDAE637BF9FB5F39545C8DBB3532068821666A1E9A816BC530E5D9B646A582A0","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteClusterBuildTest.cmd","888","649051DA03B5631FBA0E7C6D50C48C2EF49E43D59FBA7663C13B54AEF34755D4","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteContactCastTest.cmd","705","C7BC551DC0EFE2E804306CA8AA1C1425B37827D8A010B555DFE4BA489808D279","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteDebrisPerformanceTest.cmd","412","3E47FCAE6AF79F210C63A20966F42C348DF7C13B66A6DD34F2C88B00C2DA1A0E","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteLabContactTest.cmd","647","A8457EF142C3C7B978EBD26595B28D99A29620E7A6A7FF4BB9625142A86CB2E3","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteLabMovementTest.cmd","655","3ADD168372E5AD39DA3EB9FD610C89F9226F6C50E424803040EDB97507FA836D","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteLocalUpdateTest.cmd","654","B6778FA05FF2D5D49F829EADE410DB14C457339C25B30676B65B9D6E27C6FCC9","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteOutcropCandidateTest.cmd","829","78E2909DDF4043B9B4C2099B425816CCB8D4FE85617C9D345262D62FE369381F","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteOutcropShapeTool.cmd","381","2FC46677BDFDD285D99C28A66CE906274148DF72527C13E992EF4EF181BF5986","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteOutcropTest.cmd","623","F128F64FB2762C724E2F6C8BCA32A5E2A506DFF684B27839BF11FA828A5AF0F6","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteOutcropV2Test.cmd","639","6A60FC0AAB20EC0F609B768231BB9A11D8989582942E0ACA1DB1ADDD2F5DCA15","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGraniteStructuralSupportTest.cmd","702","7B4341A81B081914DCB62D5A945D02E84D1AD30C80E50AD8A1E9E26F3FBB0532","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunGrassCoverTest.cmd","591","655B0F768E9306908DF72B271D2DB226703DFF185DD9C2FDCD57F38D7AF81A34","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunProceduralRootUploadTest.cmd","708","F736500DB83269F64ED9CAC12A28383AA5F77EA0EFBFF8D876FF04A992E20507","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Build/x64_Debug/RunSoilScoopTest.cmd","583","5C48F995497B2B1BBAC6260011BCD98CCFA52C172B8BB40013316DC22CF242CA","Ignored by repository build rule","Preserve-review: authoring or diagnostic workflow"
"Code/Applications/ProvenanceVerifier/Esoterica.Applications.ProvenanceVerifier.vcxproj","6204","5A4C8CA3469D0534461B099ECA0A5D4E2366368A67489F54A5313B43675DF18A","Untracked","Preserve: code or lab record"
"Code/Applications/ProvenanceVerifier/Esoterica.Applications.ProvenanceVerifier.vcxproj.filters","456","91980E10BBFE51AD62C954B4EF8E0C0F14512286361686905ADBBB59AB4861FC","Untracked","Preserve: code or lab record"
"Code/Applications/ProvenanceVerifier/Main.cpp","5711","A757FADC5EDEA02CB717F11139814D63E8D4B11FF107C9C0FB5DC64526AC3491","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Components/Component_ProvenanceWorldSettings.h","2348","AD7E461A8B5E812CBEFDF5FEE14C224A3D0A7E6BF4EDD6AD8FD449AB9B02E4C1","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteContactCast.h","35471","7C2972159995524F46B09F9E6C7D5B24D504D4D8C00193E009B486A41436B194","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteContactDebris.h","18497","31090587F6D4C765163EACB2FB708099D61EEF871C3E87E51A2D850DE3691551","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteExcavation.h","3056","651AD81156009A72BB05B24DBA4BF687DA920CB2BAB0893121FA92045CE9A756","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteExcavation.inl","9473","A6DEEC76BE37C0E2B37F9A12E0271B3B7AD2B1389D3499010756B200695FF72B","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteGeometry.cpp","638703","C0AD1093039F45D009E0DE362E1C2267C9DA14C7B3FD07355A5E665052D934A8","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteGeometry.h","77112","025998DA5834A65D00204A28EDF823CB21A936940FBBAEE08566E22C2017C672","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteLabContact.h","4847","618B3CAB3158854FEEFB7D81C26DE39AD35317E1D09D44B74897949EDB27DE36","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteLabMovement.h","9264","AFA5E672F2B0C0D57B25E3FA10970AD8C9E6CFA9E52072583DE6CCF5DB119446","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteOutcrop.h","12908","23A255A7F71650884894EB55C6008A316726604B7237B6B818B5D619C71FA4FC","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteOutcropAuthoredShape.h","26201","185E18044835DF1A02599165186D91F52FB32DDDF2BA44D255682358EAD6A920","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteOutcropGround.h","8637","4E08B4B90FE46D7944D9F6BB6210B48404C47DC00068DA4640D45560D1D05C1A","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteOutcropV2.h","21838","BAFBF23D7699BBEF8C5A2810855DA6485F386311D1447D8A97FDEE41F0F5092F","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GraniteStructuralSupport.h","30976","C7EA228BCD005546269FA3F26D27B0046DA484E0FDDA1ACD836FA02E8708620C","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/GrassCover.h","10673","16BE1BD3FE5D8BCCE8F981367E58DEB490A8BB30E12F4722907F67E649413358","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/MaterialGeometry.cpp","10513","D06B0B785F0560D6E31E3E4A01C9A1F76E60D54BB2CB20F70F41E0DC9C5637B8","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/MaterialGeometry.h","4882","7253168A4E47CC473FF9157FCDF2EA925FD1254304FF2099B498C64C964E19E4","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/SoilGeometry.cpp","170088","90BEC4F62D6B5DA48FDE5577039EA618AB0A675ECA3BD3F65940937B44E4E2E8","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/SoilGeometry.h","35576","9CB3892508F21A49615A4C72DE07870FCA6926EFA8874304F336C4282F01592C","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/SoilHeightfieldV26.h","8387","8B45ECB1A63AC65639AA6CCB14FE61958306C3C7D3EACF7B8F5E5FAD91350243","Untracked","Preserve: superseded reference implementation"
"Code/Game/Provenance/Geometry/SoilScoop.h","39483","47A26FDFFA6B49B3BEBD92B972390C9AD45B8FD1D76726D24879A0B4BFBD8FB6","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/GraniteContactCastTest.obj","2743482","2DC8AFCA9CEAB2F38F4C2045F6DDC8CAF0859ABE50E6999DAB390424CAD05BFC","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTest.exe","392704","372A635263F5B38576E47B5E9CEDC5702FCBEDD65E09E77EBCFFC42FEA198409","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTest.obj","2560257","8E4D88EF08CABFE20752C7B7DF6BC74E5F60D2E28718247B4D166158B63D97FF","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTestDebug.exe","543232","ED882D19CBA87A8FF7E987513FEF89165D7930D9D16629B2C88B43C050F16D4F","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTestDebug.obj","3372858","754985EA8E38DD9BF244560A6431343B70B58785C10ABFD3A6F07B414B638772","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTest.exe","336384","6732B6D5FAE81CEA7047F5BD449B77577C0CEF11657D358BD6763BC2446E16EF","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTest.obj","1603674","290D47F83C98172B25E83233E307F21EF39907FC3289F6DD2EB18EE54EAD91B2","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTestDebug.exe","452608","0D4CCD132409C37678D7FCE48E05B22252371E90E671EBF344B86CC746F63255","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTestDebug.obj","2196715","F217617A945C14904D46F1FA406A9FB17C95971981C834A6120CAB8B570BCB44","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabMovementTest.exe","470016","6402033D810AB53983542AF83653ED2C83E87AD82641FE57DE8C63BD61990BDF","Untracked","Generated candidate: verify reproducible before removal"
