# oracle_digest=982a3e351927cef7
x	y	z	found	material	feature_id	body	deposit_system_id	deposit_body_id	nx	ny	nz	intrusion_inside	deposit_admitted	contact_distance_m	permeability	chronology	event_ids
-31.5	-31.5	-21.987375090731351	0	-	0000000000000000	-	0000000000000000	0000000000000000	0	0	0	0	0	28.431553964036635	0	-	-
-31.5	-31.5	-9.9883750907313527	1	shale	297c2c965514fc8a	F16	0000000000000000	0000000000000000	0.4995016108602009	0.33691809070171713	0.79811298755625693	0	0	27.680025266266153	0.41554409740412318	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-31.5	-31.5	-3.9883750907313522	1	sandstone	297c2d965514fe3d	F17	0000000000000000	0000000000000000	0.4995016108602009	0.33691809070171713	0.79811298755625693	0	0	27.559958365214356	0.58561058920775833	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-31.5	-31.5	-3.9863750907313524	1	sandstone	297c2d965514fe3d	F17	0000000000000000	0000000000000000	0.4995016108602009	0.33691809070171713	0.79811298755625693	0	0	27.559955407153371	0.58578048613791533	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-31.5	-31.5	3.0126249092686477	1	sandstone	297c1f965514e673	F19	0000000000000000	0000000000000000	0.4995016108602009	0.33691809070171713	0.79811298755625693	0	0	27.810989669821758	0.99470909075738145	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-27.5	-31.5	-23.37362492355247	1	sandstone	297c2b965514fad7	F15	0000000000000000	0000000000000000	0.47108215183477603	0.31774892354501372	0.82287133125945144	0	0	26.895145839836843	0.93667212935836686	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-27.5	-31.5	-11.374624923552467	1	sandstone	297c2d965514fe3d	F17	0000000000000000	0000000000000000	0.47108215183477603	0.31774892354501372	0.82287133125945144	0	0	25.991660513052992	0.51350782044631049	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-27.5	-31.5	-5.3746249235524681	1	shale	297c1e965514e4c0	F18	0000000000000000	0000000000000000	0.47108215183477603	0.31774892354501372	0.82287133125945144	0	0	25.982134369670131	0.96968118987607155	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-27.5	-31.5	-5.3726249235524675	1	shale	297c1e965514e4c0	F18	0000000000000000	0000000000000000	0.47108215183477603	0.31774892354501372	0.82287133125945144	0	0	25.982153531424231	0.96975552978945445	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-27.5	-31.5	1.6263750764475322	1	sandstone	297c1f965514e673	F19	0000000000000000	0000000000000000	0.47108215183477603	0.31774892354501372	0.82287133125945144	0	0	26.17650229244914	0.67724240869364793	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-23.5	-31.5	-21.379969789637482	1	sandstone	297c2b965514fad7	F15	0000000000000000	0000000000000000	0.42326527017952331	0.28549602961969928	0.85984796803344432	0	0	25.189711157169725	0.37684305484660358	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-23.5	-31.5	-9.3809697896374828	1	sandstone	297c2d965514fe3d	F17	0000000000000000	0000000000000000	0.42326527017952331	0.28549602961969928	0.85984796803344432	0	0	24.41616535576383	0.98341958458393175	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-23.5	-31.5	-3.3809697896374815	1	shale	297c1e965514e4c0	F18	0000000000000000	0000000000000000	0.42326527017952331	0.28549602961969928	0.85984796803344432	0	0	24.597903377325661	0.54865524766597873	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-23.5	-31.5	-3.3789697896374817	1	shale	297c1e965514e4c0	F18	0000000000000000	0000000000000000	0.42326527017952331	0.28549602961969928	0.85984796803344432	0	0	24.597992278972143	0.54849422645303358	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-23.5	-31.5	3.6200302103625184	1	sandstone	297c1f965514e673	F19	0000000000000000	0000000000000000	0.42326527017952331	0.28549602961969928	0.85984796803344432	0	0	25.003262030355849	0.49878212778758374	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-19.5	-31.5	-20.249849269219233	1	shale	297c2c965514fc8a	F16	0000000000000000	0000000000000000	0.35210682275617122	0.23749905078736422	0.90532590057042728	0	0	23.873776334784132	0.85472161131401836	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-19.5	-31.5	-8.2508492692192341	1	shale	297c1e965514e4c0	F18	0000000000000000	0000000000000000	0.35210682275617122	0.23749905078736422	0.90532590057042728	0	0	23.02939004826505	0.43390108822224005	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
-19.5	-31.5	-2.2508492692192337	1	sandstone	297c1f965514e673	F19	0000000000000000	0000000000000000	0.35210682275617122	0.23749905078736422	0.90532590057042728	0	0	23.316509831185776	0.54090338336401633	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-19.5	-31.5	-2.2488492692192339	1	sandstone	297c1f965514e673	F19	0000000000000000	0000000000000000	0.35210682275617122	0.23749905078736422	0.90532590057042728	0	0	23.316652571097155	0.54106346332244981	10|20|30	0c79078f2a8a7c83|1356d333c898f1d0|4796135092766a08
-19.5	-31.5	4.7501507307807662	1	shale	29869896551e0893	F20	0000000000000000	0000000000000000	0.35210682275617122	0.23749905078736422	0.90532590057042728	0	0	23.913201300779516	0.99210753391829498	10|20|30	656540eada4c2e25|1356d333c898f1d0|4796135092766a08
