stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage16c1,north,1,0.0,128.500,128.500,settle_origin,797,1365,1.0747,1236,0,0,0
stage16c1,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.7001,0,0,0,0
stage16c1,north,3,1.0,128.500,129.500,walk,830,2601,0.8737,0,1,0,0
stage16c1,north,3,2.0,128.500,130.500,walk,863,2601,1.0979,0,1,0,0
stage16c1,north,3,3.0,128.500,131.500,walk,896,2601,0.6702,0,1,0,0
stage16c1,north,3,4.0,128.500,132.500,walk,929,2601,0.7213,0,1,0,0
stage16c1,north,3,5.0,128.500,133.500,walk,947,2601,0.6586,0,1,0,0
stage16c1,north,3,6.0,128.500,134.500,walk,957,2601,0.6150,0,1,0,0
stage16c1,north,3,7.0,128.500,135.500,walk,963,2601,0.6090,0,1,0,0
stage16c1,north,3,8.0,128.500,136.500,walk,967,2601,0.6401,51,1,0,0
stage16c1,north,3,9.0,128.500,137.500,walk,969,2586,4.2425,15,0,0,0
stage16c1,north,3,10.0,128.500,138.500,walk,971,2601,1.8665,0,0,0,0
stage16c1,north,3,11.0,128.500,139.500,walk,973,2601,0.8599,0,0,0,0
stage16c1,north,3,12.0,128.500,140.500,walk,975,2601,0.8332,0,0,0,0
stage16c1,north,3,13.0,128.500,141.500,walk,975,2601,0.6172,0,0,0,0
stage16c1,north,3,14.0,128.500,142.500,walk,975,2601,0.7552,0,0,0,0
stage16c1,north,3,15.0,128.500,143.500,walk,975,2601,0.6413,0,0,0,0
stage16c1,north,3,16.0,128.500,144.500,walk,975,2601,0.6157,51,0,0,0
stage16c1,north,3,17.0,128.500,145.500,walk,975,2585,4.0562,16,0,0,0
stage16c1,north,3,18.0,128.500,146.500,walk,975,2601,1.8260,0,0,0,0
stage16c1,north,3,19.0,128.500,147.500,walk,975,2601,0.6514,0,0,0,0
stage16c1,north,3,20.0,128.500,148.500,walk,975,2601,0.6524,0,0,0,0
stage16c1,north,3,21.0,128.500,149.500,walk,975,2601,0.6158,0,0,0,0
stage16c1,north,3,22.0,128.500,150.500,walk,975,2601,0.6161,0,0,0,0
stage16c1,north,3,23.0,128.500,151.500,walk,975,2601,0.6154,0,0,0,0
stage16c1,north,3,24.0,128.500,152.500,walk,975,2601,0.6103,51,0,0,0
stage16c1,north,3,25.0,128.500,153.500,walk,975,2586,3.7468,15,0,0,0
