phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.030,0.7,129.013,129.013,fly,0.910,ok,2601,0,0,192.00,382726144,512323584,114090264,95883264,18123768,2601,0,22132800,929118,0,0,0,0,0,0,0,0,0,0,0.070,0.068,0.000,0,0,0,0,0,0,0
travel,0.061,1.5,129.543,129.543,fly,1.107,ok,2601,0,0,192.00,382726144,512323584,114090264,95883264,18123768,2601,0,22132800,929118,0,0,0,0,0,0,0,0,0,0,0.154,0.112,0.000,0,0,0,0,0,0,0
travel,0.093,2.2,130.082,130.082,fly,0.861,ok,2601,0,0,192.00,382726144,512323584,114090264,95883264,18123768,2601,0,22132800,929163,0,0,0,0,0,0,0,0,0,0,0.071,0.069,0.000,0,0,0,0,0,0,0
travel,0.125,3.0,130.616,130.616,fly,0.855,ok,2601,0,0,192.00,382726144,512323584,114090264,95883264,18123768,2601,0,22132800,929163,0,0,0,0,0,0,0,0,0,0,0.070,0.067,0.000,0,0,0,0,0,0,0
travel,0.156,3.7,131.140,131.140,fly,0.903,ok,2601,0,0,192.00,382730240,512323584,114090264,95883264,18123768,2601,0,22132800,929208,0,0,0,0,0,0,0,0,0,0,0.073,0.074,0.000,0,0,0,0,0,0,0
travel,0.189,4.5,131.700,131.700,fly,0.915,ok,2601,0,0,192.00,382730240,512323584,114090264,95883264,18123768,2601,0,22132800,929208,0,0,0,0,0,0,0,0,0,0,0.138,0.063,0.000,0,0,0,0,0,0,0
travel,0.220,5.3,132.230,132.230,fly,0.899,ok,2601,0,0,192.00,382730240,512323584,114090264,95883264,18123768,2601,0,22132800,929226,0,0,0,0,0,0,0,0,0,0,0.071,0.073,0.000,0,0,0,0,0,0,0
travel,0.251,6.0,132.754,132.754,fly,0.868,ok,2601,0,0,192.00,382734336,512323584,114090264,95883264,18123768,2601,0,22132800,929226,0,0,0,0,0,0,0,0,0,0,0.069,0.070,0.000,0,0,0,0,0,0,0
travel,0.283,6.8,133.294,133.294,fly,0.891,ok,2601,0,0,192.00,382734336,512323584,114090264,95883264,18123768,2601,0,22132800,929232,0,0,0,0,0,0,0,0,0,0,0.069,0.073,0.000,0,0,0,0,0,0,0
travel,0.314,7.5,133.831,133.831,fly,1.040,ok,2601,0,0,192.00,382734336,512323584,114090264,95883264,18123768,2601,0,22132800,929232,0,0,0,0,0,0,0,0,0,0,0.149,0.099,0.000,0,0,0,0,0,0,0
