col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
0,0.159,0.157,0.761,1.741,-0.215,-0.029,0.186,LAYERED
4,0.181,0.157,0.775,1.748,-0.216,-0.029,0.187,LAYERED
8,0.202,0.156,0.790,1.754,-0.217,-0.029,0.187,LAYERED
12,0.224,0.156,0.807,1.740,-0.217,-0.029,0.188,LAYERED
16,0.246,0.156,0.826,1.758,-0.218,-0.029,0.189,LAYERED
20,0.269,0.156,0.847,1.754,-0.219,-0.030,0.189,LAYERED
24,0.292,0.156,0.867,1.756,-0.219,-0.030,0.190,LAYERED
28,0.315,0.156,0.888,1.751,-0.220,-0.030,0.190,LAYERED
32,0.338,0.156,0.905,1.734,-0.221,-0.030,0.191,LAYERED
36,0.362,0.156,0.916,1.730,-0.221,-0.030,0.191,LAYERED
40,0.389,0.157,0.925,1.737,-0.222,-0.030,0.192,LAYERED
44,0.449,0.158,0.933,1.765,-0.223,-0.030,0.193,LAYERED
48,0.509,0.158,0.939,1.727,-0.223,-0.030,0.193,LAYERED
52,0.569,0.158,0.946,1.736,-0.224,-0.030,0.194,LAYERED
56,0.630,0.158,0.954,1.684,-0.225,-0.030,0.194,BASIN_A
60,0.692,0.158,0.963,1.701,-0.225,-0.030,0.195,BASIN_A
64,0.754,0.158,0.974,1.640,-0.226,-0.030,0.195,BASIN_A
68,0.816,0.157,0.988,1.626,-0.227,-0.031,0.196,BASIN_A
72,0.879,0.157,1.001,1.567,-0.227,-0.031,0.197,BASIN_A
76,0.943,0.157,1.013,1.531,-0.228,-0.031,0.197,BASIN_A
80,1.006,0.157,1.025,1.498,-0.229,-0.031,0.198,BASIN_A
84,1.071,0.157,1.032,1.458,-0.229,-0.031,0.198,BASIN_A
88,1.136,0.163,1.038,1.431,-0.230,-0.031,0.199,BASIN_A
92,1.201,0.175,1.043,1.381,-0.231,-0.031,0.200,BASIN_A
96,1.267,0.191,1.048,1.354,-0.231,-0.031,0.200,BASIN_A
100,1.333,0.216,1.052,1.324,-0.232,-0.031,0.201,BASIN_A
104,1.400,0.255,1.054,1.299,-0.233,0.036,0.268,BASIN_A
108,1.467,0.301,1.053,1.292,-0.233,0.170,0.404,BASIN_A
112,1.535,0.362,1.049,1.263,-0.234,0.171,0.405,BASIN_A
116,1.604,0.440,1.025,1.252,-0.235,0.171,0.406,BASIN_A
120,1.673,0.539,0.994,1.238,-0.235,0.172,0.407,BASIN_A
124,1.742,0.664,0.962,1.213,-0.236,0.172,0.408,BASIN_A
128,1.812,0.796,0.930,1.201,-0.237,0.173,0.410,BASIN_A
132,1.882,0.948,0.902,1.184,-0.238,0.173,0.411,BASIN_A
136,1.953,1.104,0.877,1.167,-0.238,0.174,0.412,BASIN_A
140,2.025,1.264,0.855,1.157,-0.239,0.174,0.413,BASIN_A
144,2.097,1.428,0.843,1.135,-0.240,0.175,0.414,BASIN_A
148,2.169,1.600,0.834,1.124,-0.240,0.175,0.416,BASIN_A
152,2.243,1.725,0.824,1.112,-0.241,0.176,0.417,BASIN_A
156,2.316,1.860,0.814,1.095,-0.242,0.176,0.418,BASIN_A
160,2.390,2.024,0.807,1.085,-0.242,0.177,0.419,BASIN_A
164,2.465,2.179,0.798,1.075,-0.243,0.177,0.420,BASIN_A
168,2.540,2.287,0.787,1.055,-0.244,0.178,0.422,BASIN_A
172,2.616,2.295,0.778,1.044,-0.244,0.178,0.423,BASIN_A
176,2.692,2.308,0.776,1.033,-0.245,0.179,0.424,BASIN_A
180,2.769,2.366,0.784,1.021,-0.246,0.179,0.425,BASIN_A
184,2.846,2.355,0.796,1.019,-0.247,0.180,0.426,BASIN_A
188,2.975,2.343,0.812,1.016,-0.247,0.180,0.428,BASIN_A
192,3.182,2.330,0.829,0.995,-0.248,0.181,0.429,BASIN_A
196,3.392,2.316,0.846,0.993,-0.249,0.181,0.430,BASIN_A
200,3.604,2.300,0.859,0.987,-0.249,0.182,0.431,BASIN_A
