col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
0,-1.007,-1.218,-1.052,-1.013,-0.588,-99.000,0.000,no_far
4,-1.007,-1.222,-1.057,-1.013,-0.590,-99.000,0.000,no_far
8,-1.008,-1.226,-1.062,-1.014,-0.592,-99.000,0.000,no_far
12,-1.009,-1.229,-1.066,-1.015,-0.594,-99.000,0.000,no_far
16,-1.009,-1.232,-1.071,-1.015,-0.595,-99.000,0.000,no_far
20,-1.010,-1.237,-1.075,-1.016,-0.597,-99.000,0.000,no_far
24,-1.011,-1.241,-1.082,-1.017,-0.599,-99.000,0.000,no_far
28,-1.012,-1.244,-1.089,-1.018,-0.601,-99.000,0.000,no_far
32,-1.012,-1.248,-1.095,-1.018,-0.603,-99.000,0.000,no_far
36,-1.013,-1.251,-1.099,-1.019,-0.604,-99.000,0.000,no_far
40,-1.014,-1.254,-1.103,-1.020,-0.606,-99.000,0.000,no_far
44,-1.015,-1.259,-1.105,-1.021,-0.608,-99.000,0.000,no_far
48,-1.016,-1.265,-1.108,-1.022,-0.610,-99.000,0.000,no_far
52,-1.017,-1.270,-1.110,-1.023,-0.612,-99.000,0.000,no_far
56,-1.019,-1.275,-1.110,-1.025,-0.614,-99.000,0.000,no_far
60,-1.020,-1.280,-1.109,-1.026,-0.615,-99.000,0.000,no_far
64,-1.021,-1.285,-1.106,-1.027,-0.682,-99.000,0.000,no_far
68,-1.023,-1.289,-1.112,-1.029,-0.684,-99.000,0.000,no_far
72,-1.024,-1.294,-1.121,-1.030,-0.687,-99.000,0.000,no_far
76,-1.026,-1.299,-1.130,-1.031,-0.689,-99.000,0.000,no_far
80,-1.027,-1.303,-1.138,-1.033,-0.691,-99.000,0.000,no_far
84,-1.029,-1.307,-1.145,-1.035,-0.693,-99.000,0.000,no_far
88,-1.030,-1.311,-1.151,-1.036,-0.695,-99.000,0.000,no_far
92,-1.032,-1.315,-1.155,-1.038,-0.697,-99.000,0.000,no_far
96,-1.034,-1.320,-1.161,-1.040,-0.699,-99.000,0.000,no_far
100,-1.036,-1.324,-1.166,-1.042,-0.701,-99.000,0.000,no_far
104,-1.038,-1.329,-1.169,-1.044,-0.703,-99.000,0.000,no_far
108,-1.040,-1.335,-1.169,-1.046,-0.705,-99.000,0.000,no_far
112,-1.042,-1.340,-1.168,-1.048,-0.707,-99.000,0.000,no_far
116,-1.044,-1.345,-1.165,-1.050,-0.709,-99.000,0.000,no_far
120,-1.046,-1.351,-1.168,-1.052,-0.711,-99.000,0.000,no_far
124,-1.049,-1.356,-1.178,-1.055,-0.713,-99.000,0.000,no_far
128,-1.051,-1.361,-1.187,-1.057,-0.784,-99.000,0.000,no_far
132,-1.054,-1.365,-1.194,-1.059,-0.786,-99.000,0.000,no_far
136,-1.056,-1.369,-1.201,-1.062,-0.788,-99.000,0.000,no_far
140,-1.059,-1.374,-1.202,-1.064,-0.791,-99.000,0.000,no_far
144,-1.061,-1.378,-1.213,-1.067,-0.793,-99.000,0.000,no_far
148,-1.064,-1.382,-1.220,-1.069,-0.795,-99.000,0.000,no_far
152,-1.066,-1.387,-1.223,-1.072,-0.798,-99.000,0.000,no_far
156,-1.069,-1.392,-1.223,-1.075,-0.800,-99.000,0.000,no_far
160,-1.072,-1.397,-1.223,-1.078,-0.802,-99.000,0.000,no_far
164,-1.075,-1.402,-1.222,-1.080,-0.804,-99.000,0.000,no_far
168,-1.078,-1.406,-1.230,-1.083,-0.807,-99.000,0.000,no_far
172,-1.080,-1.410,-1.239,-1.086,-0.809,-99.000,0.000,no_far
176,-1.083,-1.413,-1.243,-1.089,-0.811,-99.000,0.000,no_far
180,-1.086,-1.415,-1.241,-1.092,-0.814,-99.000,0.000,no_far
184,-1.089,-1.416,-1.242,-1.095,-0.816,-99.000,0.000,no_far
188,-1.092,-1.416,-1.252,-1.098,-0.890,-99.000,0.000,no_far
192,-1.095,-1.415,-1.260,-1.101,-0.892,-99.000,0.000,no_far
196,-1.098,-1.413,-1.267,-1.104,-0.895,-99.000,0.000,no_far
200,-1.101,-1.410,-1.274,-1.107,-0.897,-99.000,0.000,no_far
204,-1.104,-1.406,-1.279,-1.110,-0.900,-99.000,0.000,no_far
208,-1.096,-1.401,-1.281,-1.113,-0.902,-99.000,0.000,no_far
212,-1.054,-1.396,-1.280,-1.116,-0.904,-99.000,0.000,no_far
216,-1.012,-1.390,-1.276,-1.119,-0.907,-99.000,0.000,no_far
220,-0.969,-1.384,-1.272,-1.122,-0.909,-99.000,0.000,no_far
224,-0.955,-1.377,-1.276,-1.125,-0.912,-99.000,0.000,no_far
228,-0.951,-1.370,-1.277,-1.128,-0.914,-99.000,0.000,no_far
232,-0.925,-1.363,-1.277,-1.131,-0.917,-99.000,0.000,no_far
236,-0.873,-1.358,-1.273,-1.134,-0.919,-99.000,0.000,no_far
240,-0.820,-1.355,-1.271,-1.137,-0.922,-99.000,0.000,no_far
244,-0.767,-1.352,-1.266,-1.140,-0.924,-99.000,0.000,no_far
248,-0.713,-1.350,-1.257,-1.142,-0.927,-99.000,0.000,no_far
252,-0.658,-1.350,-1.246,-1.145,-0.929,-99.000,0.000,no_far
256,-0.603,-1.350,-1.240,-1.148,-0.931,-99.000,0.000,no_far
260,-0.547,-1.351,-1.236,-1.150,-0.934,-99.000,0.000,no_far
264,-0.491,-1.353,-1.223,-1.153,-0.936,-99.000,0.000,no_far
268,-0.433,-1.355,-1.215,-1.155,-0.939,-99.000,0.000,no_far
