col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
0,-1.277,-2.379,-2.091,-1.282,-0.837,-99.000,0.000,no_far
4,-1.277,-2.376,-2.092,-1.283,-0.840,-99.000,0.000,no_far
8,-1.278,-2.373,-2.093,-1.283,-0.842,-99.000,0.000,no_far
12,-1.278,-2.371,-2.093,-1.284,-0.845,-99.000,0.000,no_far
16,-1.279,-2.368,-2.094,-1.285,-0.847,-99.000,0.000,no_far
20,-1.280,-2.365,-2.095,-1.285,-0.850,-99.000,0.000,no_far
24,-1.280,-2.362,-2.096,-1.286,-0.789,-99.000,0.000,no_far
28,-1.281,-2.359,-2.097,-1.286,-0.791,-99.000,0.000,no_far
32,-1.282,-2.355,-2.099,-1.287,-0.794,-99.000,0.000,no_far
36,-1.282,-2.352,-2.100,-1.288,-0.796,-99.000,0.000,no_far
40,-1.283,-2.349,-2.101,-1.289,-0.799,-99.000,0.000,no_far
44,-1.284,-2.346,-2.102,-1.289,-0.801,-99.000,0.000,no_far
48,-1.285,-2.343,-2.103,-1.290,-0.803,-99.000,0.000,no_far
52,-1.286,-2.340,-2.105,-1.291,-0.741,-99.000,0.000,no_far
56,-1.286,-2.337,-2.106,-1.292,-0.743,-99.000,0.000,no_far
60,-1.287,-2.333,-2.107,-1.293,-0.746,-99.000,0.000,no_far
64,-1.288,-2.330,-2.109,-1.294,-0.748,-99.000,0.000,no_far
68,-1.289,-2.326,-2.110,-1.295,-0.750,-99.000,0.000,no_far
72,-1.290,-2.323,-2.112,-1.296,-0.752,-99.000,0.000,no_far
76,-1.291,-2.319,-2.113,-1.297,-0.754,-99.000,0.000,no_far
80,-1.292,-2.316,-2.115,-1.298,-0.757,-99.000,0.000,no_far
84,-1.293,-2.312,-2.116,-1.299,-0.759,-99.000,0.000,no_far
88,-1.294,-2.309,-2.118,-1.300,-0.761,-99.000,0.000,no_far
92,-1.295,-2.305,-2.120,-1.301,-0.763,-99.000,0.000,no_far
96,-1.296,-2.301,-2.121,-1.302,-0.766,-99.000,0.000,no_far
100,-1.297,-2.297,-2.123,-1.303,-0.768,-99.000,0.000,no_far
104,-1.298,-2.293,-2.125,-1.304,-0.770,-99.000,0.000,no_far
108,-1.299,-2.289,-2.126,-1.305,-0.773,-99.000,0.000,no_far
112,-1.300,-2.285,-2.128,-1.306,-0.775,-99.000,0.000,no_far
116,-1.301,-2.281,-2.130,-1.306,-0.777,-99.000,0.000,no_far
120,-1.302,-2.277,-2.132,-1.307,-0.779,-99.000,0.000,no_far
124,-1.303,-2.273,-2.134,-1.308,-0.782,-99.000,0.000,no_far
128,-1.303,-2.268,-2.136,-1.309,-0.784,-99.000,0.000,no_far
132,-1.304,-2.264,-2.138,-1.310,-0.718,-99.000,0.000,no_far
136,-1.305,-2.260,-2.139,-1.311,-0.720,-99.000,0.000,no_far
140,-1.306,-2.256,-2.141,-1.312,-0.722,-99.000,0.000,no_far
144,-1.307,-2.251,-2.143,-1.313,-0.724,-99.000,0.000,no_far
148,-1.307,-2.246,-2.145,-1.313,-0.726,-99.000,0.000,no_far
152,-1.308,-2.242,-2.147,-1.314,-0.728,-99.000,0.000,no_far
156,-1.309,-2.237,-2.150,-1.315,-0.730,-99.000,0.000,no_far
160,-1.309,-2.233,-2.152,-1.315,-0.732,-99.000,0.000,no_far
164,-1.310,-2.228,-2.154,-1.316,-0.734,-99.000,0.000,no_far
168,-1.310,-2.223,-2.156,-1.316,-0.736,-99.000,0.000,no_far
172,-1.311,-2.218,-2.158,-1.317,-0.738,-99.000,0.000,no_far
176,-1.311,-2.213,-2.160,-1.317,-0.740,-99.000,0.000,no_far
180,-1.312,-2.208,-2.162,-1.318,-0.743,-99.000,0.000,no_far
184,-1.312,-2.203,-2.164,-1.318,-0.745,-99.000,0.000,no_far
188,-1.312,-2.198,-2.166,-1.318,-0.747,-99.000,0.000,no_far
192,-1.312,-2.193,-2.168,-1.319,-0.749,-99.000,0.000,no_far
196,-1.313,-2.188,-2.171,-1.319,-0.751,-99.000,0.000,no_far
200,-1.313,-2.182,-2.173,-1.319,-0.753,-99.000,0.000,no_far
204,-1.312,-2.177,-2.175,-1.319,-0.755,-99.000,0.000,no_far
208,-1.312,-2.171,-2.177,-1.319,-0.757,-99.000,0.000,no_far
212,-1.312,-2.166,-2.179,-1.318,-0.759,-99.000,0.000,no_far
216,-1.312,-2.160,-2.181,-1.318,-0.761,-99.000,0.000,no_far
220,-1.311,-2.155,-2.183,-1.318,-0.763,-99.000,0.000,no_far
224,-1.311,-2.149,-2.185,-1.317,-0.765,-99.000,0.000,no_far
228,-1.310,-2.143,-2.187,-1.317,-0.767,-99.000,0.000,no_far
232,-1.309,-2.137,-2.189,-1.316,-0.770,-99.000,0.000,no_far
236,-1.308,-2.131,-2.192,-1.315,-0.772,-99.000,0.000,no_far
