stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
mw3,north,3,1.0,128.500,129.500,walk,830,2601,0.4997,0,1,0,0
mw3,north,3,2.0,128.500,130.500,walk,863,2601,0.6287,0,1,0,0
mw3,north,3,3.0,128.500,131.500,walk,896,2601,0.7450,0,1,0,0
mw3,north,3,4.0,128.500,132.500,walk,929,2601,0.5884,0,1,0,0
mw3,north,3,5.0,128.500,133.500,walk,947,2601,0.5561,0,1,0,0
mw3,north,3,6.0,128.500,134.500,walk,957,2601,0.8072,0,1,0,0
mw3,north,3,7.0,128.500,135.500,walk,963,2601,0.5782,0,1,0,0
mw3,north,3,8.0,128.500,136.500,walk,967,2601,1.0316,51,1,0,0
mw3,north,3,9.0,128.500,137.500,walk,969,2583,4.2395,18,0,0,0
mw3,north,3,10.0,128.500,138.500,walk,971,2601,2.0702,0,0,0,0
mw3,north,3,11.0,128.500,139.500,walk,973,2601,0.6079,0,1,0,0
mw3,north,3,12.0,128.500,140.500,walk,975,2601,0.5845,0,1,0,0
mw3,north,3,13.0,128.500,141.500,walk,975,2601,0.5999,0,1,0,0
mw3,north,3,14.0,128.500,142.500,walk,975,2601,0.5652,0,1,0,0
mw3,north,3,15.0,128.500,143.500,walk,975,2601,0.5250,0,1,0,0
mw3,north,3,16.0,128.500,144.500,walk,975,2601,0.5637,51,1,0,0
mw3,north,3,17.0,128.500,145.500,walk,975,2579,3.7879,22,0,0,0
mw3,north,3,18.0,128.500,146.500,walk,975,2601,2.4757,0,0,0,0
mw3,north,3,19.0,128.500,147.500,walk,975,2601,0.8146,0,0,0,0
mw3,north,3,20.0,128.500,148.500,walk,975,2601,0.6589,0,1,0,0
mw3,north,3,21.0,128.500,149.500,walk,975,2601,0.6359,0,1,0,0
mw3,north,3,22.0,128.500,150.500,walk,975,2601,0.5653,0,1,0,0
mw3,north,3,23.0,128.500,151.500,walk,975,2601,0.5277,0,1,0,0
mw3,north,3,24.0,128.500,152.500,walk,975,2601,0.5213,51,1,0,0
mw3,north,3,25.0,128.500,153.500,walk,975,2582,3.7034,19,0,0,0
mw3,north,3,26.0,128.500,154.500,walk,975,2601,2.1887,0,0,0,0
mw3,north,3,27.0,128.500,155.500,walk,975,2601,0.5941,0,1,0,0
mw3,north,3,28.0,128.500,156.500,walk,975,2601,0.5822,0,1,0,0
mw3,north,3,29.0,128.500,157.500,walk,975,2601,0.5328,0,1,0,0
mw3,north,3,30.0,128.500,158.500,walk,975,2601,0.5794,0,1,0,0
mw3,north,3,31.0,128.500,159.500,walk,975,2601,0.6012,0,1,0,0
mw3,north,3,32.0,128.500,160.500,walk,975,2601,0.6093,51,1,0,0
mw3,north,3,33.0,128.500,161.500,walk,975,2582,4.4871,19,1,0,0
mw3,north,3,34.0,128.500,162.500,walk,975,2601,2.3381,0,0,0,0
mw3,north,3,35.0,128.500,163.500,walk,975,2601,0.7069,0,1,0,0
mw3,north,3,36.0,128.500,164.500,walk,975,2601,0.5774,0,1,0,0
mw3,north,3,37.0,128.500,165.500,walk,975,2601,0.5306,0,1,0,0
mw3,north,3,38.0,128.500,166.500,walk,975,2601,0.5731,0,1,0,0
mw3,north,3,39.0,128.500,167.500,walk,975,2601,0.5701,0,1,0,0
mw3,north,3,40.0,128.500,168.500,walk,975,2601,0.5320,51,1,0,0
mw3,north,3,41.0,128.500,169.500,walk,975,2582,3.9496,19,0,0,0
mw3,north,3,42.0,128.500,170.500,walk,975,2601,2.1761,0,0,0,0
mw3,north,3,43.0,128.500,171.500,walk,975,2601,0.6238,0,1,0,0
mw3,north,3,44.0,128.500,172.500,walk,975,2601,0.5792,0,1,0,0
mw3,north,3,45.0,128.500,173.500,walk,975,2601,0.5583,0,1,0,0
mw3,north,3,46.0,128.500,174.500,walk,975,2601,0.5454,0,1,0,0
mw3,north,3,47.0,128.500,175.500,walk,975,2601,0.6532,0,1,0,0
mw3,north,3,48.0,128.500,176.500,walk,975,2601,1.0470,51,1,0,0
mw3,north,3,49.0,128.500,177.500,walk,975,2580,3.4427,21,0,0,0
mw3,north,3,50.0,128.500,178.500,walk,975,2601,2.4558,0,0,0,0
mw3,north,3,51.0,128.500,179.500,walk,975,2601,0.6251,0,0,0,0
mw3,north,3,52.0,128.500,180.500,walk,975,2601,0.5662,0,1,0,0
mw3,north,3,53.0,128.500,181.500,walk,975,2601,0.5936,0,1,0,0
mw3,north,3,54.0,128.500,182.500,walk,975,2601,0.5304,0,1,0,0
mw3,north,3,55.0,128.500,183.500,walk,975,2601,0.5483,0,1,0,0
mw3,north,3,56.0,128.500,184.500,walk,975,2601,0.5111,51,1,0,0
mw3,north,3,57.0,128.500,185.500,walk,975,2581,3.9811,20,1,0,0
mw3,north,3,58.0,128.500,186.500,walk,975,2601,2.4413,0,0,0,0
mw3,north,3,59.0,128.500,187.500,walk,975,2601,1.2395,0,1,0,0
mw3,north,3,60.0,128.500,188.500,walk,975,2601,0.6496,0,1,0,0
mw3,north,3,61.0,128.500,189.500,walk,975,2601,0.6529,0,1,0,0
mw3,north,3,62.0,128.500,190.500,walk,975,2601,0.5946,0,1,0,0
mw3,north,3,63.0,128.500,191.500,walk,975,2601,0.5503,0,1,0,0
mw3,north,3,64.0,128.500,192.500,walk,975,2601,0.5230,51,1,0,0
mw3,north,3,66.0,128.500,194.500,sprint,973,2582,3.9494,19,0,0,0
mw3,north,3,68.0,128.500,196.500,sprint,971,2601,2.2181,0,0,0,0
mw3,north,3,70.0,128.500,198.500,sprint,969,2601,4.8997,0,1,0,0
mw3,north,3,72.0,128.500,200.500,sprint,967,2601,0.7051,51,1,0,0
mw3,north,3,74.0,128.500,202.500,sprint,965,2580,3.5359,21,0,0,0
mw3,north,3,76.0,128.500,204.500,sprint,963,2601,2.5230,0,0,0,0
mw3,north,3,78.0,128.500,206.500,sprint,963,2601,0.7455,0,1,0,0
mw3,north,3,80.0,128.500,208.500,sprint,963,2601,0.6261,51,1,0,0
mw3,north,3,82.0,128.500,210.500,sprint,963,2582,3.9903,19,1,0,0
