phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.029,0.7,128.994,128.994,fly,0.716,ok,2601,0,0,192.00,246165504,323334144,114090264,95883264,18123768,2601,0,22132800,797,0,0,0,0,0,0,0,0,0,0,0.369,0.011,0.000,0,0,0,0,0,0,0
travel,0.059,1.4,129.504,129.504,fly,0.710,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,842,0,0,0,0,0,0,0,0,0,0,0.369,0.010,0.000,0,0,0,0,0,0,0
travel,0.089,2.1,130.016,130.016,fly,1.194,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,887,0,0,0,0,0,0,0,0,0,0,0.479,0.023,0.000,0,0,0,0,0,0,0
travel,0.120,2.9,130.529,130.529,fly,0.807,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,887,0,0,0,0,0,0,0,0,0,0,0.403,0.023,0.000,0,0,0,0,0,0,0
travel,0.150,3.6,131.039,131.039,fly,0.725,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,932,0,0,0,0,0,0,0,0,0,0,0.376,0.010,0.000,0,0,0,0,0,0,0
travel,0.180,4.3,131.548,131.548,fly,0.814,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,932,0,0,0,0,0,0,0,0,0,0,0.392,0.018,0.000,0,0,0,0,0,0,0
travel,0.210,5.0,132.059,132.059,fly,0.795,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,950,0,0,0,0,0,0,0,0,0,0,0.415,0.022,0.000,0,0,0,0,0,0,0
travel,0.240,5.8,132.575,132.575,fly,0.718,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,950,0,0,0,0,0,0,0,0,0,0,0.377,0.010,0.000,0,0,0,0,0,0,0
travel,0.270,6.5,133.084,133.084,fly,0.709,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,956,0,0,0,0,0,0,0,0,0,0,0.369,0.010,0.000,0,0,0,0,0,0,0
travel,0.300,7.2,133.593,133.593,fly,0.805,ok,2601,0,0,192.00,246169600,323334144,114090264,95883264,18123768,2601,0,22132800,956,0,0,0,0,0,0,0,0,0,0,0.438,0.023,0.000,0,0,0,0,0,0,0
