stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,124,0.3264,2477,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,204,0.2994,2397,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,284,0.2361,2317,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,372,0.6578,2229,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,490,0.3035,2111,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,616,0.5436,1985,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,753,0.3637,1848,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,887,0.5637,1714,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1014,0.5580,1587,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1125,0.4788,1476,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1252,0.6436,1349,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1387,0.4737,1214,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1530,0.4548,1071,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1696,0.4816,905,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,1884,0.7840,717,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,2127,0.7463,474,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,2300,0.9600,301,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,2464,0.7178,137,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.8389,0,0,0,0
p5b1,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.6256,0,0,0,0
p5b1,north,3,1.0,128.500,129.500,walk,830,2601,0.7975,0,1,0,0
p5b1,north,3,2.0,128.500,130.500,walk,863,2601,0.8792,0,1,0,0
p5b1,north,3,3.0,128.500,131.500,walk,896,2601,0.8417,0,1,0,0
p5b1,north,3,4.0,128.500,132.500,walk,929,2601,0.8150,0,1,0,0
