stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,124,0.2871,2477,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,202,0.2283,2399,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,285,0.2395,2316,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,360,0.2508,2241,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,488,0.3213,2113,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,624,0.4694,1977,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,763,0.3469,1838,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,900,0.3916,1701,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1021,0.9549,1580,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1142,0.5145,1459,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1264,0.7810,1337,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1402,0.5935,1199,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1554,0.5462,1047,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1715,0.7137,886,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,1898,0.5864,703,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,2142,0.5940,459,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,2312,0.5908,289,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,2489,0.8071,112,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.5815,0,0,0,0
p5b2a,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.5882,0,0,0,0
p5b2a,north,3,1.0,128.500,129.500,walk,830,2601,0.7273,0,1,0,0
p5b2a,north,3,2.0,128.500,130.500,walk,863,2601,0.9108,0,1,0,0
p5b2a,north,3,3.0,128.500,131.500,walk,896,2601,0.8363,0,1,0,0
p5b2a,north,3,4.0,128.500,132.500,walk,929,2601,0.8132,0,1,0,0
p5b2a,north,3,5.0,128.500,133.500,walk,947,2601,0.8208,0,1,0,0
p5b2a,north,3,6.0,128.500,134.500,walk,957,2601,0.8155,0,1,0,0
p5b2a,north,3,7.0,128.500,135.500,walk,963,2601,0.8175,0,1,0,0
p5b2a,north,3,8.0,128.500,136.500,walk,967,2601,0.8222,51,1,0,0
p5b2a,north,3,9.0,128.500,137.500,walk,969,2601,5.7453,0,0,0,0
p5b2a,north,3,10.0,128.500,138.500,walk,971,2601,1.1425,0,0,0,0
p5b2a,north,3,11.0,128.500,139.500,walk,973,2601,1.1032,0,0,0,0
p5b2a,north,3,12.0,128.500,140.500,walk,975,2601,0.9921,0,0,0,0
p5b2a,north,3,13.0,128.500,141.500,walk,975,2601,0.8531,0,0,0,0
p5b2a,north,3,14.0,128.500,142.500,walk,975,2601,0.8357,0,0,0,0
p5b2a,north,3,15.0,128.500,143.500,walk,975,2601,0.8323,0,0,0,0
p5b2a,north,3,16.0,128.500,144.500,walk,975,2601,0.8233,51,0,0,0
p5b2a,north,3,17.0,128.500,145.500,walk,975,2601,5.1010,0,0,0,0
p5b2a,north,3,18.0,128.500,146.500,walk,975,2601,0.8741,0,0,0,0
p5b2a,north,3,19.0,128.500,147.500,walk,975,2601,0.8264,0,0,0,0
p5b2a,north,3,20.0,128.500,148.500,walk,975,2601,1.1364,0,0,0,0
p5b2a,north,3,21.0,128.500,149.500,walk,975,2601,1.6543,0,0,0,0
p5b2a,north,3,22.0,128.500,150.500,walk,975,2601,1.2303,0,0,0,0
p5b2a,north,3,23.0,128.500,151.500,walk,975,2601,1.0577,0,0,0,0
p5b2a,north,3,24.0,128.500,152.500,walk,975,2601,1.0146,51,0,0,0
p5b2a,north,3,25.0,128.500,153.500,walk,975,2582,3.7519,19,0,0,0
p5b2a,north,3,26.0,128.500,154.500,walk,975,2589,1.6184,12,0,0,0
p5b2a,north,3,27.0,128.500,155.500,walk,975,2592,1.3810,9,0,0,0
p5b2a,north,3,28.0,128.500,156.500,walk,975,2596,1.5210,5,0,0,0
p5b2a,north,3,29.0,128.500,157.500,walk,975,2598,1.3514,3,0,0,0
p5b2a,north,3,30.0,128.500,158.500,walk,975,2601,1.5555,0,0,0,0
p5b2a,north,3,31.0,128.500,159.500,walk,975,2601,2.1050,0,0,0,0
p5b2a,north,3,32.0,128.500,160.500,walk,975,2601,1.5242,51,0,0,0
p5b2a,north,3,33.0,128.500,161.500,walk,975,2550,1.8954,51,0,0,0
p5b2a,north,3,34.0,128.500,162.500,walk,975,2550,1.4129,51,0,0,0
p5b2a,north,3,35.0,128.500,163.500,walk,975,2550,1.4388,51,0,0,0
p5b2a,north,3,36.0,128.500,164.500,walk,975,2550,1.3775,51,0,0,0
p5b2a,north,3,37.0,128.500,165.500,walk,975,2550,1.4311,51,0,0,0
p5b2a,north,3,38.0,128.500,166.500,walk,975,2550,1.4290,51,0,0,0
p5b2a,north,3,39.0,128.500,167.500,walk,975,2550,1.4537,51,0,0,0
p5b2a,north,3,40.0,128.500,168.500,walk,975,2550,1.4477,102,0,0,0
p5b2a,north,3,41.0,128.500,169.500,walk,975,2499,1.7176,102,0,0,0
p5b2a,north,3,42.0,128.500,170.500,walk,975,2499,1.8276,102,0,0,0
p5b2a,north,3,43.0,128.500,171.500,walk,975,2499,1.3822,102,0,0,0
p5b2a,north,3,44.0,128.500,172.500,walk,975,2499,1.3664,102,0,0,0
p5b2a,north,3,45.0,128.500,173.500,walk,975,2499,1.3946,102,0,0,0
p5b2a,north,3,46.0,128.500,174.500,walk,975,2499,1.3720,102,0,0,0
p5b2a,north,3,47.0,128.500,175.500,walk,975,2499,1.4466,102,0,0,0
p5b2a,north,3,48.0,128.500,176.500,walk,975,2499,1.4611,153,0,0,0
p5b2a,north,3,49.0,128.500,177.500,walk,975,2448,1.4442,153,0,0,0
p5b2a,north,3,50.0,128.500,178.500,walk,975,2448,1.4860,153,0,0,0
p5b2a,north,3,51.0,128.500,179.500,walk,975,2448,1.4463,153,0,0,0
p5b2a,north,3,52.0,128.500,180.500,walk,975,2448,1.8975,153,0,0,0
p5b2a,north,3,53.0,128.500,181.500,walk,975,2448,1.7091,153,0,0,0
p5b2a,north,3,54.0,128.500,182.500,walk,975,2448,1.5188,153,0,0,0
p5b2a,north,3,55.0,128.500,183.500,walk,975,2448,1.5190,153,0,0,0
p5b2a,north,3,56.0,128.500,184.500,walk,975,2448,1.5098,204,0,0,0
p5b2a,north,3,57.0,128.500,185.500,walk,975,2397,1.4972,204,0,0,0
p5b2a,north,3,58.0,128.500,186.500,walk,975,2397,1.5443,204,0,0,0
p5b2a,north,3,59.0,128.500,187.500,walk,975,2397,1.5473,204,0,0,0
p5b2a,north,3,60.0,128.500,188.500,walk,975,2397,1.5932,204,0,0,0
p5b2a,north,3,61.0,128.500,189.500,walk,975,2397,1.7194,204,0,0,0
p5b2a,north,3,62.0,128.500,190.500,walk,975,2397,2.1598,204,0,0,0
p5b2a,north,3,63.0,128.500,191.500,walk,975,2397,1.8976,204,0,0,0
p5b2a,north,3,64.0,128.500,192.500,walk,975,2397,1.5516,255,0,0,0
p5b2a,north,3,66.0,128.500,194.500,sprint,973,2346,1.6383,255,0,0,0
p5b2a,north,3,68.0,128.500,196.500,sprint,971,2346,2.4007,255,0,0,0
p5b2a,north,3,70.0,128.500,198.500,sprint,969,2346,2.3394,255,0,0,0
p5b2a,north,3,72.0,128.500,200.500,sprint,967,2348,2.4141,304,0,0,0
p5b2a,north,3,74.0,128.500,202.500,sprint,965,2300,2.9285,301,0,0,0
p5b2a,north,3,76.0,128.500,204.500,sprint,963,2305,2.9452,296,0,0,0
p5b2a,north,3,78.0,128.500,206.500,sprint,963,2306,2.3138,295,0,0,0
p5b2a,north,3,80.0,128.500,208.500,sprint,963,2308,2.1073,344,0,0,0
p5b2a,north,3,82.0,128.500,210.500,sprint,963,2264,2.5316,337,0,0,0
p5b2a,north,3,84.0,128.500,212.500,sprint,963,2268,2.1570,333,0,0,0
p5b2a,north,3,86.0,128.500,214.500,sprint,963,2272,1.9630,329,0,0,0
p5b2a,north,3,88.0,128.500,216.500,sprint,963,2276,2.0648,376,0,0,0
p5b2a,north,3,90.0,128.500,218.500,sprint,963,2229,2.0581,372,0,0,0
p5b2a,north,3,92.0,128.500,220.500,sprint,963,2232,2.1314,369,0,0,0
p5b2a,north,3,94.0,128.500,222.500,sprint,963,2235,1.6980,366,0,0,0
p5b2a,north,3,96.0,128.500,224.500,sprint,963,2237,1.5989,415,0,0,0
p5b2a,north,3,98.0,128.500,226.500,sprint,963,2189,1.5973,412,0,0,0
p5b2a,north,3,100.0,128.500,228.500,sprint,963,2193,1.6831,408,0,0,0
p5b2a,north,3,102.0,128.500,230.500,sprint,963,2193,1.3333,408,0,0,0
p5b2a,north,3,104.0,128.500,232.500,sprint,963,2193,1.3652,459,0,0,0
p5b2a,north,3,106.0,128.500,234.500,sprint,963,2142,1.4385,459,0,0,0
p5b2a,north,3,108.0,128.500,236.500,sprint,963,2142,1.2783,459,0,0,0
p5b2a,north,3,110.0,128.500,238.500,sprint,963,2142,1.1395,459,0,0,0
p5b2a,north,3,112.0,128.500,240.500,sprint,963,2142,1.0672,510,0,0,0
p5b2a,north,3,114.0,128.500,242.500,sprint,963,2091,1.5908,510,0,0,0
p5b2a,north,3,116.0,128.500,244.500,sprint,963,2091,1.5372,510,0,0,0
p5b2a,north,3,118.0,128.500,246.500,sprint,963,2091,1.0623,510,0,0,0
p5b2a,north,3,120.0,128.500,248.500,sprint,963,2091,1.0077,561,0,0,0
p5b2a,north,3,122.0,128.500,250.500,sprint,963,2040,1.0135,561,0,0,0
p5b2a,north,3,124.0,128.500,252.500,sprint,963,2040,0.9742,561,0,0,0
p5b2a,north,3,126.0,128.500,254.500,sprint,963,2040,0.9554,561,0,0,0
p5b2a,north,3,128.0,128.500,256.500,sprint,963,2040,0.9857,612,0,0,0
p5b2a,north,3,132.0,128.500,260.500,free_fly,961,1989,1.0335,612,0,0,0
p5b2a,north,3,136.0,128.500,264.500,free_fly,959,1989,1.4787,663,0,0,0
p5b2a,north,3,140.0,128.500,268.500,free_fly,957,1938,1.4404,663,0,0,0
p5b2a,north,3,144.0,128.500,272.500,free_fly,957,1938,1.3627,714,0,0,0
p5b2a,north,3,148.0,128.500,276.500,free_fly,957,1887,1.3749,714,0,0,0
p5b2a,north,3,152.0,128.500,280.500,free_fly,957,1887,1.4743,765,0,0,0
p5b2a,north,3,156.0,128.500,284.500,free_fly,957,1836,2.2554,765,0,0,0
p5b2a,north,3,160.0,128.500,288.500,free_fly,957,1836,1.3831,816,0,0,0
p5b2a,north,3,164.0,128.500,292.500,free_fly,957,1785,1.3047,816,0,0,0
p5b2a,north,3,168.0,128.500,296.500,free_fly,957,1785,1.3713,867,0,0,0
p5b2a,north,3,172.0,128.500,300.500,free_fly,957,1734,1.3075,867,0,0,0
p5b2a,north,3,176.0,128.500,304.500,free_fly,957,1734,1.3723,918,0,0,0
p5b2a,north,3,180.0,128.500,308.500,free_fly,957,1683,1.3020,918,0,0,0
p5b2a,north,3,184.0,128.500,312.500,free_fly,957,1683,1.2115,969,0,0,0
p5b2a,north,3,188.0,128.500,316.500,free_fly,957,1632,1.2333,969,0,0,0
p5b2a,north,3,192.0,128.500,320.500,free_fly,957,1632,1.2984,1020,0,0,0
p5b2a,north,3,196.0,128.500,324.500,free_fly,957,1581,1.2511,1020,0,0,0
p5b2a,north,3,200.0,128.500,328.500,free_fly,957,1581,2.3822,1071,0,0,0
p5b2a,north,3,204.0,128.500,332.500,free_fly,957,1530,2.0586,1071,0,0,0
p5b2a,north,3,208.0,128.500,336.500,free_fly,957,1530,1.4624,1122,0,0,0
p5b2a,north,3,212.0,128.500,340.500,free_fly,957,1479,1.5640,1122,0,0,0
