elapsed_s,distance_m,x,y,mode,frame_ms,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,packages_created,packages_retired,wake_water_body,wake_topology,wake_mesh,wake_collision,wake_grass,wake_tree
0.167,4.0,131.329,131.329,fly,5.722,2601,0,0,192.00,386207744,502153216,0,0,0,0,0,0,0,0
0.334,8.0,134.164,134.164,fly,5.994,2601,0,0,192.00,386285568,502222848,0,0,0,0,0,0,0,0
0.512,12.3,137.197,137.197,fly,5.217,2601,0,150,192.00,390889472,511160320,101,101,0,0,101,101,0,0
0.690,16.5,140.202,140.202,fly,5.013,2601,0,0,192.00,400089088,520663040,101,101,0,0,101,101,0,0
0.860,20.7,143.102,143.102,fly,7.896,2601,0,0,192.00,400089088,520663040,101,101,0,0,101,101,0,0
1.048,25.2,146.293,146.293,fly,6.227,2601,0,88,192.00,412655616,535429120,202,202,0,0,202,202,0,0
1.222,29.3,149.241,149.241,fly,5.018,2601,0,0,192.00,422318080,545144832,202,202,0,0,202,202,0,0
1.387,33.3,152.045,152.045,fly,5.150,2601,101,0,192.00,422318080,545144832,202,202,0,0,202,202,0,0
1.574,37.8,155.212,155.212,fly,5.034,2601,0,41,192.00,437972992,565243904,303,303,0,0,303,303,0,0
1.743,41.8,158.080,158.080,fly,5.014,2601,0,0,192.00,444694528,571797504,303,303,0,0,303,303,0,0
1.917,46.0,161.029,161.029,fly,6.290,2601,0,169,192.00,446013440,577048576,404,404,0,0,404,404,0,0
2.088,50.1,163.927,163.927,fly,5.058,2601,0,9,192.00,454037504,585666560,404,404,0,0,404,404,0,0
2.245,53.9,166.595,166.595,fly,4.831,2601,0,0,192.00,454746112,586493952,404,404,0,0,404,404,0,0
2.417,58.0,169.516,169.516,fly,5.592,2601,0,122,192.00,457695232,588988416,505,505,0,0,505,505,0,0
2.588,62.1,172.416,172.416,fly,5.028,2601,0,0,192.00,464953344,596885504,505,505,0,0,505,505,0,0
2.746,65.9,175.104,175.104,fly,5.179,2601,0,0,192.00,464953344,596885504,505,505,0,0,505,505,0,0
2.910,69.8,177.889,177.889,fly,4.846,2601,0,94,192.00,468627456,600309760,606,606,0,0,606,606,0,0
3.071,73.7,180.623,180.623,fly,4.569,2601,0,0,192.00,474415104,606527488,606,606,0,0,606,606,0,0
3.221,77.3,183.162,183.162,fly,5.134,2601,0,0,192.00,474415104,606527488,606,606,0,0,606,606,0,0
3.388,81.3,185.999,185.999,fly,4.704,2601,0,89,192.00,478670848,612601856,707,707,0,0,707,707,0,0
3.545,85.1,188.655,188.655,fly,4.618,2601,0,0,192.00,484257792,618811392,707,707,0,0,707,707,0,0
3.695,88.7,191.200,191.200,fly,4.496,2601,0,0,192.00,484257792,618811392,707,707,0,0,707,707,0,0
