elapsed_s,distance_m,x,y,mode,frame_ms,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,packages_created,packages_retired,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
0.152,3.6,131.073,131.073,fly,4.964,2601,0,0,192.00,390524928,509517824,0,0,0,0,0,0,0,0,0
0.304,7.3,133.666,133.666,fly,4.929,2601,0,0,192.00,390594560,509595648,0,0,0,0,0,0,0,0,0
0.464,11.1,136.373,136.373,fly,4.848,2601,0,201,192.00,395206656,518524928,101,101,0,0,0,101,101,0,0
0.619,14.9,139.007,139.007,fly,4.983,2601,0,48,192.00,400506880,524070912,101,101,0,0,0,101,101,0,0
0.773,18.5,141.616,141.616,fly,4.695,2601,0,0,192.00,403795968,527384576,101,101,0,0,0,101,101,0,0
0.938,22.5,144.422,144.422,fly,5.183,2601,0,202,192.00,408268800,533688320,202,202,0,0,0,202,202,0,0
1.095,26.3,147.084,147.084,fly,5.353,2601,0,52,192.00,418213888,543903744,202,202,0,0,0,202,202,0,0
1.248,30.0,149.678,149.678,fly,4.774,2601,0,0,192.00,425693184,551346176,202,202,0,0,0,202,202,0,0
1.413,33.9,152.475,152.475,fly,5.203,2601,0,201,192.00,430190592,560275456,303,303,0,0,0,303,303,0,0
1.576,37.8,155.240,155.240,fly,5.415,2601,0,50,192.00,444260352,574595072,303,303,0,0,0,303,303,0,0
1.728,41.5,157.823,157.823,fly,4.917,2601,0,0,192.00,447512576,577929216,303,303,0,0,0,303,303,0,0
1.905,45.7,160.831,160.831,fly,5.955,2601,0,183,192.00,448598016,582656000,404,404,0,0,0,404,404,0,0
2.069,49.6,163.606,163.606,fly,4.980,2601,0,21,192.00,455417856,589762560,404,404,0,0,0,404,404,0,0
2.217,53.2,166.122,166.122,fly,5.264,2601,0,0,192.00,456953856,591462400,404,404,0,0,0,404,404,0,0
2.376,57.0,168.820,168.820,fly,5.294,2601,0,186,192.00,458698752,593039360,505,505,0,0,0,505,505,0,0
2.540,61.0,171.608,171.608,fly,5.190,2601,0,30,192.00,465428480,599965696,505,505,0,0,0,505,505,0,0
2.694,64.7,174.219,174.219,fly,4.618,2601,0,0,192.00,467451904,602062848,505,505,0,0,0,505,505,0,0
2.849,68.4,176.854,176.854,fly,4.346,2601,0,179,192.00,468074496,602587136,606,606,0,0,0,606,606,0,0
3.000,72.0,179.406,179.406,fly,5.591,2601,0,22,192.00,475344896,610078720,606,606,0,0,0,606,606,0,0
3.141,75.4,181.806,181.806,fly,4.495,2601,0,0,192.00,476954624,611811328,606,606,0,0,0,606,606,0,0
3.290,78.9,184.326,184.326,fly,14.835,2601,0,108,192.00,477507584,614440960,707,707,0,0,0,707,707,0,0
3.440,82.6,186.877,186.877,fly,4.503,2601,0,62,192.00,482410496,619569152,707,707,0,0,0,707,707,0,0
3.581,85.9,189.265,189.265,fly,4.443,2601,0,0,192.00,486334464,623529984,707,707,0,0,0,707,707,0,0
3.724,89.4,191.695,191.695,fly,5.237,2601,0,0,192.00,486338560,623529984,707,707,0,0,0,707,707,0,0
3.881,93.1,194.359,194.359,fly,4.561,2601,0,82,192.00,490393600,628236288,808,808,0,0,0,808,808,0,0
4.029,96.7,196.877,196.877,fly,4.521,2601,0,0,192.00,495554560,633352192,808,808,0,0,0,808,808,0,0
4.168,100.0,199.238,199.238,fly,4.455,2601,0,0,192.00,495554560,633352192,808,808,0,0,0,808,808,0,0
4.325,103.8,201.896,201.896,fly,5.064,2601,0,97,192.00,498696192,636252160,909,909,0,0,0,909,909,0,0
4.478,107.5,204.501,204.501,fly,5.010,2601,0,0,192.00,504537088,642170880,909,909,0,0,0,909,909,0,0
4.630,111.1,207.073,207.073,fly,6.259,2601,0,0,192.00,504537088,642170880,909,909,0,0,0,909,909,0,0
4.790,115.0,209.794,209.794,fly,4.620,2601,0,98,192.00,508301312,646012928,1010,1010,0,0,0,1010,1010,0,0
4.950,118.8,212.502,212.502,fly,4.777,2601,0,0,192.00,514506752,652242944,1010,1010,0,0,0,1010,1010,0,0
5.107,122.6,215.165,215.165,fly,6.131,2601,0,0,192.00,514506752,652242944,1010,1010,0,0,0,1010,1010,0,0
5.264,126.3,217.826,217.826,fly,4.692,2601,0,101,192.00,516841472,654823424,1111,1111,0,0,0,1111,1111,0,0
5.424,130.2,220.553,220.553,fly,7.231,2601,0,0,192.00,523333632,661413888,1111,1111,0,0,0,1111,1111,0,0
5.582,134.0,223.222,223.222,fly,5.079,2601,0,0,192.00,523341824,661413888,1111,1111,0,0,0,1111,1111,0,0
5.737,137.7,225.861,225.861,fly,4.542,2601,0,103,192.00,525230080,663252992,1212,1212,0,0,0,1212,1212,0,0
5.894,141.5,228.521,228.521,fly,4.600,2601,0,0,192.00,532041728,670400512,1212,1212,0,0,0,1212,1212,0,0
6.040,145.0,231.000,231.000,fly,4.310,2601,0,0,192.00,532041728,670400512,1212,1212,0,0,0,1212,1212,0,0
6.194,148.7,233.614,233.614,fly,4.931,2601,0,131,192.00,532783104,671113216,1313,1313,0,0,0,1313,1313,0,0
6.347,152.3,236.214,236.214,fly,5.008,2601,0,0,192.00,540917760,679325696,1313,1313,0,0,0,1313,1313,0,0
6.488,155.7,238.605,238.605,fly,4.662,2601,0,0,192.00,540917760,679325696,1313,1313,0,0,0,1313,1313,0,0
