stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b2c,north,1,0.0,128.500,128.500,settle_origin,797,1450,1.1242,1151,0,0,0
p5b2c,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.8231,0,0,0,0
p5b2c,north,3,1.0,128.500,129.500,walk,830,2601,0.7581,0,1,0,0
p5b2c,north,3,2.0,128.500,130.500,walk,863,2601,0.8179,0,1,0,0
p5b2c,north,3,3.0,128.500,131.500,walk,896,2601,0.6206,0,1,0,0
p5b2c,north,3,4.0,128.500,132.500,walk,929,2601,0.6123,0,1,0,0
p5b2c,north,3,5.0,128.500,133.500,walk,947,2601,0.7301,0,1,0,0
p5b2c,north,3,6.0,128.500,134.500,walk,957,2601,0.6404,0,1,0,0
p5b2c,north,3,7.0,128.500,135.500,walk,963,2601,0.6106,0,1,0,0
p5b2c,north,3,8.0,128.500,136.500,walk,967,2601,0.7427,51,1,0,0
p5b2c,north,3,9.0,128.500,137.500,walk,969,2585,4.3560,16,0,0,0
p5b2c,north,3,10.0,128.500,138.500,walk,971,2601,3.3041,0,0,0,0
p5b2c,north,3,11.0,128.500,139.500,walk,973,2601,0.9023,0,0,0,0
p5b2c,north,3,12.0,128.500,140.500,walk,975,2601,0.7080,0,0,0,0
p5b2c,north,3,13.0,128.500,141.500,walk,975,2601,0.8156,0,0,0,0
p5b2c,north,3,14.0,128.500,142.500,walk,975,2601,0.7074,0,0,0,0
p5b2c,north,3,15.0,128.500,143.500,walk,975,2601,0.7534,0,0,0,0
p5b2c,north,3,16.0,128.500,144.500,walk,975,2601,0.8440,51,0,0,0
p5b2c,north,3,17.0,128.500,145.500,walk,975,2572,4.5315,29,0,0,0
p5b2c,north,3,18.0,128.500,146.500,walk,975,2595,3.9172,6,0,0,0
p5b2c,north,3,19.0,128.500,147.500,walk,975,2601,2.0451,0,0,0,0
p5b2c,north,3,20.0,128.500,148.500,walk,975,2601,1.1300,0,0,0,0
p5b2c,north,3,21.0,128.500,149.500,walk,975,2601,1.3156,0,0,0,0
p5b2c,north,3,22.0,128.500,150.500,walk,975,2601,0.9498,0,0,0,0
p5b2c,north,3,23.0,128.500,151.500,walk,975,2601,1.1586,0,0,0,0
p5b2c,north,3,24.0,128.500,152.500,walk,975,2601,0.9619,51,0,0,0
p5b2c,north,3,25.0,128.500,153.500,walk,975,2572,4.1084,29,0,0,0
p5b2c,north,3,26.0,128.500,154.500,walk,975,2601,2.9262,0,0,0,0
p5b2c,north,3,27.0,128.500,155.500,walk,975,2601,1.0444,0,0,0,0
p5b2c,north,3,28.0,128.500,156.500,walk,975,2601,0.9698,0,0,0,0
p5b2c,north,3,29.0,128.500,157.500,walk,975,2601,0.9336,0,0,0,0
p5b2c,north,3,30.0,128.500,158.500,walk,975,2601,0.8202,0,0,0,0
p5b2c,north,3,31.0,128.500,159.500,walk,975,2601,1.0929,0,0,0,0
p5b2c,north,3,32.0,128.500,160.500,walk,975,2601,0.9802,51,0,0,0
p5b2c,north,3,33.0,128.500,161.500,walk,975,2585,4.0143,16,0,0,0
p5b2c,north,3,34.0,128.500,162.500,walk,975,2601,2.0943,0,0,0,0
p5b2c,north,3,35.0,128.500,163.500,walk,975,2601,0.6772,0,0,0,0
p5b2c,north,3,36.0,128.500,164.500,walk,975,2601,0.8789,0,0,0,0
p5b2c,north,3,37.0,128.500,165.500,walk,975,2601,0.6511,0,0,0,0
p5b2c,north,3,38.0,128.500,166.500,walk,975,2601,0.6524,0,0,0,0
p5b2c,north,3,39.0,128.500,167.500,walk,975,2601,0.7627,0,0,0,0
p5b2c,north,3,40.0,128.500,168.500,walk,975,2601,0.6341,51,0,0,0
p5b2c,north,3,41.0,128.500,169.500,walk,975,2559,2.0796,42,0,0,0
p5b2c,north,3,42.0,128.500,170.500,walk,975,2573,2.1027,28,0,0,0
p5b2c,north,3,43.0,128.500,171.500,walk,975,2586,1.9403,15,0,0,0
p5b2c,north,3,44.0,128.500,172.500,walk,975,2599,1.9087,2,0,0,0
p5b2c,north,3,45.0,128.500,173.500,walk,975,2601,1.0651,0,0,0,0
p5b2c,north,3,46.0,128.500,174.500,walk,975,2601,0.6937,0,0,0,0
p5b2c,north,3,47.0,128.500,175.500,walk,975,2601,0.6670,0,0,0,0
p5b2c,north,3,48.0,128.500,176.500,walk,975,2601,0.7398,51,0,0,0
p5b2c,north,3,49.0,128.500,177.500,walk,975,2550,1.3901,51,0,0,0
p5b2c,north,3,50.0,128.500,178.500,walk,975,2550,0.7880,51,0,0,0
p5b2c,north,3,51.0,128.500,179.500,walk,975,2550,0.8685,51,0,0,0
p5b2c,north,3,52.0,128.500,180.500,walk,975,2550,0.8279,51,0,0,0
p5b2c,north,3,53.0,128.500,181.500,walk,975,2550,0.7399,51,0,0,0
p5b2c,north,3,54.0,128.500,182.500,walk,975,2550,0.7440,51,0,0,0
p5b2c,north,3,55.0,128.500,183.500,walk,975,2550,0.8472,51,0,0,0
p5b2c,north,3,56.0,128.500,184.500,walk,975,2550,0.7718,102,0,0,0
p5b2c,north,3,57.0,128.500,185.500,walk,975,2499,1.0436,102,0,0,0
p5b2c,north,3,58.0,128.500,186.500,walk,975,2499,0.8326,102,0,0,0
p5b2c,north,3,59.0,128.500,187.500,walk,975,2499,0.9012,102,0,0,0
p5b2c,north,3,60.0,128.500,188.500,walk,975,2499,0.6690,102,0,0,0
p5b2c,north,3,61.0,128.500,189.500,walk,975,2499,0.8860,102,0,0,0
p5b2c,north,3,62.0,128.500,190.500,walk,975,2499,0.8658,102,0,0,0
p5b2c,north,3,63.0,128.500,191.500,walk,975,2505,1.1702,96,0,0,0
p5b2c,north,3,64.0,128.500,192.500,walk,975,2509,1.1408,143,0,0,0
p5b2c,north,3,66.0,128.500,194.500,sprint,973,2491,7.0808,110,0,0,0
p5b2c,north,3,68.0,128.500,196.500,sprint,971,2499,1.6661,102,0,0,0
p5b2c,north,3,70.0,128.500,198.500,sprint,969,2499,1.1202,102,0,0,0
p5b2c,north,3,72.0,128.500,200.500,sprint,967,2499,0.9746,153,0,0,0
p5b2c,north,3,74.0,128.500,202.500,sprint,965,2448,1.5346,153,0,0,0
p5b2c,north,3,76.0,128.500,204.500,sprint,963,2448,0.8187,153,0,0,0
p5b2c,north,3,78.0,128.500,206.500,sprint,963,2448,0.7831,153,0,0,0
p5b2c,north,3,80.0,128.500,208.500,sprint,963,2448,0.6901,204,0,0,0
p5b2c,north,3,82.0,128.500,210.500,sprint,963,2397,1.0409,204,0,0,0
p5b2c,north,3,84.0,128.500,212.500,sprint,963,2397,0.7791,204,0,0,0
p5b2c,north,3,86.0,128.500,214.500,sprint,963,2397,0.7413,204,0,0,0
p5b2c,north,3,88.0,128.500,216.500,sprint,963,2397,0.7969,255,0,0,0
p5b2c,north,3,90.0,128.500,218.500,sprint,963,2346,0.7453,255,0,0,0
p5b2c,north,3,92.0,128.500,220.500,sprint,963,2346,1.0364,255,0,0,0
p5b2c,north,3,94.0,128.500,222.500,sprint,963,2346,0.7875,255,0,0,0
p5b2c,north,3,96.0,128.500,224.500,sprint,963,2346,0.7199,306,0,0,0
p5b2c,north,3,98.0,128.500,226.500,sprint,963,2295,0.8309,306,0,0,0
p5b2c,north,3,100.0,128.500,228.500,sprint,963,2295,0.7415,306,0,0,0
p5b2c,north,3,102.0,128.500,230.500,sprint,963,2295,0.7466,306,0,0,0
p5b2c,north,3,104.0,128.500,232.500,sprint,963,2295,0.7460,357,0,0,0
p5b2c,north,3,106.0,128.500,234.500,sprint,963,2245,0.9735,356,0,0,0
p5b2c,north,3,108.0,128.500,236.500,sprint,963,2252,1.6394,349,0,0,0
p5b2c,north,3,110.0,128.500,238.500,sprint,963,2260,2.5404,341,0,0,0
p5b2c,north,3,112.0,128.500,240.500,sprint,963,2279,2.4275,373,0,0,0
p5b2c,north,3,114.0,128.500,242.500,sprint,963,2243,2.0932,358,0,0,0
p5b2c,north,3,116.0,128.500,244.500,sprint,963,2244,0.7816,357,0,0,0
p5b2c,north,3,118.0,128.500,246.500,sprint,963,2244,0.6627,357,0,0,0
p5b2c,north,3,120.0,128.500,248.500,sprint,963,2244,0.8312,408,0,0,0
