phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.029,0.7,128.996,128.996,fly,0.921,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928101,0,0,0,0,0,0,0,0,0,0,0.073,0.082,0.000,0,0,0,0,0,0,0
travel,0.060,1.4,129.520,129.520,fly,0.888,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928146,0,0,0,0,0,0,0,0,0,0,0.071,0.070,0.000,0,0,0,0,0,0,0
travel,0.091,2.2,130.042,130.042,fly,0.907,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928191,0,0,0,0,0,0,0,0,0,0,0.074,0.078,0.000,0,0,0,0,0,0,0
travel,0.121,2.9,130.559,130.559,fly,0.946,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928191,0,0,0,0,0,0,0,0,0,0,0.080,0.110,0.000,0,0,0,0,0,0,0
travel,0.152,3.6,131.080,131.080,fly,0.848,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928236,0,0,0,0,0,0,0,0,0,0,0.069,0.066,0.000,0,0,0,0,0,0,0
travel,0.182,4.4,131.591,131.591,fly,1.126,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928236,0,0,0,0,0,0,0,0,0,0,0.088,0.142,0.000,0,0,0,0,0,0,0
travel,0.213,5.1,132.110,132.110,fly,0.877,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928254,0,0,0,0,0,0,0,0,0,0,0.071,0.073,0.000,0,0,0,0,0,0,0
travel,0.244,5.8,132.634,132.634,fly,0.882,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928254,0,0,0,0,0,0,0,0,0,0,0.071,0.073,0.000,0,0,0,0,0,0,0
travel,0.274,6.6,133.149,133.149,fly,0.896,ok,2601,0,0,192.00,396296192,521027584,114090264,95883264,18123768,2601,0,22132800,928260,0,0,0,0,0,0,0,0,0,0,0.069,0.090,0.000,0,0,0,0,0,0,0
travel,0.304,7.3,133.666,133.666,fly,0.851,ok,2601,0,0,192.00,396300288,521027584,114090264,95883264,18123768,2601,0,22132800,928260,0,0,0,0,0,0,0,0,0,0,0.069,0.068,0.000,0,0,0,0,0,0,0
travel,0.335,8.0,134.183,134.183,fly,0.887,ok,2601,0,0,192.00,396300288,521027584,114090264,95883264,18123768,2601,0,22132800,928262,0,0,0,0,0,0,0,0,0,0,0.070,0.073,0.000,0,0,0,0,0,0,0
travel,0.365,8.8,134.695,134.695,fly,0.980,ok,2601,0,0,192.00,396300288,521027584,114090264,95883264,18123768,2601,0,22132800,928262,0,0,0,0,0,0,0,0,0,0,0.080,0.108,0.000,0,0,0,0,0,0,0
travel,0.396,9.5,135.218,135.218,fly,0.881,ok,2601,0,0,192.00,396300288,521027584,114090264,95883264,18123768,2601,0,22132800,928262,0,0,0,0,0,0,0,0,0,0,0.070,0.072,0.000,0,0,0,0,0,0,0
travel,0.426,10.2,135.733,135.733,fly,0.883,ok,2601,0,0,192.00,396300288,521027584,114090264,95883264,18123768,2601,0,22132800,928262,0,0,0,0,0,0,0,0,0,0,0.069,0.078,0.000,0,0,0,0,0,0,0
travel,0.467,11.2,136.426,136.426,fly,0.985,ok,2601,0,95,192.00,401178624,531533824,114090264,95883264,18123768,2702,3724880,17175984,964506,101,101,0,0,4,0,0,0,0,0,0.079,0.110,0.000,0,0,0,101,101,0,0
travel,0.498,11.9,136.948,136.948,fly,0.884,ok,2601,0,0,192.00,401256448,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.069,0.072,0.000,0,0,0,101,101,0,0
travel,0.528,12.7,137.467,137.467,fly,0.897,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.071,0.074,0.000,0,0,0,101,101,0,0
travel,0.559,13.4,137.986,137.986,fly,0.870,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.068,0.070,0.000,0,0,0,101,101,0,0
travel,0.590,14.1,138.504,138.504,fly,0.887,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.069,0.074,0.000,0,0,0,101,101,0,0
travel,0.620,14.9,139.023,139.023,fly,1.040,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.081,0.123,0.000,0,0,0,101,101,0,0
travel,0.650,15.6,139.536,139.536,fly,0.878,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.072,0.072,0.000,0,0,0,101,101,0,0
travel,0.682,16.4,140.068,140.068,fly,0.883,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.071,0.074,0.000,0,0,0,101,101,0,0
travel,0.712,17.1,140.578,140.578,fly,0.965,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.080,0.109,0.000,0,0,0,101,101,0,0
travel,0.742,17.8,141.097,141.097,fly,0.902,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.072,0.075,0.000,0,0,0,101,101,0,0
travel,0.773,18.6,141.621,141.621,fly,0.878,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.071,0.072,0.000,0,0,0,101,101,0,0
travel,0.803,19.3,142.133,142.133,fly,0.893,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.072,0.072,0.000,0,0,0,101,101,0,0
travel,0.834,20.0,142.653,142.653,fly,0.936,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.073,0.085,0.000,0,0,0,101,101,0,0
travel,0.864,20.7,143.169,143.169,fly,0.875,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.071,0.074,0.000,0,0,0,101,101,0,0
travel,0.895,21.5,143.681,143.681,fly,0.887,ok,2601,0,0,192.00,401260544,531533824,114090264,95883264,18123768,2702,3724880,22132800,984286,101,101,0,0,0,0,0,0,0,0,0.071,0.071,0.000,0,0,0,101,101,0,0
