phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.029,0.7,128.996,128.996,fly,0.988,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925237,0,0,0,0,0,0,0,0,0,0,0.166,0.080,0.000,0,0,0,0,0,0,0
travel,0.060,1.4,129.511,129.511,fly,1.001,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925282,0,0,0,0,0,0,0,0,0,0,0.079,0.110,0.000,0,0,0,0,0,0,0
travel,0.090,2.2,130.033,130.033,fly,0.918,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925327,0,0,0,0,0,0,0,0,0,0,0.073,0.089,0.000,0,0,0,0,0,0,0
travel,0.120,2.9,130.543,130.543,fly,0.959,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925327,0,0,0,0,0,0,0,0,0,0,0.144,0.077,0.000,0,0,0,0,0,0,0
travel,0.151,3.6,131.055,131.055,fly,0.849,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925372,0,0,0,0,0,0,0,0,0,0,0.071,0.072,0.000,0,0,0,0,0,0,0
travel,0.181,4.3,131.572,131.572,fly,0.960,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925372,0,0,0,0,0,0,0,0,0,0,0.080,0.106,0.000,0,0,0,0,0,0,0
travel,0.211,5.1,132.086,132.086,fly,0.875,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925390,0,0,0,0,0,0,0,0,0,0,0.072,0.085,0.000,0,0,0,0,0,0,0
travel,0.242,5.8,132.601,132.601,fly,0.859,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925390,0,0,0,0,0,0,0,0,0,0,0.070,0.067,0.000,0,0,0,0,0,0,0
travel,0.272,6.5,133.123,133.123,fly,0.864,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925396,0,0,0,0,0,0,0,0,0,0,0.070,0.069,0.000,0,0,0,0,0,0,0
travel,0.303,7.3,133.640,133.640,fly,0.886,ok,2601,0,0,192.00,394653696,519385088,114090264,95883264,18123768,2601,0,22132800,925396,0,0,0,0,0,0,0,0,0,0,0.071,0.074,0.000,0,0,0,0,0,0,0
travel,0.333,8.0,134.156,134.156,fly,0.856,ok,2601,0,0,192.00,394657792,519385088,114090264,95883264,18123768,2601,0,22132800,925398,0,0,0,0,0,0,0,0,0,0,0.070,0.067,0.000,0,0,0,0,0,0,0
travel,0.364,8.7,134.669,134.669,fly,0.871,ok,2601,0,0,192.00,394657792,519385088,114090264,95883264,18123768,2601,0,22132800,925398,0,0,0,0,0,0,0,0,0,0,0.070,0.067,0.000,0,0,0,0,0,0,0
travel,0.394,9.4,135.178,135.178,fly,0.860,ok,2601,0,0,192.00,394657792,519385088,114090264,95883264,18123768,2601,0,22132800,925398,0,0,0,0,0,0,0,0,0,0,0.069,0.068,0.000,0,0,0,0,0,0,0
travel,0.424,10.2,135.695,135.695,fly,1.003,ok,2601,0,0,192.00,394661888,519385088,114090264,95883264,18123768,2601,0,22132800,925398,0,0,0,0,0,0,0,0,0,0,0.079,0.107,0.000,0,0,0,0,0,0,0
travel,0.463,11.1,136.361,136.361,fly,0.897,ok,2601,0,103,192.00,399077376,528314368,114090264,95883264,18123768,2702,3724880,16758576,959832,101,101,0,0,8,0,0,0,0,0,0.071,0.074,0.000,0,0,0,101,101,0,0
travel,0.495,11.9,136.901,136.901,fly,0.864,ok,2601,0,0,192.00,399118336,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.068,0.070,0.000,0,0,0,101,101,0,0
travel,0.525,12.6,137.417,137.417,fly,1.047,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.079,0.129,0.000,0,0,0,101,101,0,0
travel,0.557,13.4,137.949,137.949,fly,0.894,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.070,0.073,0.000,0,0,0,101,101,0,0
travel,0.587,14.1,138.463,138.463,fly,0.858,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.069,0.067,0.000,0,0,0,101,101,0,0
travel,0.618,14.8,138.981,138.981,fly,0.875,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.071,0.077,0.000,0,0,0,101,101,0,0
travel,0.648,15.6,139.497,139.497,fly,0.978,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.085,0.110,0.000,0,0,0,101,101,0,0
travel,0.678,16.3,140.007,140.007,fly,0.900,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.071,0.070,0.000,0,0,0,101,101,0,0
travel,0.708,17.0,140.516,140.516,fly,0.865,ok,2601,0,0,192.00,399126528,528314368,114090264,95883264,18123768,2702,3724880,22132800,982702,101,101,0,0,0,0,0,0,0,0,0.072,0.068,0.000,0,0,0,101,101,0,0
