stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b3b2,north,1,0.0,128.500,128.500,settle_origin,797,1444,0.9958,1157,0,0,0
p5b3b2,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.9453,0,0,0,0
p5b3b2,north,3,1.0,128.500,129.500,walk,830,2601,1.0756,0,1,0,0
p5b3b2,north,3,2.0,128.500,130.500,walk,863,2601,0.8147,0,1,0,0
p5b3b2,north,3,3.0,128.500,131.500,walk,896,2601,0.6691,0,1,0,0
p5b3b2,north,3,4.0,128.500,132.500,walk,929,2601,0.6643,0,1,0,0
p5b3b2,north,3,5.0,128.500,133.500,walk,947,2601,0.8533,0,1,0,0
p5b3b2,north,3,6.0,128.500,134.500,walk,957,2601,0.6927,0,1,0,0
p5b3b2,north,3,7.0,128.500,135.500,walk,963,2601,0.8471,0,1,0,0
p5b3b2,north,3,8.0,128.500,136.500,walk,967,2601,0.9530,51,1,0,0
p5b3b2,north,3,9.0,128.500,137.500,walk,969,2572,4.4992,29,0,0,0
p5b3b2,north,3,10.0,128.500,138.500,walk,971,2594,3.5572,7,0,0,0
p5b3b2,north,3,11.0,128.500,139.500,walk,973,2601,1.8899,0,0,0,0
p5b3b2,north,3,12.0,128.500,140.500,walk,975,2601,0.8597,0,0,0,0
p5b3b2,north,3,13.0,128.500,141.500,walk,975,2601,0.9369,0,0,0,0
p5b3b2,north,3,14.0,128.500,142.500,walk,975,2601,0.7589,0,0,0,0
p5b3b2,north,3,15.0,128.500,143.500,walk,975,2601,0.7442,0,0,0,0
p5b3b2,north,3,16.0,128.500,144.500,walk,975,2601,0.6892,51,0,0,0
p5b3b2,north,3,17.0,128.500,145.500,walk,975,2586,4.1784,15,0,0,0
p5b3b2,north,3,18.0,128.500,146.500,walk,975,2601,1.9427,0,0,0,0
p5b3b2,north,3,19.0,128.500,147.500,walk,975,2601,0.7134,0,0,0,0
p5b3b2,north,3,20.0,128.500,148.500,walk,975,2601,0.8906,0,0,0,0
p5b3b2,north,3,21.0,128.500,149.500,walk,975,2601,0.8258,0,0,0,0
