phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.030,0.7,129.002,129.002,fly,1.341,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926670,0,0,0,0,0,0,0,0,0,0,0.597,0.024,0.000,0,0,0,0,0,0,0
travel,0.060,1.4,129.523,129.523,fly,0.840,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926670,0,0,0,0,0,0,0,0,0,0,0.393,0.015,0.000,0,0,0,0,0,0,0
travel,0.091,2.2,130.042,130.042,fly,0.890,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926715,0,0,0,0,0,0,0,0,0,0,0.431,0.023,0.000,0,0,0,0,0,0,0
travel,0.121,2.9,130.557,130.557,fly,0.830,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926715,0,0,0,0,0,0,0,0,0,0,0.393,0.015,0.000,0,0,0,0,0,0,0
travel,0.152,3.6,131.078,131.078,fly,0.832,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926760,0,0,0,0,0,0,0,0,0,0,0.393,0.015,0.000,0,0,0,0,0,0,0
travel,0.183,4.4,131.600,131.600,fly,0.900,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926760,0,0,0,0,0,0,0,0,0,0,0.432,0.016,0.000,0,0,0,0,0,0,0
travel,0.213,5.1,132.117,132.117,fly,0.840,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926778,0,0,0,0,0,0,0,0,0,0,0.392,0.015,0.000,0,0,0,0,0,0,0
travel,0.244,5.9,132.638,132.638,fly,0.839,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926778,0,0,0,0,0,0,0,0,0,0,0.393,0.015,0.000,0,0,0,0,0,0,0
travel,0.274,6.6,133.154,133.154,fly,1.095,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926784,0,0,0,0,0,0,0,0,0,0,0.491,0.020,0.000,0,0,0,0,0,0,0
travel,0.306,7.3,133.686,133.686,fly,0.962,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926784,0,0,0,0,0,0,0,0,0,0,0.479,0.020,0.000,0,0,0,0,0,0,0
travel,0.339,8.1,134.250,134.250,fly,0.907,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926786,0,0,0,0,0,0,0,0,0,0,0.526,0.022,0.000,0,0,0,0,0,0,0
travel,0.370,8.9,134.785,134.785,fly,0.952,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926786,0,0,0,0,0,0,0,0,0,0,0.359,0.016,0.000,0,0,0,0,0,0,0
travel,0.402,9.6,135.318,135.318,fly,0.971,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926786,0,0,0,0,0,0,0,0,0,0,0.469,0.017,0.000,0,0,0,0,0,0,0
travel,0.432,10.4,135.839,135.839,fly,1.104,ok,2601,0,0,192.00,395571200,520327168,114090264,95883264,18123768,2601,0,22132800,926786,0,0,0,0,0,0,0,0,0,0,0.568,0.021,0.000,0,0,0,0,0,0,0
travel,0.478,11.5,136.610,136.610,fly,1.025,ok,2601,0,83,192.00,400015360,528797696,114090264,95883264,18123768,2702,3724880,17802096,965721,101,101,0,0,3,0,0,0,0,0,0.471,0.014,0.000,0,0,0,101,101,0,0
travel,0.510,12.2,137.152,137.152,fly,1.030,ok,2601,0,0,192.00,400044032,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.597,0.015,0.000,0,0,0,101,101,0,0
travel,0.541,13.0,137.686,137.686,fly,0.841,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.395,0.015,0.000,0,0,0,101,101,0,0
travel,0.572,13.7,138.205,138.205,fly,0.840,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.392,0.015,0.000,0,0,0,101,101,0,0
travel,0.603,14.5,138.726,138.726,fly,0.831,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.394,0.015,0.000,0,0,0,101,101,0,0
travel,0.633,15.2,139.249,139.249,fly,0.878,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.408,0.015,0.000,0,0,0,101,101,0,0
travel,0.664,15.9,139.762,139.762,fly,0.958,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.466,0.064,0.000,0,0,0,101,101,0,0
travel,0.695,16.7,140.287,140.287,fly,1.433,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.933,0.018,0.000,0,0,0,101,101,0,0
travel,0.726,17.4,140.824,140.824,fly,0.898,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.407,0.016,0.000,0,0,0,101,101,0,0
travel,0.756,18.2,141.337,141.337,fly,0.875,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.413,0.016,0.000,0,0,0,101,101,0,0
travel,0.787,18.9,141.856,141.856,fly,0.869,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.411,0.016,0.000,0,0,0,101,101,0,0
travel,0.818,19.6,142.380,142.380,fly,0.863,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.408,0.015,0.000,0,0,0,101,101,0,0
travel,0.848,20.4,142.897,142.897,fly,0.936,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.454,0.028,0.000,0,0,0,101,101,0,0
travel,0.879,21.1,143.420,143.420,fly,0.870,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.406,0.022,0.000,0,0,0,101,101,0,0
travel,0.910,21.8,143.941,143.941,fly,0.855,ok,2601,0,0,192.00,400052224,528797696,114090264,95883264,18123768,2702,3724880,22132800,983842,101,101,0,0,0,0,0,0,0,0,0.405,0.015,0.000,0,0,0,101,101,0,0
travel,0.956,22.9,144.719,144.719,fly,0.934,ok,2601,0,72,192.00,404553728,535625728,114090264,95883264,18123768,2803,7449760,18376032,1025218,202,202,0,0,0,0,0,0,0,0,0.417,0.017,0.000,0,0,0,202,202,0,0
travel,0.989,23.7,145.280,145.280,fly,0.965,ok,2601,0,0,192.00,404590592,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.419,0.018,0.000,0,0,0,202,202,0,0
travel,1.020,24.5,145.809,145.809,fly,0.980,ok,2601,0,0,192.00,404590592,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.419,0.021,0.000,0,0,0,202,202,0,0
travel,1.051,25.2,146.328,146.328,fly,0.858,ok,2601,0,0,192.00,404590592,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.404,0.015,0.000,0,0,0,202,202,0,0
travel,1.081,25.9,146.846,146.846,fly,0.933,ok,2601,0,0,192.00,404598784,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.413,0.018,0.000,0,0,0,202,202,0,0
travel,1.112,26.7,147.367,147.367,fly,0.940,ok,2601,0,0,192.00,404598784,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.436,0.017,0.000,0,0,0,202,202,0,0
travel,1.142,27.4,147.886,147.886,fly,0.844,ok,2601,0,0,192.00,404598784,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.396,0.015,0.000,0,0,0,202,202,0,0
travel,1.173,28.1,148.401,148.401,fly,1.206,ok,2601,0,0,192.00,404598784,535699456,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.701,0.023,0.000,0,0,0,202,202,0,0
travel,1.204,28.9,148.927,148.927,fly,0.843,ok,2601,0,0,192.00,403550208,534650880,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.395,0.015,0.000,0,0,0,202,202,0,0
travel,1.234,29.6,149.443,149.443,fly,0.973,ok,2601,0,0,192.00,403550208,534650880,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.415,0.024,0.000,0,0,0,202,202,0,0
travel,1.266,30.4,149.985,149.985,fly,0.872,ok,2601,0,0,192.00,403550208,534650880,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.409,0.016,0.000,0,0,0,202,202,0,0
travel,1.297,31.1,150.513,150.513,fly,0.862,ok,2601,0,0,192.00,403550208,534650880,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.406,0.015,0.000,0,0,0,202,202,0,0
travel,1.327,31.9,151.028,151.028,fly,0.861,ok,2601,0,0,192.00,403550208,534650880,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.401,0.015,0.000,0,0,0,202,202,0,0
travel,1.358,32.6,151.543,151.543,fly,0.872,ok,2601,0,0,192.00,403550208,534650880,114090264,95883264,18123768,2803,7449760,22132800,1041250,202,202,0,0,0,0,0,0,0,0,0.406,0.016,0.000,0,0,0,202,202,0,0
travel,1.398,33.6,152.229,152.229,fly,3.700,ok,2587,14,171,192.00,408195072,543490048,113476168,95367168,18026216,2890,11174640,13941408,1054518,289,303,23,0,32,23,23,23,0,1417216,0.597,0.023,0.000,0,0,0,289,289,0,0
travel,1.434,34.4,152.841,152.841,fly,1.017,ok,2601,0,66,192.00,411017216,546299904,114090264,95883264,18123768,2904,11174640,18689088,1083478,303,303,0,0,1,0,0,0,0,36864,0.490,0.014,0.000,0,0,0,303,303,0,0
travel,1.466,35.2,153.382,153.382,fly,0.957,ok,2601,0,0,192.00,412299264,547663872,114090264,95883264,18123768,2904,11174640,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.417,0.018,0.000,0,0,0,303,303,0,0
travel,1.497,35.9,153.901,153.901,fly,0.951,ok,2601,0,0,192.00,412299264,547663872,114090264,95883264,18123768,2904,11174640,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.439,0.018,0.000,0,0,0,303,303,0,0
travel,1.529,36.7,154.455,154.455,fly,1.290,ok,2601,0,0,192.00,412299264,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.757,0.017,0.019,0,0,0,303,303,0,0
travel,1.565,37.6,155.066,155.066,fly,0.930,ok,2601,0,0,192.00,412299264,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.426,0.020,0.000,0,0,0,303,303,0,0
travel,1.598,38.4,155.622,155.622,fly,0.985,ok,2601,0,0,192.00,412299264,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.523,0.015,0.000,0,0,0,303,303,0,0
travel,1.630,39.1,156.160,156.160,fly,0.866,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.413,0.015,0.000,0,0,0,303,303,0,0
travel,1.663,39.9,156.720,156.720,fly,1.206,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.737,0.016,0.000,0,0,0,303,303,0,0
travel,1.696,40.7,157.281,157.281,fly,0.977,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.526,0.015,0.000,0,0,0,303,303,0,0
travel,1.730,41.5,157.851,157.851,fly,1.137,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.690,0.015,0.000,0,0,0,303,303,0,0
travel,1.764,42.3,158.429,158.429,fly,1.185,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.723,0.018,0.000,0,0,0,303,303,0,0
travel,1.796,43.1,158.973,158.973,fly,0.871,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.417,0.015,0.000,0,0,0,303,303,0,0
travel,1.828,43.9,159.519,159.519,fly,1.056,ok,2601,0,0,192.00,412307456,547663872,114090264,95883264,18123768,2904,7449760,22132800,1096886,303,303,0,0,0,0,0,0,0,0,0.488,0.080,0.000,0,0,0,303,303,0,0
travel,1.871,44.9,160.257,160.257,fly,1.373,ok,2601,0,174,192.00,414691328,554786816,114090264,95883264,18123768,2904,11174640,13054080,1109342,404,404,0,0,1,0,0,0,0,299008,0.803,0.029,0.000,0,0,0,404,404,0,0
travel,1.906,45.7,160.849,160.849,fly,1.187,ok,2601,0,56,192.00,417107968,557289472,114090264,95883264,18123768,2904,11174640,19263024,1142588,404,404,0,0,2,0,0,0,0,0,0.657,0.014,0.000,0,0,0,404,404,0,0
travel,1.941,46.6,161.444,161.444,fly,1.192,ok,2601,0,0,192.00,417861632,558051328,114090264,95883264,18123768,2904,11174640,22132800,1153886,404,404,0,0,0,0,0,0,0,0,0.592,0.018,0.000,0,0,0,404,404,0,0
