stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b3b3a,north,1,0.0,128.500,128.500,settle_origin,797,1390,1.2164,1211,0,0,0
p5b3b3a,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.5702,0,0,0,0
p5b3b3a,north,3,1.0,128.500,129.500,walk,830,2601,0.7288,0,1,0,0
p5b3b3a,north,3,2.0,128.500,130.500,walk,863,2601,0.6839,0,1,0,0
p5b3b3a,north,3,3.0,128.500,131.500,walk,896,2601,0.6305,0,1,0,0
p5b3b3a,north,3,4.0,128.500,132.500,walk,929,2601,0.6218,0,1,0,0
p5b3b3a,north,3,5.0,128.500,133.500,walk,947,2601,0.6500,0,1,0,0
p5b3b3a,north,3,6.0,128.500,134.500,walk,957,2601,0.6340,0,1,0,0
p5b3b3a,north,3,7.0,128.500,135.500,walk,963,2601,0.6261,0,1,0,0
p5b3b3a,north,3,8.0,128.500,136.500,walk,967,2601,0.6569,51,1,0,0
p5b3b3a,north,3,9.0,128.500,137.500,walk,969,2586,4.0910,15,0,0,0
p5b3b3a,north,3,10.0,128.500,138.500,walk,971,2601,2.4438,0,0,0,0
p5b3b3a,north,3,11.0,128.500,139.500,walk,973,2601,1.0385,0,0,0,0
p5b3b3a,north,3,12.0,128.500,140.500,walk,975,2601,0.7329,0,0,0,0
p5b3b3a,north,3,13.0,128.500,141.500,walk,975,2601,0.6692,0,0,0,0
p5b3b3a,north,3,14.0,128.500,142.500,walk,975,2601,0.6374,0,0,0,0
p5b3b3a,north,3,15.0,128.500,143.500,walk,975,2601,0.6286,0,0,0,0
p5b3b3a,north,3,16.0,128.500,144.500,walk,975,2601,0.6216,51,0,0,0
p5b3b3a,north,3,17.0,128.500,145.500,walk,975,2584,3.9742,17,0,0,0
p5b3b3a,north,3,18.0,128.500,146.500,walk,975,2601,1.9893,0,0,0,0
p5b3b3a,north,3,19.0,128.500,147.500,walk,975,2601,0.6807,0,0,0,0
p5b3b3a,north,3,20.0,128.500,148.500,walk,975,2601,0.6644,0,0,0,0
p5b3b3a,north,3,21.0,128.500,149.500,walk,975,2601,0.6625,0,0,0,0
p5b3b3a,north,3,22.0,128.500,150.500,walk,975,2601,0.6235,0,0,0,0
p5b3b3a,north,3,23.0,128.500,151.500,walk,975,2601,0.6326,0,0,0,0
p5b3b3a,north,3,24.0,128.500,152.500,walk,975,2601,0.6994,51,0,0,0
p5b3b3a,north,3,25.0,128.500,153.500,walk,975,2575,3.9440,26,0,0,0
p5b3b3a,north,3,26.0,128.500,154.500,walk,975,2601,2.6381,0,0,0,0
p5b3b3a,north,3,27.0,128.500,155.500,walk,975,2601,0.7038,0,0,0,0
p5b3b3a,north,3,28.0,128.500,156.500,walk,975,2601,0.9866,0,0,0,0
p5b3b3a,north,3,29.0,128.500,157.500,walk,975,2601,0.8085,0,0,0,0
p5b3b3a,north,3,30.0,128.500,158.500,walk,975,2601,0.7471,0,0,0,0
p5b3b3a,north,3,31.0,128.500,159.500,walk,975,2601,0.7008,0,0,0,0
p5b3b3a,north,3,32.0,128.500,160.500,walk,975,2601,0.6993,51,0,0,0
p5b3b3a,north,3,33.0,128.500,161.500,walk,975,2586,3.9965,15,0,0,0
p5b3b3a,north,3,34.0,128.500,162.500,walk,975,2601,2.2241,0,0,0,0
p5b3b3a,north,3,35.0,128.500,163.500,walk,975,2601,1.4394,0,0,0,0
p5b3b3a,north,3,36.0,128.500,164.500,walk,975,2601,0.9551,0,0,0,0
p5b3b3a,north,3,37.0,128.500,165.500,walk,975,2601,0.9468,0,0,0,0
p5b3b3a,north,3,38.0,128.500,166.500,walk,975,2601,1.0784,0,0,0,0
p5b3b3a,north,3,39.0,128.500,167.500,walk,975,2601,0.9897,0,0,0,0
p5b3b3a,north,3,40.0,128.500,168.500,walk,975,2601,0.9644,51,0,0,0
p5b3b3a,north,3,41.0,128.500,169.500,walk,975,2550,1.5587,51,0,0,0
p5b3b3a,north,3,42.0,128.500,170.500,walk,975,2550,0.8703,51,0,0,0
p5b3b3a,north,3,43.0,128.500,171.500,walk,975,2550,0.7413,51,0,0,0
p5b3b3a,north,3,44.0,128.500,172.500,walk,975,2551,0.8165,50,0,0,0
p5b3b3a,north,3,45.0,128.500,173.500,walk,975,2555,1.0471,46,0,0,0
p5b3b3a,north,3,46.0,128.500,174.500,walk,975,2560,1.1847,41,0,0,0
p5b3b3a,north,3,47.0,128.500,175.500,walk,975,2565,1.1672,36,0,0,0
p5b3b3a,north,3,48.0,128.500,176.500,walk,975,2574,1.5305,78,0,0,0
p5b3b3a,north,3,49.0,128.500,177.500,walk,975,2533,2.7771,68,0,0,0
p5b3b3a,north,3,50.0,128.500,178.500,walk,975,2549,3.0621,52,0,0,0
p5b3b3a,north,3,51.0,128.500,179.500,walk,975,2550,0.8785,51,0,0,0
p5b3b3a,north,3,52.0,128.500,180.500,walk,975,2550,0.8046,51,0,0,0
p5b3b3a,north,3,53.0,128.500,181.500,walk,975,2550,0.7478,51,0,0,0
p5b3b3a,north,3,54.0,128.500,182.500,walk,975,2550,0.6995,51,0,0,0
p5b3b3a,north,3,55.0,128.500,183.500,walk,975,2550,0.7031,51,0,0,0
p5b3b3a,north,3,56.0,128.500,184.500,walk,975,2550,0.6748,102,0,0,0
p5b3b3a,north,3,57.0,128.500,185.500,walk,975,2499,0.7244,102,0,0,0
p5b3b3a,north,3,58.0,128.500,186.500,walk,975,2499,0.6764,102,0,0,0
