phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.030,0.7,129.007,129.007,fly,1.092,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929078,0,0,0,0,0,0,0,0,0,0,0.174,0.084,0.000,0,0,0,0,0,0,0
travel,0.061,1.5,129.537,129.537,fly,0.867,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929078,0,0,0,0,0,0,0,0,0,0,0.072,0.069,0.000,0,0,0,0,0,0,0
travel,0.092,2.2,130.059,130.059,fly,0.884,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929123,0,0,0,0,0,0,0,0,0,0,0.071,0.072,0.000,0,0,0,0,0,0,0
travel,0.123,2.9,130.579,130.579,fly,0.939,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929123,0,0,0,0,0,0,0,0,0,0,0.083,0.081,0.000,0,0,0,0,0,0,0
travel,0.153,3.7,131.092,131.092,fly,0.981,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929168,0,0,0,0,0,0,0,0,0,0,0.080,0.113,0.000,0,0,0,0,0,0,0
travel,0.184,4.4,131.614,131.614,fly,0.868,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929168,0,0,0,0,0,0,0,0,0,0,0.070,0.072,0.000,0,0,0,0,0,0,0
travel,0.214,5.1,132.139,132.139,fly,0.947,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929186,0,0,0,0,0,0,0,0,0,0,0.098,0.075,0.000,0,0,0,0,0,0,0
travel,0.245,5.9,132.656,132.656,fly,1.172,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929186,0,0,0,0,0,0,0,0,0,0,0.072,0.308,0.000,0,0,0,0,0,0,0
travel,0.276,6.6,133.181,133.181,fly,0.861,ok,2601,0,0,192.00,395476992,520507392,114090264,95883264,18123768,2601,0,22132800,929192,0,0,0,0,0,0,0,0,0,0,0.070,0.068,0.000,0,0,0,0,0,0,0
travel,0.307,7.4,133.702,133.702,fly,0.877,ok,2601,0,0,192.00,395485184,520507392,114090264,95883264,18123768,2601,0,22132800,929192,0,0,0,0,0,0,0,0,0,0,0.070,0.071,0.000,0,0,0,0,0,0,0
