stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b3b3b,north,1,0.0,128.500,128.500,settle_origin,797,1347,0.8017,1254,0,0,0
p5b3b3b,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.7377,0,0,0,0
p5b3b3b,north,3,1.0,128.500,129.500,walk,830,2601,0.6324,0,1,0,0
p5b3b3b,north,3,2.0,128.500,130.500,walk,863,2601,0.6444,0,1,0,0
p5b3b3b,north,3,3.0,128.500,131.500,walk,896,2601,0.6097,0,1,0,0
p5b3b3b,north,3,4.0,128.500,132.500,walk,929,2601,0.5966,0,1,0,0
p5b3b3b,north,3,5.0,128.500,133.500,walk,947,2601,0.5811,0,1,0,0
p5b3b3b,north,3,6.0,128.500,134.500,walk,957,2601,0.5786,0,1,0,0
p5b3b3b,north,3,7.0,128.500,135.500,walk,963,2601,0.5905,0,1,0,0
p5b3b3b,north,3,8.0,128.500,136.500,walk,967,2601,0.5778,51,1,0,0
p5b3b3b,north,3,9.0,128.500,137.500,walk,969,2581,4.4910,20,0,0,0
p5b3b3b,north,3,10.0,128.500,138.500,walk,971,2601,2.4657,0,0,0,0
p5b3b3b,north,3,11.0,128.500,139.500,walk,973,2601,0.7950,0,0,0,0
p5b3b3b,north,3,12.0,128.500,140.500,walk,975,2601,0.7501,0,0,0,0
p5b3b3b,north,3,13.0,128.500,141.500,walk,975,2601,0.6443,0,0,0,0
p5b3b3b,north,3,14.0,128.500,142.500,walk,975,2601,0.5883,0,0,0,0
p5b3b3b,north,3,15.0,128.500,143.500,walk,975,2601,0.6189,0,0,0,0
p5b3b3b,north,3,16.0,128.500,144.500,walk,975,2601,0.6734,51,0,0,0
p5b3b3b,north,3,17.0,128.500,145.500,walk,975,2582,3.9595,19,0,0,0
p5b3b3b,north,3,18.0,128.500,146.500,walk,975,2601,2.2094,0,0,0,0
p5b3b3b,north,3,19.0,128.500,147.500,walk,975,2601,0.6287,0,0,0,0
p5b3b3b,north,3,20.0,128.500,148.500,walk,975,2601,0.5904,0,0,0,0
p5b3b3b,north,3,21.0,128.500,149.500,walk,975,2601,0.5877,0,0,0,0
p5b3b3b,north,3,22.0,128.500,150.500,walk,975,2601,0.6282,0,0,0,0
p5b3b3b,north,3,23.0,128.500,151.500,walk,975,2601,0.6512,0,0,0,0
p5b3b3b,north,3,24.0,128.500,152.500,walk,975,2601,0.6421,51,0,0,0
p5b3b3b,north,3,25.0,128.500,153.500,walk,975,2580,3.7961,21,0,0,0
p5b3b3b,north,3,26.0,128.500,154.500,walk,975,2601,2.4481,0,0,0,0
p5b3b3b,north,3,27.0,128.500,155.500,walk,975,2601,0.6393,0,0,0,0
p5b3b3b,north,3,28.0,128.500,156.500,walk,975,2601,0.5908,0,0,0,0
p5b3b3b,north,3,29.0,128.500,157.500,walk,975,2601,0.5889,0,0,0,0
p5b3b3b,north,3,30.0,128.500,158.500,walk,975,2601,0.5757,0,0,0,0
p5b3b3b,north,3,31.0,128.500,159.500,walk,975,2601,0.5839,0,0,0,0
p5b3b3b,north,3,32.0,128.500,160.500,walk,975,2601,0.5712,51,0,0,0
p5b3b3b,north,3,33.0,128.500,161.500,walk,975,2582,3.7440,19,0,0,0
p5b3b3b,north,3,34.0,128.500,162.500,walk,975,2601,2.4871,0,0,0,0
p5b3b3b,north,3,35.0,128.500,163.500,walk,975,2601,0.7183,0,0,0,0
p5b3b3b,north,3,36.0,128.500,164.500,walk,975,2601,0.6663,0,0,0,0
p5b3b3b,north,3,37.0,128.500,165.500,walk,975,2601,0.6149,0,0,0,0
p5b3b3b,north,3,38.0,128.500,166.500,walk,975,2601,0.6647,0,0,0,0
p5b3b3b,north,3,39.0,128.500,167.500,walk,975,2601,0.7798,0,0,0,0
p5b3b3b,north,3,40.0,128.500,168.500,walk,975,2601,0.7915,51,0,0,0
p5b3b3b,north,3,41.0,128.500,169.500,walk,975,2550,1.2012,51,0,0,0
p5b3b3b,north,3,42.0,128.500,170.500,walk,975,2550,0.7008,51,0,0,0
p5b3b3b,north,3,43.0,128.500,171.500,walk,975,2551,0.7788,50,0,0,0
p5b3b3b,north,3,44.0,128.500,172.500,walk,975,2555,0.9558,46,0,0,0
p5b3b3b,north,3,45.0,128.500,173.500,walk,975,2560,1.0358,41,0,0,0
p5b3b3b,north,3,46.0,128.500,174.500,walk,975,2568,1.2799,33,0,0,0
