phase,elapsed_s,distance_m,x,y,mode,frame_ms,primary,resident_packages,pending_packages,worker_queue,complete_radius_m,working_set_bytes,private_bytes,live_package_bytes,live_mesh_bytes,live_collision_bytes,live_gl_resources,retirement_queue_bytes,worker_result_bytes,cache_entries,packages_created,packages_retired,pkg_create,pkg_retire,worker_batch,collision,mesh,gl_create,gl_delete,alloc_delta,finish_ms,swap_ms,retire_ms,wake_water_body,wake_topology,wake_terrain_state,wake_mesh,wake_collision,wake_grass,wake_tree
travel,0.029,0.7,128.999,128.999,fly,0.802,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,925945,0,0,0,0,0,0,0,0,0,0,0.393,0.011,0.000,0,0,0,0,0,0,0
travel,0.059,1.4,129.509,129.509,fly,0.848,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,925990,0,0,0,0,0,0,0,0,0,0,0.423,0.021,0.000,0,0,0,0,0,0,0
travel,0.090,2.1,130.020,130.020,fly,1.185,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926035,0,0,0,0,0,0,0,0,0,0,0.818,0.023,0.000,0,0,0,0,0,0,0
travel,0.120,2.9,130.535,130.535,fly,0.750,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926035,0,0,0,0,0,0,0,0,0,0,0.402,0.010,0.000,0,0,0,0,0,0,0
travel,0.150,3.6,131.044,131.044,fly,0.760,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926080,0,0,0,0,0,0,0,0,0,0,0.414,0.010,0.000,0,0,0,0,0,0,0
travel,0.180,4.3,131.557,131.557,fly,0.924,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926080,0,0,0,0,0,0,0,0,0,0,0.502,0.023,0.000,0,0,0,0,0,0,0
travel,0.211,5.1,132.074,132.074,fly,0.752,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926098,0,0,0,0,0,0,0,0,0,0,0.405,0.010,0.000,0,0,0,0,0,0,0
travel,0.241,5.8,132.587,132.587,fly,0.764,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926098,0,0,0,0,0,0,0,0,0,0,0.390,0.011,0.000,0,0,0,0,0,0,0
travel,0.271,6.5,133.098,133.098,fly,0.751,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926104,0,0,0,0,0,0,0,0,0,0,0.405,0.010,0.000,0,0,0,0,0,0,0
travel,0.301,7.2,133.613,133.613,fly,0.806,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926104,0,0,0,0,0,0,0,0,0,0,0.407,0.011,0.000,0,0,0,0,0,0,0
travel,0.331,8.0,134.124,134.124,fly,0.752,ok,2601,0,0,192.00,394432512,517316608,114090264,95883264,18123768,2601,0,22132800,926106,0,0,0,0,0,0,0,0,0,0,0.408,0.010,0.000,0,0,0,0,0,0,0
travel,0.362,8.7,134.644,134.644,fly,0.795,ok,2601,0,0,192.00,394436608,517316608,114090264,95883264,18123768,2601,0,22132800,926106,0,0,0,0,0,0,0,0,0,0,0.404,0.011,0.000,0,0,0,0,0,0,0
travel,0.392,9.4,135.157,135.157,fly,0.861,ok,2601,0,0,192.00,394436608,517316608,114090264,95883264,18123768,2601,0,22132800,926106,0,0,0,0,0,0,0,0,0,0,0.435,0.020,0.000,0,0,0,0,0,0,0
travel,0.423,10.1,135.674,135.674,fly,1.020,ok,2601,0,0,192.00,394436608,517316608,114090264,95883264,18123768,2601,0,22132800,926106,0,0,0,0,0,0,0,0,0,0,0.526,0.059,0.000,0,0,0,0,0,0,0
travel,0.463,11.1,136.350,136.350,fly,0.802,ok,2601,0,110,192.00,398921728,525791232,114090264,95883264,18123768,2702,3724880,16393344,958318,101,101,0,0,6,0,0,0,0,0,0.427,0.010,0.000,0,0,0,101,101,0,0
