stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
p5b3b,north,1,0.0,128.500,128.500,settle_origin,797,1316,0.7290,1285,0,0,0
p5b3b,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.8150,0,0,0,0
p5b3b,north,3,1.0,128.500,129.500,walk,830,2601,0.6653,0,1,0,0
p5b3b,north,3,2.0,128.500,130.500,walk,863,2601,0.6459,0,1,0,0
p5b3b,north,3,3.0,128.500,131.500,walk,896,2601,0.5775,0,1,0,0
p5b3b,north,3,4.0,128.500,132.500,walk,929,2601,0.7181,0,1,0,0
p5b3b,north,3,5.0,128.500,133.500,walk,947,2601,0.9928,0,1,0,0
p5b3b,north,3,6.0,128.500,134.500,walk,957,2601,0.7728,0,1,0,0
p5b3b,north,3,7.0,128.500,135.500,walk,963,2601,0.6536,0,1,0,0
p5b3b,north,3,8.0,128.500,136.500,walk,967,2601,0.5944,51,1,0,0
p5b3b,north,3,9.0,128.500,137.500,walk,969,2582,4.3222,19,0,0,0
p5b3b,north,3,10.0,128.500,138.500,walk,971,2601,2.2285,0,0,0,0
p5b3b,north,3,11.0,128.500,139.500,walk,973,2601,0.6450,0,0,0,0
p5b3b,north,3,12.0,128.500,140.500,walk,975,2601,0.5961,0,0,0,0
p5b3b,north,3,13.0,128.500,141.500,walk,975,2601,0.5816,0,0,0,0
p5b3b,north,3,14.0,128.500,142.500,walk,975,2601,0.6096,0,0,0,0
p5b3b,north,3,15.0,128.500,143.500,walk,975,2601,0.5813,0,0,0,0
p5b3b,north,3,16.0,128.500,144.500,walk,975,2601,0.6678,51,0,0,0
p5b3b,north,3,17.0,128.500,145.500,walk,975,2582,3.9347,19,0,0,0
p5b3b,north,3,18.0,128.500,146.500,walk,975,2601,2.4697,0,0,0,0
p5b3b,north,3,19.0,128.500,147.500,walk,975,2601,0.6619,0,0,0,0
p5b3b,north,3,20.0,128.500,148.500,walk,975,2601,0.6263,0,0,0,0
p5b3b,north,3,21.0,128.500,149.500,walk,975,2601,0.5971,0,0,0,0
p5b3b,north,3,22.0,128.500,150.500,walk,975,2601,0.5898,0,0,0,0
p5b3b,north,3,23.0,128.500,151.500,walk,975,2601,0.6132,0,0,0,0
p5b3b,north,3,24.0,128.500,152.500,walk,975,2601,0.6317,51,0,0,0
p5b3b,north,3,25.0,128.500,153.500,walk,975,2583,3.5882,18,0,0,0
p5b3b,north,3,26.0,128.500,154.500,walk,975,2601,2.1283,0,0,0,0
p5b3b,north,3,27.0,128.500,155.500,walk,975,2601,0.6472,0,0,0,0
p5b3b,north,3,28.0,128.500,156.500,walk,975,2601,0.6637,0,0,0,0
p5b3b,north,3,29.0,128.500,157.500,walk,975,2601,0.6537,0,0,0,0
p5b3b,north,3,30.0,128.500,158.500,walk,975,2601,0.6228,0,0,0,0
p5b3b,north,3,31.0,128.500,159.500,walk,975,2601,0.6010,0,0,0,0
p5b3b,north,3,32.0,128.500,160.500,walk,975,2601,0.6556,51,0,0,0
p5b3b,north,3,33.0,128.500,161.500,walk,975,2578,3.9185,23,0,0,0
p5b3b,north,3,34.0,128.500,162.500,walk,975,2601,3.1477,0,0,0,0
p5b3b,north,3,35.0,128.500,163.500,walk,975,2601,0.6751,0,0,0,0
p5b3b,north,3,36.0,128.500,164.500,walk,975,2601,0.6235,0,0,0,0
p5b3b,north,3,37.0,128.500,165.500,walk,975,2601,0.6362,0,0,0,0
p5b3b,north,3,38.0,128.500,166.500,walk,975,2601,0.6218,0,0,0,0
p5b3b,north,3,39.0,128.500,167.500,walk,975,2601,0.6860,0,0,0,0
p5b3b,north,3,40.0,128.500,168.500,walk,975,2601,0.6645,51,0,0,0
p5b3b,north,3,41.0,128.500,169.500,walk,975,2550,1.1376,51,0,0,0
p5b3b,north,3,42.0,128.500,170.500,walk,975,2550,0.6769,51,0,0,0
p5b3b,north,3,43.0,128.500,171.500,walk,975,2550,0.6607,51,0,0,0
p5b3b,north,3,44.0,128.500,172.500,walk,975,2550,0.6332,51,0,0,0
p5b3b,north,3,45.0,128.500,173.500,walk,975,2553,0.9460,48,0,0,0
p5b3b,north,3,46.0,128.500,174.500,walk,975,2559,1.1160,42,0,0,0
p5b3b,north,3,47.0,128.500,175.500,walk,975,2564,1.2818,37,0,0,0
p5b3b,north,3,48.0,128.500,176.500,walk,975,2574,1.8897,78,0,0,0
p5b3b,north,3,49.0,128.500,177.500,walk,975,2536,2.2762,65,0,0,0
p5b3b,north,3,50.0,128.500,178.500,walk,975,2550,1.9233,51,0,0,0
p5b3b,north,3,51.0,128.500,179.500,walk,975,2550,0.6805,51,0,0,0
p5b3b,north,3,52.0,128.500,180.500,walk,975,2550,0.7926,51,0,0,0
p5b3b,north,3,53.0,128.500,181.500,walk,975,2550,0.6430,51,0,0,0
p5b3b,north,3,54.0,128.500,182.500,walk,975,2550,0.6337,51,0,0,0
p5b3b,north,3,55.0,128.500,183.500,walk,975,2550,0.6292,51,0,0,0
p5b3b,north,3,56.0,128.500,184.500,walk,975,2550,0.6277,102,0,0,0
p5b3b,north,3,57.0,128.500,185.500,walk,975,2499,0.6400,102,0,0,0
p5b3b,north,3,58.0,128.500,186.500,walk,975,2499,0.6582,102,0,0,0
p5b3b,north,3,59.0,128.500,187.500,walk,975,2499,0.6512,102,0,0,0
p5b3b,north,3,60.0,128.500,188.500,walk,975,2499,0.6451,102,0,0,0
p5b3b,north,3,61.0,128.500,189.500,walk,975,2499,0.7334,102,0,0,0
p5b3b,north,3,62.0,128.500,190.500,walk,975,2499,0.6987,102,0,0,0
p5b3b,north,3,63.0,128.500,191.500,walk,975,2499,0.7053,102,0,0,0
p5b3b,north,3,64.0,128.500,192.500,walk,975,2499,0.6552,153,0,0,0
p5b3b,north,3,66.0,128.500,194.500,sprint,973,2451,4.8195,150,0,0,0
p5b3b,north,3,68.0,128.500,196.500,sprint,971,2455,1.0918,146,0,0,0
p5b3b,north,3,70.0,128.500,198.500,sprint,969,2460,1.4555,141,0,0,0
p5b3b,north,3,72.0,128.500,200.500,sprint,967,2472,1.7279,180,0,0,0
p5b3b,north,3,74.0,128.500,202.500,sprint,965,2434,1.7726,167,0,0,0
p5b3b,north,3,76.0,128.500,204.500,sprint,963,2448,1.8301,153,0,0,0
p5b3b,north,3,78.0,128.500,206.500,sprint,963,2448,0.8566,153,0,0,0
p5b3b,north,3,80.0,128.500,208.500,sprint,963,2448,0.6988,204,0,0,0
p5b3b,north,3,82.0,128.500,210.500,sprint,963,2397,0.6480,204,0,0,0
p5b3b,north,3,84.0,128.500,212.500,sprint,963,2397,0.6213,204,0,0,0
p5b3b,north,3,86.0,128.500,214.500,sprint,963,2397,0.6114,204,0,0,0
p5b3b,north,3,88.0,128.500,216.500,sprint,963,2397,0.6922,255,0,0,0
p5b3b,north,3,90.0,128.500,218.500,sprint,963,2346,0.8480,255,0,0,0
p5b3b,north,3,92.0,128.500,220.500,sprint,963,2346,0.7704,255,0,0,0
p5b3b,north,3,94.0,128.500,222.500,sprint,963,2346,1.0689,255,0,0,0
p5b3b,north,3,96.0,128.500,224.500,sprint,963,2346,0.6735,306,0,0,0
p5b3b,north,3,98.0,128.500,226.500,sprint,963,2295,0.6397,306,0,0,0
p5b3b,north,3,100.0,128.500,228.500,sprint,963,2295,0.6381,306,0,0,0
p5b3b,north,3,102.0,128.500,230.500,sprint,963,2295,0.6070,306,0,0,0
p5b3b,north,3,104.0,128.500,232.500,sprint,963,2295,0.5805,357,0,0,0
p5b3b,north,3,106.0,128.500,234.500,sprint,963,2244,0.6159,357,0,0,0
p5b3b,north,3,108.0,128.500,236.500,sprint,963,2244,0.5921,357,0,0,0
p5b3b,north,3,110.0,128.500,238.500,sprint,963,2244,0.5841,357,0,0,0
p5b3b,north,3,112.0,128.500,240.500,sprint,963,2244,0.5786,408,0,0,0
p5b3b,north,3,114.0,128.500,242.500,sprint,963,2193,0.5858,408,0,0,0
p5b3b,north,3,116.0,128.500,244.500,sprint,963,2193,0.5875,408,0,0,0
p5b3b,north,3,118.0,128.500,246.500,sprint,963,2193,0.5754,408,0,0,0
p5b3b,north,3,120.0,128.500,248.500,sprint,963,2193,0.6091,459,0,0,0
p5b3b,north,3,122.0,128.500,250.500,sprint,963,2144,0.8304,457,0,0,0
p5b3b,north,3,124.0,128.500,252.500,sprint,963,2149,1.1125,452,0,0,0
p5b3b,north,3,126.0,128.500,254.500,sprint,963,2156,1.5842,445,0,0,0
p5b3b,north,3,128.0,128.500,256.500,sprint,963,2170,1.9150,482,0,0,0
p5b3b,north,3,132.0,128.500,260.500,free_fly,961,2134,2.1668,467,0,0,0
p5b3b,north,3,136.0,128.500,264.500,free_fly,959,2141,1.4774,511,0,0,0
p5b3b,north,3,140.0,128.500,268.500,free_fly,957,2091,0.8079,510,0,0,0
p5b3b,north,3,144.0,128.500,272.500,free_fly,957,2091,0.6438,561,0,0,0
p5b3b,north,3,148.0,128.500,276.500,free_fly,957,2040,0.6151,561,0,0,0
