frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
0,0.000721,2.000,-11.997,0.721400,0.714600,0.154400,0.000000,0.525400,0.000000,192.000,0
1,0.001473,2.000,-11.993,0.751600,0.709000,0.150300,0.000000,0.533100,0.000000,192.000,0
2,0.002222,2.000,-11.989,0.748700,0.708800,0.158900,0.000000,0.524100,0.000000,192.000,0
3,0.003209,2.000,-11.985,0.987000,0.934300,0.149700,0.000000,0.759100,0.000000,192.000,0
4,0.004055,2.000,-11.980,0.846700,0.766500,0.241700,0.000000,0.483700,0.000100,192.000,0
5,0.004850,2.000,-11.976,0.795100,0.749600,0.166100,0.000000,0.556300,0.000000,192.000,0
6,0.005594,2.000,-11.972,0.743400,0.700800,0.162200,0.000000,0.512200,0.000000,192.000,0
7,0.006279,2.000,-11.968,0.684700,0.647000,0.152900,0.000000,0.469600,0.000000,192.000,0
8,0.006986,2.000,-11.965,0.707700,0.668100,0.148700,0.000000,0.494500,0.000000,192.000,0
9,0.007657,2.000,-11.962,0.670600,0.633500,0.150500,0.000000,0.458300,0.000000,192.000,0
10,0.008357,2.000,-11.958,0.699900,0.662800,0.148400,0.000000,0.489400,0.000000,192.000,0
11,0.009050,2.000,-11.955,0.693600,0.635600,0.146600,0.000000,0.464300,0.000000,192.000,0
12,0.009714,2.000,-11.951,0.663800,0.622800,0.150300,0.000000,0.446800,0.000000,192.000,0
13,0.010482,2.000,-11.948,0.768000,0.726300,0.147100,0.000000,0.554300,0.000000,192.000,0
14,0.011212,2.000,-11.944,0.730000,0.677800,0.172200,0.000000,0.475800,0.000000,192.000,0
15,0.011899,2.000,-11.940,0.686500,0.642600,0.156500,0.000000,0.460800,0.000000,192.000,0
16,0.012651,2.000,-11.937,0.752200,0.712500,0.161600,0.000000,0.525100,0.000100,192.000,0
17,0.013337,2.000,-11.933,0.686500,0.647500,0.150200,0.000000,0.472700,0.000000,192.000,0
18,0.014026,2.000,-11.930,0.688600,0.650700,0.148900,0.000000,0.476400,0.000000,192.000,0
19,0.015086,2.000,-11.926,1.059700,1.018800,0.157800,0.000000,0.836000,0.000000,192.000,0
20,0.016075,2.000,-11.921,0.989000,0.930500,0.175100,0.000000,0.724700,0.000100,192.000,0
21,0.016813,2.000,-11.916,0.738000,0.698700,0.161500,0.000000,0.510700,0.000000,192.000,0
22,0.017502,2.000,-11.912,0.689600,0.651000,0.151400,0.000000,0.475200,0.000000,192.000,0
23,0.018189,2.000,-11.909,0.686400,0.647900,0.149000,0.000000,0.473700,0.000100,192.000,0
24,0.018882,2.000,-11.906,0.693700,0.657100,0.148000,0.000000,0.483800,0.000000,192.000,0
25,0.019840,2.000,-11.902,0.957400,0.897500,0.147400,0.000000,0.725100,0.000000,192.000,0
26,0.020620,2.000,-11.897,0.780200,0.745500,0.110800,0.000000,0.618300,0.000000,192.000,0
27,0.021385,2.000,-11.893,0.765400,0.723500,0.160500,0.000000,0.536800,0.000000,192.000,0
28,0.022097,2.000,-11.890,0.712000,0.673500,0.149200,0.000000,0.499100,0.000000,192.000,0
29,0.022793,2.000,-11.886,0.695400,0.658500,0.148300,0.000000,0.485200,0.000100,192.000,0
30,0.023482,2.000,-11.882,0.689400,0.652300,0.147900,0.000000,0.479400,0.000000,192.000,0
31,0.024177,2.000,-11.879,0.694700,0.658000,0.146900,0.000000,0.486200,0.000000,192.000,0
