frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
0,0.000885,2.000,-11.996,0.884800,0.874800,0.129600,0.652900,0.675800,0.000000,192.000,0
1,0.001721,2.000,-11.991,0.835900,0.793900,0.154500,0.600700,0.614700,0.000000,192.000,0
2,0.002507,2.000,-11.987,0.786400,0.749200,0.131100,0.583400,0.596200,0.000000,192.000,0
3,0.003288,2.000,-11.983,0.781100,0.744900,0.125600,0.585000,0.597700,0.000000,192.000,0
4,0.004110,2.000,-11.979,0.821300,0.781600,0.124200,0.613200,0.635500,0.000100,192.000,0
5,0.004939,2.000,-11.975,0.829300,0.792800,0.146900,0.609000,0.622600,0.000100,192.000,0
6,0.005749,2.000,-11.971,0.810200,0.775000,0.126600,0.613700,0.626900,0.000000,192.000,0
7,0.006552,2.000,-11.967,0.803300,0.768300,0.124900,0.608900,0.622000,0.000100,192.000,0
8,0.007337,2.000,-11.963,0.785000,0.750200,0.124400,0.591600,0.604400,0.000100,192.000,0
9,0.008120,2.000,-11.959,0.782400,0.747400,0.123500,0.590300,0.602700,0.000000,192.000,0
10,0.009100,2.000,-11.955,0.979900,0.918800,0.122800,0.714300,0.774800,0.000000,192.000,0
11,0.010153,2.000,-11.950,1.053100,1.005600,0.169400,0.785200,0.812000,0.000100,192.000,0
12,0.011063,2.000,-11.945,0.909800,0.866200,0.172900,0.637200,0.659800,0.000000,192.000,0
13,0.011886,2.000,-11.940,0.823700,0.786200,0.151400,0.598100,0.611900,0.000000,192.000,0
14,0.012666,2.000,-11.936,0.779300,0.743900,0.127800,0.581300,0.594400,0.000000,192.000,0
15,0.013444,2.000,-11.932,0.778500,0.743400,0.123800,0.585600,0.598400,0.000000,192.000,0
16,0.014706,2.000,-11.928,1.262300,1.222800,0.122600,1.052000,1.078700,0.000000,192.000,0
17,0.015875,2.000,-11.922,1.168400,1.124100,0.142100,0.933100,0.956100,0.000100,192.000,0
18,0.016734,2.000,-11.916,0.859200,0.821800,0.150400,0.625100,0.638900,0.000000,192.000,0
19,0.017519,2.000,-11.912,0.784800,0.749300,0.128100,0.586200,0.599700,0.000000,192.000,0
20,0.018299,2.000,-11.908,0.780700,0.742200,0.123900,0.582400,0.595400,0.000000,192.000,0
21,0.019074,2.000,-11.904,0.774200,0.738500,0.123900,0.580700,0.593300,0.000000,192.000,0
22,0.019849,2.000,-11.900,0.775400,0.738700,0.122300,0.581700,0.594000,0.000000,192.000,0
23,0.020638,2.000,-11.896,0.788900,0.733300,0.122100,0.577000,0.589400,0.000000,192.000,0
24,0.021420,2.000,-11.892,0.782600,0.745300,0.119200,0.586000,0.599500,0.000000,192.000,0
25,0.022193,2.000,-11.888,0.772400,0.737200,0.123800,0.579200,0.592200,0.000000,192.000,0
26,0.022971,2.000,-11.885,0.778200,0.742600,0.123500,0.584900,0.597700,0.000100,192.000,0
27,0.023758,2.000,-11.881,0.787100,0.753000,0.122400,0.596500,0.609100,0.000000,192.000,0
28,0.024552,2.000,-11.877,0.794300,0.755500,0.122600,0.594300,0.611400,0.000000,192.000,0
29,0.025661,2.000,-11.873,1.109000,1.066900,0.154300,0.869000,0.889000,0.000000,192.000,0
30,0.026481,2.000,-11.867,0.819600,0.781100,0.143200,0.602200,0.615900,0.000000,192.000,0
31,0.027269,2.000,-11.863,0.787500,0.751700,0.125900,0.591200,0.604300,0.000000,192.000,0
32,0.028053,2.000,-11.859,0.784500,0.749000,0.124700,0.590200,0.602900,0.000100,192.000,0
33,0.028830,2.000,-11.855,0.777300,0.742100,0.122900,0.585100,0.598000,0.000000,192.000,0
34,0.029630,2.000,-11.851,0.799800,0.766000,0.122500,0.609400,0.622200,0.000000,192.000,0
35,0.030407,2.000,-11.847,0.777100,0.741900,0.121900,0.585900,0.598600,0.000100,192.000,0
36,0.031562,2.000,-11.843,1.154700,1.115900,0.296900,0.773500,0.797300,0.000000,192.000,0
37,0.032523,2.000,-11.838,0.961500,0.900100,0.160300,0.693000,0.716300,0.000000,192.000,0
38,0.033337,2.000,-11.833,0.813800,0.776800,0.150400,0.590000,0.604700,0.000000,192.000,0
39,0.034127,2.000,-11.829,0.790100,0.754100,0.133000,0.586200,0.599600,0.000100,192.000,0
40,0.034922,2.000,-11.825,0.794600,0.759300,0.125600,0.598700,0.612200,0.000000,192.000,0
41,0.035718,2.000,-11.821,0.796100,0.762000,0.125300,0.602000,0.615400,0.000000,192.000,0
42,0.036534,2.000,-11.817,0.815800,0.780400,0.123200,0.621500,0.635200,0.000000,192.000,0
43,0.037318,2.000,-11.813,0.783700,0.749100,0.123300,0.591300,0.604400,0.000000,192.000,0
44,0.038106,2.000,-11.809,0.788400,0.752800,0.124000,0.594300,0.607500,0.000000,192.000,0
45,0.038888,2.000,-11.805,0.782200,0.747000,0.122600,0.590100,0.602900,0.000000,192.000,0
46,0.039666,2.000,-11.801,0.777600,0.742900,0.122900,0.585700,0.598600,0.000000,192.000,0
47,0.040508,2.000,-11.797,0.841900,0.803400,0.122800,0.636400,0.659200,0.000000,192.000,0
48,0.041331,2.000,-11.793,0.823400,0.787900,0.151200,0.599300,0.613300,0.000000,192.000,0
49,0.042111,2.000,-11.789,0.780200,0.744800,0.129300,0.581100,0.593900,0.000000,192.000,0
50,0.042905,2.000,-11.785,0.793900,0.740500,0.125400,0.580000,0.593600,0.000100,192.000,0
51,0.043694,2.000,-11.781,0.788600,0.750500,0.116400,0.593900,0.608100,0.000100,192.000,0
52,0.044480,2.000,-11.777,0.785900,0.750900,0.124200,0.592100,0.605500,0.000000,192.000,0
53,0.045285,2.000,-11.773,0.805600,0.770800,0.128200,0.607900,0.621500,0.000100,192.000,0
54,0.046115,2.000,-11.769,0.830100,0.794100,0.125300,0.633500,0.647500,0.000000,192.000,0
55,0.046898,2.000,-11.765,0.782300,0.746900,0.125400,0.586800,0.600200,0.000100,192.000,0
56,0.047906,2.000,-11.761,1.008000,0.969800,0.124000,0.801200,0.824400,0.000000,192.000,0
57,0.048786,2.000,-11.756,0.880300,0.844600,0.162200,0.645900,0.660000,0.000000,192.000,0
58,0.049600,2.000,-11.752,0.813900,0.777200,0.129200,0.612800,0.626700,0.000000,192.000,0
59,0.050377,2.000,-11.747,0.777200,0.742400,0.127400,0.580400,0.593700,0.000000,192.000,0
60,0.051143,2.000,-11.744,0.766000,0.730200,0.123000,0.573000,0.585900,0.000000,192.000,0
61,0.051983,2.000,-11.740,0.840000,0.802700,0.156300,0.604800,0.625100,0.000000,192.000,0
62,0.052783,2.000,-11.736,0.800000,0.762400,0.141500,0.584900,0.599200,0.000100,192.000,0
63,0.053576,2.000,-11.732,0.793200,0.758200,0.126900,0.595800,0.609800,0.000000,192.000,0
64,0.054381,2.000,-11.728,0.804800,0.750400,0.123400,0.592200,0.605600,0.000000,192.000,0
65,0.055178,2.000,-11.724,0.796600,0.762400,0.117300,0.605400,0.619700,0.000100,192.000,0
66,0.056273,2.000,-11.720,1.095100,1.055300,0.124500,0.843900,0.909200,0.000000,192.000,0
67,0.057223,2.000,-11.714,0.949700,0.895300,0.180100,0.665500,0.688100,0.000000,192.000,0
68,0.058060,2.000,-11.709,0.837100,0.799900,0.162100,0.598800,0.614000,0.000100,192.000,0
69,0.058852,2.000,-11.705,0.792600,0.756700,0.131000,0.590200,0.604100,0.000100,192.000,0
70,0.059633,2.000,-11.701,0.780900,0.745700,0.125900,0.585100,0.598000,0.000000,192.000,0
71,0.060423,2.000,-11.697,0.790100,0.754900,0.122700,0.597300,0.610800,0.000000,192.000,0
72,0.061199,2.000,-11.693,0.775300,0.739300,0.124600,0.579800,0.593000,0.000100,192.000,0
73,0.061971,2.000,-11.690,0.772000,0.736900,0.125400,0.577100,0.590100,0.000100,192.000,0
74,0.062747,2.000,-11.686,0.776800,0.741300,0.125600,0.581400,0.594400,0.000000,192.000,0
75,0.063525,2.000,-11.682,0.778000,0.742900,0.123000,0.585700,0.598500,0.000100,192.000,0
76,0.064617,2.000,-11.678,1.091300,1.052000,0.122000,0.885700,0.908500,0.000000,192.000,0
77,0.065588,2.000,-11.672,0.971500,0.912000,0.166000,0.708500,0.722600,0.000000,192.000,0
78,0.066438,2.000,-11.668,0.850100,0.811700,0.131700,0.635400,0.657900,0.000100,192.000,0
79,0.067263,2.000,-11.663,0.825000,0.785800,0.154800,0.592800,0.606500,0.000100,192.000,0
80,0.068053,2.000,-11.659,0.789500,0.751400,0.131300,0.584900,0.598300,0.000000,192.000,0
81,0.068838,2.000,-11.655,0.785400,0.748600,0.128800,0.584900,0.597700,0.000100,192.000,0
