frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
0,0.000714,2.000,-11.996,0.713700,0.710100,0.631200,0.016500,0.058100,0.000000,192.000,0
1,0.001444,2.000,-11.993,0.730000,0.706200,0.630900,0.015800,0.060300,0.000000,192.000,0
2,0.002175,2.000,-11.989,0.731000,0.707300,0.629300,0.020400,0.063200,0.000100,192.000,0
3,0.002922,2.000,-11.985,0.747800,0.724300,0.636100,0.029800,0.073300,0.000000,192.000,0
4,0.003689,2.000,-11.982,0.766800,0.727100,0.628600,0.040300,0.083500,0.000000,192.000,0
5,0.004583,2.000,-11.978,0.893400,0.860800,0.641500,0.062300,0.203300,0.000000,192.000,0
6,0.005628,2.000,-11.973,1.045400,0.996000,0.746500,0.146300,0.228900,0.000000,192.000,0
7,0.006468,2.000,-11.968,0.839900,0.804600,0.672100,0.036300,0.115400,0.000000,192.000,0
8,0.007246,2.000,-11.964,0.777800,0.747200,0.664000,0.020000,0.066400,0.000000,192.000,0
9,0.007971,2.000,-11.960,0.724700,0.701100,0.625300,0.019000,0.060700,0.000100,192.000,0
10,0.008694,2.000,-11.957,0.723600,0.701200,0.624300,0.017300,0.062100,0.000000,192.000,0
11,0.009412,2.000,-11.953,0.718000,0.692900,0.619500,0.015400,0.058100,0.000000,192.000,0
12,0.010126,2.000,-11.949,0.713600,0.690600,0.614200,0.015200,0.061600,0.000000,192.000,0
13,0.010845,2.000,-11.946,0.719000,0.695300,0.612100,0.025000,0.068300,0.000100,192.000,0
14,0.012204,2.000,-11.942,1.359200,1.284100,1.095500,0.052100,0.129500,0.000100,192.000,0
15,0.013187,2.000,-11.935,0.982800,0.947300,0.802700,0.042600,0.127700,0.000000,192.000,0
16,0.014024,2.000,-11.930,0.837500,0.798700,0.660700,0.053200,0.118200,0.000000,192.000,0
17,0.014799,2.000,-11.926,0.775000,0.731300,0.648400,0.021400,0.067500,0.000000,192.000,0
18,0.015545,2.000,-11.922,0.745500,0.719000,0.637500,0.020500,0.065900,0.000000,192.000,0
19,0.016277,2.000,-11.919,0.732100,0.709000,0.631600,0.019000,0.062500,0.000000,192.000,0
20,0.017020,2.000,-11.915,0.743100,0.719400,0.643200,0.017900,0.061300,0.000000,192.000,0
21,0.017746,2.000,-11.911,0.726300,0.702900,0.629700,0.016500,0.058300,0.000000,192.000,0
22,0.018479,2.000,-11.908,0.732500,0.709300,0.633300,0.015600,0.061100,0.000000,192.000,0
23,0.019220,2.000,-11.904,0.741600,0.718200,0.627800,0.020700,0.075500,0.000000,192.000,0
24,0.019959,2.000,-11.900,0.738300,0.714900,0.627900,0.030700,0.072100,0.000000,192.000,0
25,0.020712,2.000,-11.897,0.753400,0.730100,0.630200,0.040500,0.085000,0.000000,192.000,0
26,0.021601,2.000,-11.893,0.888800,0.861100,0.672700,0.061100,0.173300,0.000000,192.000,0
27,0.022467,2.000,-11.888,0.866200,0.831700,0.688600,0.048100,0.122300,0.000100,192.000,0
28,0.023227,2.000,-11.884,0.760400,0.735400,0.652500,0.021000,0.067800,0.000000,192.000,0
29,0.024000,2.000,-11.880,0.773100,0.748900,0.639400,0.020000,0.094500,0.000000,192.000,0
30,0.024753,2.000,-11.876,0.752900,0.728900,0.650000,0.019500,0.063900,0.000000,192.000,0
31,0.025511,2.000,-11.873,0.757500,0.717600,0.644100,0.015400,0.058700,0.000000,192.000,0
32,0.026471,2.000,-11.869,0.959900,0.931100,0.752100,0.091400,0.163600,0.000000,192.000,0
33,0.027239,2.000,-11.864,0.768500,0.741400,0.660300,0.015900,0.065200,0.000100,192.000,0
34,0.028007,2.000,-11.860,0.767800,0.743100,0.656000,0.025600,0.072100,0.000100,192.000,0
35,0.028761,2.000,-11.856,0.754000,0.729400,0.634900,0.035100,0.079400,0.000100,192.000,0
36,0.029529,2.000,-11.853,0.767500,0.744800,0.640500,0.046100,0.089400,0.000000,192.000,0
37,0.030280,2.000,-11.849,0.751100,0.727900,0.621200,0.051200,0.091900,0.000000,192.000,0
38,0.031012,2.000,-11.845,0.732700,0.709300,0.628200,0.021700,0.066300,0.000000,192.000,0
39,0.031740,2.000,-11.841,0.728100,0.704300,0.626100,0.020300,0.063200,0.000000,192.000,0
