frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
0,0.016635,2.000,-11.916,16.634600,16.617200,0.214300,0.000000,16.345800,0.000100,192.000,0
1,0.033338,2.000,-11.833,16.703200,16.612200,0.383100,0.000000,16.176300,0.000100,192.000,0
2,0.049949,2.000,-11.749,16.611200,16.550900,0.227100,0.000000,16.291000,0.000000,192.000,0
3,0.066642,2.000,-11.666,16.693100,16.634500,0.183700,0.000000,16.420700,0.000000,192.000,0
4,0.083386,2.000,-11.583,16.744300,16.682200,0.218600,0.000000,16.437400,0.000000,192.000,0
5,0.100056,2.000,-11.499,16.669500,16.569900,0.214300,0.000000,16.286500,0.000100,192.000,0
6,0.116662,2.000,-11.416,16.606000,16.487900,0.305100,0.000000,16.106000,0.000000,192.000,0
7,0.133291,2.000,-11.333,16.628700,16.564600,0.222300,0.000000,16.314500,0.000100,192.000,0
8,0.150018,2.000,-11.249,16.727900,16.640300,0.234200,0.000000,16.356400,0.000000,192.000,0
9,0.166615,2.000,-11.166,16.597000,16.539700,0.207900,0.000000,16.299900,0.000000,192.000,0
10,0.183311,2.000,-11.083,16.695600,16.645800,0.167300,0.000000,16.456700,0.000000,192.000,0
11,0.199953,2.000,-11.000,16.641800,16.590000,0.166900,0.000000,16.395700,0.000100,192.000,0
12,0.216589,2.000,-10.916,16.636000,16.582600,0.181400,0.000000,16.376100,0.000000,192.000,0
13,0.233247,2.000,-10.833,16.657900,16.601600,0.200900,0.000000,16.369500,0.000000,192.000,0
14,0.250020,2.000,-10.750,16.773000,16.710900,0.220700,0.000000,16.462000,0.000000,192.000,0
15,0.266646,2.000,-10.666,16.626700,16.523900,0.328200,0.000000,16.141300,0.000100,192.000,0
16,0.283312,2.000,-10.583,16.665400,16.567000,0.259800,0.000000,16.249000,0.000000,192.000,0
17,0.299940,2.000,-10.500,16.628400,16.551500,0.184500,0.000000,16.345500,0.000000,192.000,0
18,0.316694,2.000,-10.416,16.753700,16.657600,0.278000,0.000000,16.326000,0.000000,192.000,0
19,0.333317,2.000,-10.332,16.622900,16.539700,0.298600,0.000000,16.199400,0.000000,192.000,0
20,0.349992,2.000,-10.249,16.675600,16.560500,0.243800,0.000000,16.274100,0.000000,192.000,0
21,0.366608,2.000,-10.166,16.615200,16.518400,0.203100,0.000000,16.270900,0.000000,192.000,0
22,0.383285,2.000,-10.083,16.677400,16.623900,0.153900,0.000000,16.448800,0.000000,192.000,0
23,0.399959,2.000,-10.000,16.674300,16.584200,0.288500,0.000000,16.247100,0.000100,192.000,0
24,0.416743,2.000,-9.916,16.783800,16.677600,0.240300,0.000000,16.379200,0.000100,192.000,0
25,0.433193,2.000,-9.832,16.450200,16.369900,0.297700,0.000000,16.031300,0.000100,192.000,0
26,0.449953,2.000,-9.750,16.759400,16.695600,0.201300,0.000000,16.463300,0.000000,192.000,0
27,0.466633,2.000,-9.666,16.680400,16.600900,0.249800,0.000000,16.310400,0.000100,192.000,0
28,0.483290,2.000,-9.583,16.657100,16.600700,0.177100,0.000000,16.396000,0.000000,192.000,0
29,0.500056,2.000,-9.499,16.765600,16.659900,0.344900,0.000000,16.258200,0.000000,192.000,0
30,0.516637,2.000,-9.416,16.581300,16.498000,0.324600,0.000000,16.130600,0.000100,192.000,0
31,0.533286,2.000,-9.333,16.648900,16.580200,0.231700,0.000000,16.317900,0.000000,192.000,0
32,0.549960,2.000,-9.250,16.674000,16.601900,0.180800,0.000000,16.371200,0.000100,192.000,0
33,0.566658,2.000,-9.166,16.698100,16.652700,0.143800,0.000000,16.488000,0.000000,192.000,0
34,0.583320,2.000,-9.083,16.662200,16.585400,0.185900,0.000000,16.372800,0.000100,192.000,0
35,0.599985,2.000,-9.000,16.664600,16.611300,0.152200,0.000000,16.429100,0.000000,192.000,0
36,0.616661,2.000,-8.916,16.676100,16.585100,0.362400,0.000000,16.100300,0.000100,192.000,0
37,0.633294,2.000,-8.833,16.633200,16.574100,0.188000,0.000000,16.355000,0.000000,192.000,0
38,0.650114,2.000,-8.750,16.819600,16.763200,0.150700,0.000000,16.590400,0.000000,192.000,0
39,0.666652,2.000,-8.665,16.538300,16.436600,0.355800,0.000000,16.026600,0.000100,192.000,0
40,0.683273,2.000,-8.583,16.620700,16.537500,0.304400,0.000000,16.190300,0.000000,192.000,0
41,0.700023,2.000,-8.500,16.749700,16.687200,0.247300,0.000000,16.410000,0.000100,192.000,0
42,0.716706,2.000,-8.416,16.683900,16.611100,0.217600,0.000000,16.360000,0.000000,192.000,0
43,0.733303,2.000,-8.332,16.596300,16.485700,0.220600,0.000000,16.230300,0.000000,192.000,0
44,0.750006,2.000,-8.250,16.703500,16.631900,0.243700,0.000000,16.359900,0.000100,192.000,0
