frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,0.4269,0.0001,0.0000,0.0000,0.0258,0.0001,0.0000,0.0000,0.0918,0.1053,0.0035,0,0,2601,12853
2,8.0,5.0750,0.0000,0.7057,0.3121,8.7111,0.0000,0.0000,0.0000,0.4886,0.0110,0.0410,51,0,2601,13509
3,16.0,5.6550,0.0000,0.3303,0.2756,9.9535,0.0000,0.0000,0.0000,0.3110,0.0189,0.0212,51,0,2601,13543
4,24.0,4.6520,0.0000,0.3256,0.2823,9.4776,0.0001,0.0000,0.0000,0.2675,0.0179,0.0270,51,0,2601,13543
5,32.0,4.8138,0.0000,0.2968,0.2241,7.8525,0.0001,0.0000,0.0000,0.2692,0.0102,0.0311,51,0,2601,13543
6,40.0,5.2629,0.0000,0.2907,0.2194,8.1944,0.0001,0.0000,0.0000,0.3099,0.0188,0.0204,51,0,2601,13543
7,48.0,4.6894,0.0000,0.3102,0.2301,8.5258,0.0001,0.0000,0.0000,0.3123,0.0196,0.0248,51,0,2601,13543
8,56.0,4.9471,0.0000,0.3251,0.2307,7.9390,0.0001,0.0000,0.0000,0.3047,0.0113,0.0264,51,0,2601,13543
9,64.0,4.9167,0.0000,0.3133,0.2160,7.9098,0.0000,0.0000,0.0000,0.3576,0.0225,0.0200,51,0,2601,13543
10,72.0,5.6385,0.0000,0.4123,0.4551,8.9254,0.0001,0.0000,0.0000,0.3192,0.0171,0.0303,51,0,2601,13543
11,80.0,4.8336,0.0000,0.3377,0.2319,9.2951,0.0000,0.0000,0.0000,0.3449,0.0193,0.0240,51,0,2601,13543
12,88.0,4.7397,0.0000,0.3162,0.2142,7.9330,0.0001,0.0000,0.0000,0.3150,0.0190,0.0241,51,0,2601,13543
13,96.0,5.5236,0.0000,0.3700,0.2544,8.6475,0.0001,0.0000,0.0000,0.4423,0.0360,0.0250,51,0,2601,13543
14,104.0,4.9825,0.0000,0.4011,0.2994,9.2556,0.0001,0.0000,0.0000,0.3342,0.0189,0.0492,51,0,2601,13543
15,112.0,4.9945,0.0000,0.3373,0.2209,8.2181,0.0001,0.0000,0.0000,0.3439,0.0107,0.0576,51,0,2601,13543
16,120.0,5.9692,0.0000,0.3914,0.2697,8.9428,0.0001,0.0000,0.0000,0.3670,0.0192,0.0189,51,0,2601,13543
17,128.0,5.0047,0.0000,0.3941,0.2394,8.9869,0.0001,0.0000,0.0000,0.3341,0.0108,0.0233,51,0,2601,13543
18,136.0,4.9840,0.0000,0.3329,0.2288,8.1897,0.0000,0.0000,0.0000,0.3365,0.0100,0.0184,51,0,2601,13543
19,144.0,5.4588,0.0000,0.3811,0.2618,9.1041,0.0001,0.0000,0.0000,0.3659,0.0186,0.0171,51,0,2601,13543
20,152.0,4.9476,0.0000,0.3453,0.2198,9.1460,0.0001,0.0000,0.0000,0.3324,0.0104,0.0232,51,0,2601,13543
