frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,0.7391,0.1226,0.0000,0.0000,0.2022,0,0,4489,12853
2,4.0,1.6458,0.0857,0.0000,0.0000,0.1454,0,0,4489,13363
3,8.0,7.7004,6.5316,0.0000,0.0000,0.2118,4,0,4426,13511
4,12.0,7.1465,5.7796,0.0000,0.0000,0.2040,4,0,4430,13541
5,16.0,82.1196,80.8461,0.0000,0.0000,0.3488,62,0,4425,13547
6,20.0,6.5827,5.0759,0.0000,0.0000,0.2047,4,0,4429,13549
7,24.0,82.4895,81.2033,0.0000,0.0000,0.3223,62,0,4424,13549
8,28.0,6.5333,5.0108,0.0000,0.0000,0.2007,4,0,4428,13549
9,32.0,83.2676,81.9789,0.0000,0.0000,0.3335,62,0,4423,13549
10,36.0,7.7297,6.2957,0.0000,0.0000,0.2112,4,0,4427,13549
11,40.0,84.7853,83.4528,0.0000,0.0000,0.3376,62,0,4422,13549
12,44.0,8.8806,7.3731,0.0000,0.0000,0.2012,4,0,4426,13549
13,48.0,83.6654,82.2246,0.0000,0.0000,0.2988,62,0,4421,13549
14,52.0,9.6949,8.3054,0.0000,0.0000,0.2015,4,0,4425,13549
15,56.0,84.2633,82.9539,0.0000,0.0000,0.3070,62,0,4420,13549
16,60.0,8.4487,6.9915,0.0000,0.0000,0.2278,4,0,4424,13549
17,64.0,86.7444,85.4346,0.0000,0.0000,0.3337,62,0,4419,13549
18,68.0,6.7791,5.2672,0.0000,0.0000,0.2057,4,0,4423,13549
19,72.0,90.5190,89.1403,0.0000,0.0000,0.4540,62,0,4418,13549
20,76.0,6.9028,5.1398,0.0000,0.0000,0.2255,4,0,4422,13549
21,80.0,82.7384,81.6955,0.0000,0.0000,0.3962,62,0,4417,13549
22,84.0,6.1462,4.3933,0.0000,0.0000,0.2237,4,0,4421,13549
23,88.0,83.0377,81.9199,0.0000,0.0000,0.3478,62,0,4416,13549
24,92.0,5.3293,3.7568,0.0000,0.0000,0.2155,4,0,4420,13549
25,96.0,86.8736,85.4732,0.0000,0.0000,0.3786,62,0,4415,13549
26,100.0,6.2334,4.5890,0.0000,0.0000,0.1998,4,0,4419,13549
27,104.0,96.6991,95.2142,0.0000,0.0000,0.7695,62,0,4414,13549
28,108.0,8.7704,6.4473,0.0000,0.0000,0.2817,4,0,4418,13549
29,112.0,92.9174,91.7003,0.0000,0.0000,0.5200,62,0,4413,13549
30,116.0,8.7882,7.0191,0.0000,0.0000,0.2644,4,0,4417,13549
31,120.0,101.2134,99.5721,0.0000,0.0000,0.7706,62,0,4412,13549
32,124.0,7.5177,5.3811,0.0000,0.0000,0.3418,4,0,4416,13549
33,128.0,97.4528,95.6923,0.0000,0.0000,0.7178,62,0,4411,13549
34,132.0,7.1475,5.4272,0.0000,0.0000,0.2303,4,0,4415,13549
35,136.0,82.7792,81.2335,0.0000,0.0000,0.3119,62,0,4410,13549
36,140.0,5.4037,4.4065,0.0000,0.0000,0.1955,4,0,4414,13549
37,144.0,81.8924,80.4917,0.0000,0.0000,0.3086,62,0,4409,13549
38,148.0,5.8574,4.3939,0.0000,0.0000,0.1931,4,0,4413,13549
39,152.0,81.4712,80.1047,0.0000,0.0000,0.2986,62,0,4408,13549
40,156.0,6.0457,4.5490,0.0000,0.0000,0.1945,4,0,4412,13549
41,160.0,84.0319,82.6499,0.0000,0.0000,0.4153,62,0,4407,13549
42,164.0,6.7173,4.9378,0.0000,0.0000,0.2012,4,0,4411,13549
43,168.0,82.6845,81.3405,0.0000,0.0000,0.2881,62,0,4406,13549
44,172.0,7.4778,6.0472,0.0000,0.0000,0.1894,4,0,4410,13549
45,176.0,83.9952,82.5453,0.0000,0.0000,0.3001,62,0,4405,13549
46,180.0,7.3188,5.8387,0.0000,0.0000,0.1949,4,0,4409,13549
47,184.0,86.7308,85.3644,0.0000,0.0000,0.3780,62,0,4404,13549
48,188.0,6.6237,4.9406,0.0000,0.0000,0.2222,4,0,4408,13549
49,192.0,82.9037,81.5253,0.0000,0.0000,0.3696,62,0,4403,13549
50,196.0,6.1201,4.4962,0.0000,0.0000,0.2036,4,0,4407,13549
51,200.0,80.8755,79.4907,0.0000,0.0000,0.3022,62,0,4402,13549
52,204.0,5.9017,4.4657,0.0000,0.0000,0.1930,4,0,4406,13549
53,208.0,82.9263,81.5565,0.0000,0.0000,0.3012,62,0,4401,13549
54,212.0,5.5412,4.0625,0.0000,0.0000,0.1910,4,0,4405,13549
55,216.0,82.9152,81.5623,0.0000,0.0000,0.2941,62,0,4400,13549
56,220.0,5.8193,4.3264,0.0000,0.0000,0.2125,4,0,4404,13549
57,224.0,82.0259,80.8840,0.0000,0.0000,0.3236,62,0,4399,13549
58,228.0,6.8068,5.1918,0.0000,0.0000,0.2141,4,0,4403,13549
59,232.0,82.0227,80.6371,0.0000,0.0000,0.3223,62,0,4398,13549
60,236.0,7.3832,5.9074,0.0000,0.0000,0.1904,4,0,4402,13549
61,240.0,81.5328,80.1541,0.0000,0.0000,0.3314,62,0,4397,13549
62,244.0,7.0833,5.3946,0.0000,0.0000,0.2344,4,0,4401,13549
63,248.0,84.0801,82.6483,0.0000,0.0000,0.3876,62,0,4396,13549
64,252.0,6.5926,4.8629,0.0000,0.0000,0.1961,4,0,4400,13549
65,256.0,83.4948,82.1093,0.0000,0.0000,0.3030,62,0,4395,13549
66,260.0,7.3395,5.8217,0.0000,0.0000,0.1925,4,0,4399,13549
67,264.0,83.9393,82.5702,0.0000,0.0000,0.2904,62,0,4394,13549
68,268.0,7.2800,6.0579,0.0000,0.0000,0.2154,4,0,4398,13549
69,272.0,82.3279,80.9189,0.0000,0.0000,0.3042,62,0,4393,13549
70,276.0,7.3510,5.8019,0.0000,0.0000,0.2006,4,0,4397,13549
71,280.0,81.6316,80.2163,0.0000,0.0000,0.3230,62,0,4392,13549
72,284.0,7.9877,6.4086,0.0000,0.0000,0.2112,4,0,4396,13549
73,288.0,79.6169,78.2017,0.0000,0.0000,0.2841,62,0,4391,13549
74,292.0,7.3026,5.8044,0.0000,0.0000,0.2006,4,0,4395,13549
75,296.0,81.1572,79.8096,0.0000,0.0000,0.2993,62,0,4390,13549
76,300.0,6.8150,5.3408,0.0000,0.0000,0.1963,4,0,4394,13549
77,304.0,89.1414,87.5387,0.0000,0.0000,0.3580,62,0,4389,13549
78,308.0,5.3340,4.2416,0.0000,0.0000,0.1978,4,0,4393,13549
79,312.0,86.0315,84.6607,0.0000,0.0000,0.2901,62,0,4388,13549
80,316.0,6.0793,4.6091,0.0000,0.0000,0.2028,4,0,4392,13549
81,320.0,87.4792,86.1009,0.0000,0.0000,0.3139,62,0,4387,13549
82,324.0,6.9472,5.4158,0.0000,0.0000,0.2073,4,0,4391,13549
83,328.0,100.0481,98.5837,0.0000,0.0000,0.3861,62,0,4386,13549
84,332.0,7.9114,6.1737,0.0000,0.0000,0.2072,4,0,4390,13549
85,336.0,83.3902,81.9507,0.0000,0.0000,0.3072,62,0,4385,13549
86,340.0,7.2517,5.7273,0.0000,0.0000,0.2026,4,0,4389,13549
87,344.0,82.3348,80.9418,0.0000,0.0000,0.2940,62,0,4384,13549
88,348.0,6.0411,4.5546,0.0000,0.0000,0.1958,4,0,4388,13549
89,352.0,81.9955,80.4862,0.0000,0.0000,0.2843,62,0,4383,13549
90,356.0,6.2933,4.7536,0.0000,0.0000,0.1956,4,0,4387,13549
91,360.0,83.2425,81.8584,0.0000,0.0000,0.3112,62,0,4382,13549
92,364.0,5.9624,4.3922,0.0000,0.0000,0.2088,4,0,4386,13549
93,368.0,88.4077,86.9496,0.0000,0.0000,0.3451,62,0,4381,13549
94,372.0,7.6859,5.9956,0.0000,0.0000,0.2409,4,0,4385,13549
95,376.0,86.8160,84.8769,0.0000,0.0000,0.2939,62,0,4380,13549
96,380.0,7.5615,6.0691,0.0000,0.0000,0.2013,4,0,4384,13549
97,384.0,85.4752,84.0764,0.0000,0.0000,0.3065,62,0,4379,13549
98,388.0,9.8344,8.2896,0.0000,0.0000,0.1968,4,0,4383,13549
99,392.0,83.9157,82.4808,0.0000,0.0000,0.2859,62,0,4378,13549
