frame,distance_m,cpu_ms,live_ms,far_field_ms,lookahead_ms,draw_ms,packages_built,far_tiles_built,resident_packages,resident_cells
1,0.0,1.5015,0.0042,0.0000,0.0000,0.0102,0,0,361,12853
2,4.0,1.5857,0.0036,0.0000,0.0000,0.0064,0,0,361,13363
3,8.0,11.7908,11.0545,0.0000,0.0000,0.0265,10,0,352,13511
4,12.0,11.7621,10.9672,0.0000,0.0000,0.0202,8,0,360,13541
5,16.0,10.8429,10.1214,0.0000,0.0000,0.0243,9,0,350,13547
6,20.0,11.0550,10.3349,0.0000,0.0000,0.0190,8,0,358,13549
7,24.0,10.7791,9.9159,0.0000,0.0000,0.0428,8,0,347,13549
8,28.0,11.6225,10.9040,0.0000,0.0000,0.0195,9,0,356,13549
9,32.0,10.7585,9.9850,0.0000,0.0000,0.0179,3,0,340,13549
10,36.0,11.1110,10.3454,0.0000,0.0000,0.0207,8,0,348,13549
11,40.0,10.9823,10.2560,0.0000,0.0000,0.0269,9,0,338,13549
12,44.0,11.2643,10.5442,0.0000,0.0000,0.0172,7,0,345,13549
13,48.0,11.4381,10.4660,0.0000,0.0000,0.0274,10,0,336,13549
14,52.0,11.0129,10.2390,0.0000,0.0000,0.0203,7,0,343,13549
15,56.0,12.1447,11.3859,0.0000,0.0000,0.0251,10,0,334,13549
16,60.0,10.8543,10.0776,0.0000,0.0000,0.0178,9,0,343,13549
17,64.0,11.6958,10.9486,0.0000,0.0000,0.0237,8,0,332,13549
18,68.0,11.0278,10.2487,0.0000,0.0000,0.0229,9,0,341,13549
19,72.0,12.0158,11.2338,0.0000,0.0000,0.0238,8,0,330,13549
20,76.0,11.2651,10.4684,0.0000,0.0000,0.0296,9,0,339,13549
21,80.0,11.6741,10.8901,0.0000,0.0000,0.0255,4,0,324,13549
22,84.0,11.5592,10.7329,0.0000,0.0000,0.0245,7,0,331,13549
23,88.0,11.1664,10.3276,0.0000,0.0000,0.0296,8,0,320,13549
24,92.0,11.6974,10.8792,0.0000,0.0000,0.0243,9,0,329,13549
25,96.0,11.1743,10.3315,0.0000,0.0000,0.0254,7,0,317,13549
26,100.0,11.8673,11.0571,0.0000,0.0000,0.0453,10,0,327,13549
27,104.0,11.9946,11.1766,0.0000,0.0000,0.0283,7,0,315,13549
28,108.0,11.6793,10.8496,0.0000,0.0000,0.0251,10,0,325,13549
29,112.0,11.3329,10.4562,0.0000,0.0000,0.0350,7,0,313,13549
30,116.0,10.9241,10.0947,0.0000,0.0000,0.0298,8,0,321,13549
31,120.0,12.1926,11.3507,0.0000,0.0000,0.0318,8,0,310,13549
32,124.0,11.3684,10.4935,0.0000,0.0000,0.0449,8,0,318,13549
33,128.0,11.7517,10.9079,0.0000,0.0000,0.0285,10,0,309,13549
34,132.0,11.5163,10.6833,0.0000,0.0000,0.0249,8,0,317,13549
35,136.0,10.8650,10.0406,0.0000,0.0000,0.0278,11,0,309,13549
36,140.0,11.8132,11.0225,0.0000,0.0000,0.0203,6,0,315,13549
37,144.0,10.9919,10.1690,0.0000,0.0000,0.0297,10,0,306,13549
38,148.0,10.7537,9.8859,0.0000,0.0000,0.0239,7,0,313,13549
39,152.0,11.4199,10.5673,0.0000,0.0000,0.0298,9,0,303,13549
40,156.0,11.1609,10.3366,0.0000,0.0000,0.0286,9,0,312,13549
41,160.0,11.1066,10.2700,0.0000,0.0000,0.0362,9,0,302,13549
42,164.0,11.2320,10.4111,0.0000,0.0000,0.0260,8,0,310,13549
43,168.0,11.7976,10.8922,0.0000,0.0000,0.0284,9,0,301,13549
44,172.0,11.4042,10.5744,0.0000,0.0000,0.0265,8,0,309,13549
45,176.0,11.4540,10.4998,0.0000,0.0000,0.0330,9,0,300,13549
46,180.0,11.8364,11.0246,0.0000,0.0000,0.0250,7,0,307,13549
47,184.0,11.6533,10.8347,0.0000,0.0000,0.0288,10,0,299,13549
48,188.0,11.0887,10.2614,0.0000,0.0000,0.0223,6,0,305,13549
49,192.0,11.1458,10.1796,0.0000,0.0000,0.0299,9,0,296,13549
50,196.0,12.2731,11.2774,0.0000,0.0000,0.0271,7,0,303,13549
51,200.0,11.7011,10.8142,0.0000,0.0000,0.0284,9,0,294,13549
52,204.0,11.4515,10.6342,0.0000,0.0000,0.0262,8,0,302,13549
53,208.0,11.0563,10.2205,0.0000,0.0000,0.0403,7,0,292,13549
54,212.0,12.1071,11.2997,0.0000,0.0000,0.0295,8,0,300,13549
55,216.0,11.5902,10.7442,0.0000,0.0000,0.0280,8,0,291,13549
56,220.0,11.0768,10.2714,0.0000,0.0000,0.0276,9,0,300,13549
57,224.0,11.3062,10.4778,0.0000,0.0000,0.0340,8,0,291,13549
58,228.0,21.6309,20.7661,0.0000,0.0000,0.0264,8,0,299,13549
59,232.0,10.8005,9.9688,0.0000,0.0000,0.0291,9,0,291,13549
60,236.0,11.2740,10.5290,0.0000,0.0000,0.0363,8,0,299,13549
61,240.0,11.1399,10.3698,0.0000,0.0000,0.0262,9,0,291,13549
62,244.0,11.0954,10.3513,0.0000,0.0000,0.0212,7,0,298,13549
63,248.0,11.7983,10.9147,0.0000,0.0000,0.0297,5,0,286,13549
64,252.0,10.8595,10.0027,0.0000,0.0000,0.0248,7,0,293,13549
65,256.0,10.9526,10.1781,0.0000,0.0000,0.0275,9,0,285,13549
66,260.0,12.5485,11.8043,0.0000,0.0000,0.0214,9,0,294,13549
67,264.0,10.8928,10.1046,0.0000,0.0000,0.0282,9,0,286,13549
68,268.0,10.9911,10.1830,0.0000,0.0000,0.0238,8,0,294,13549
69,272.0,10.7194,9.8871,0.0000,0.0000,0.0258,9,0,286,13549
70,276.0,11.3203,10.5506,0.0000,0.0000,0.0269,8,0,294,13549
71,280.0,10.9751,10.1654,0.0000,0.0000,0.0311,9,0,286,13549
72,284.0,11.1717,10.2214,0.0000,0.0000,0.0254,10,0,296,13549
73,288.0,11.6462,10.8555,0.0000,0.0000,0.0270,10,0,289,13549
74,292.0,12.0054,11.2384,0.0000,0.0000,0.0269,10,0,299,13549
75,296.0,11.0857,10.2918,0.0000,0.0000,0.0294,9,0,291,13549
76,300.0,11.6303,10.6954,0.0000,0.0000,0.0238,8,0,299,13549
77,304.0,11.3024,10.5285,0.0000,0.0000,0.0250,8,0,290,13549
78,308.0,12.1723,11.3822,0.0000,0.0000,0.0234,8,0,298,13549
79,312.0,11.5378,10.7608,0.0000,0.0000,0.0234,7,0,288,13549
80,316.0,10.7668,9.9878,0.0000,0.0000,0.0311,8,0,296,13549
81,320.0,11.2986,10.4909,0.0000,0.0000,0.0271,6,0,285,13549
82,324.0,10.9074,10.1141,0.0000,0.0000,0.0262,9,0,294,13549
83,328.0,24.8781,24.0430,0.0000,0.0000,0.0385,6,0,283,13549
84,332.0,11.1353,10.0631,0.0000,0.0000,0.0280,7,0,290,13549
85,336.0,10.9243,9.9850,0.0000,0.0000,0.0327,7,0,280,13549
86,340.0,11.8473,11.0398,0.0000,0.0000,0.0267,9,0,289,13549
87,344.0,11.0280,10.2116,0.0000,0.0000,0.0296,9,0,281,13549
88,348.0,10.7832,10.0017,0.0000,0.0000,0.0284,9,0,290,13549
89,352.0,11.4886,10.6638,0.0000,0.0000,0.0444,10,0,283,13549
90,356.0,11.3141,10.4826,0.0000,0.0000,0.0241,9,0,292,13549
91,360.0,10.9190,10.1005,0.0000,0.0000,0.0298,8,0,283,13549
92,364.0,12.2442,11.4314,0.0000,0.0000,0.0304,8,0,291,13549
93,368.0,11.4182,10.6217,0.0000,0.0000,0.0265,8,0,282,13549
94,372.0,11.4432,10.5783,0.0000,0.0000,0.0248,8,0,290,13549
95,376.0,11.0143,10.2078,0.0000,0.0000,0.0278,7,0,280,13549
96,380.0,10.8544,10.0606,0.0000,0.0000,0.0254,8,0,288,13549
97,384.0,11.7344,10.9204,0.0000,0.0000,0.0288,8,0,279,13549
98,388.0,11.3577,10.4981,0.0000,0.0000,0.0271,9,0,288,13549
99,392.0,12.0741,11.2645,0.0000,0.0000,0.0290,8,0,279,13549
100,396.0,11.5393,10.7515,0.0000,0.0000,0.0294,8,0,287,13549
101,400.0,11.1390,10.2857,0.0000,0.0000,0.0310,9,0,279,13549
102,404.0,11.4619,10.6382,0.0000,0.0000,0.0287,9,0,288,13549
103,408.0,11.7115,10.5028,0.0000,0.0000,0.0361,10,0,281,13549
104,412.0,12.0512,11.0952,0.0000,0.0000,0.0295,7,0,288,13549
105,416.0,10.7984,9.8882,0.0000,0.0000,0.0308,9,0,280,13549
106,420.0,11.6951,10.8881,0.0000,0.0000,0.0259,8,0,288,13549
107,424.0,11.1053,10.2934,0.0000,0.0000,0.0293,8,0,279,13549
108,428.0,11.5066,10.7069,0.0000,0.0000,0.0284,8,0,287,13549
109,432.0,11.5319,10.6954,0.0000,0.0000,0.0276,7,0,277,13549
110,436.0,11.0546,10.1639,0.0000,0.0000,0.0241,7,0,284,13549
111,440.0,11.4815,10.6388,0.0000,0.0000,0.0333,4,0,271,13549
112,444.0,11.3233,8.6822,0.0000,0.0000,0.0277,6,0,277,13549
113,448.0,10.8557,9.1200,0.0000,0.0000,0.0319,6,0,266,13549
114,452.0,11.4653,8.1946,0.0000,0.0000,0.0333,8,0,274,13549
115,456.0,12.0737,10.2423,0.0000,0.0000,0.0309,9,0,266,13549
116,460.0,11.6457,8.8251,0.0000,0.0000,0.0238,8,0,274,13549
117,464.0,10.8733,8.8492,0.0000,0.0000,0.0323,7,0,264,13549
118,468.0,11.8638,8.3552,0.0000,0.0000,0.0296,9,0,273,13549
119,472.0,10.7137,7.9549,0.0000,0.0000,0.0314,8,0,264,13549
