frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells
1,0.0,walk,0.3402,0.0000,0.0000,0.0000,0.0000,0.0001,0.0335,0.0192,361,12853
2,1.0,walk,17.6157,0.0000,0.6421,0.1927,0.0000,0.0000,16.7572,0.0210,361,12982
3,2.0,walk,21.1836,0.0000,0.2842,0.2131,0.0000,0.0000,20.6611,0.0229,361,13111
4,3.0,walk,18.5995,0.0000,0.2369,0.2281,0.0000,0.0001,18.1085,0.0236,361,13240
5,4.0,walk,20.1636,0.0000,0.2365,0.2842,0.0000,0.0000,19.6179,0.0226,361,13369
6,5.0,walk,20.2372,0.0000,0.2431,0.2346,0.0000,0.0001,19.7375,0.0200,361,13441
7,6.0,walk,20.6808,0.0000,0.2597,0.2390,0.0000,0.0000,20.1571,0.0224,361,13479
8,7.0,walk,22.8074,0.0000,0.2360,0.2522,0.0000,0.0001,22.2972,0.0199,361,13505
9,8.0,walk,39.9355,0.0000,0.2336,0.2407,1.1440,0.0000,38.2897,0.0246,346,13523
10,9.0,walk,25.2107,0.0000,0.2754,0.2370,0.6964,0.0001,23.9795,0.0199,350,13535
11,10.0,walk,21.8658,0.0000,0.2314,0.2083,0.7392,0.0001,20.6508,0.0249,354,13545
12,11.0,walk,14.2432,0.0000,0.2469,0.1918,0.8303,0.0001,12.9420,0.0224,358,13553
13,12.0,walk,13.2143,0.0000,0.3427,0.1590,0.6241,0.0002,12.0645,0.0217,361,13559
14,13.0,walk,15.3395,0.0000,0.2643,0.2418,0.0000,0.0001,14.8084,0.0226,361,13563
15,14.0,walk,16.7411,0.0000,0.2629,0.2955,0.0000,0.0004,16.1585,0.0218,361,13567
16,15.0,walk,17.3445,0.0000,0.2734,0.2874,0.0000,0.0007,16.7581,0.0232,361,13569
17,16.0,walk,11.6007,0.0000,0.3170,0.2641,0.8822,0.0004,10.1138,0.0213,346,13571
18,17.0,walk,41.6568,0.0000,0.3273,0.2444,1.1059,0.0007,39.9487,0.0282,350,13573
19,18.0,walk,24.4210,0.0000,0.6476,0.2332,0.8739,0.0004,22.6379,0.0246,354,13575
20,19.0,walk,15.5618,0.0000,0.4561,0.2274,0.8868,0.0000,13.9617,0.0264,358,13577
21,20.0,walk,10.9248,0.0000,0.3661,0.2464,0.6481,0.0001,9.6356,0.0254,361,13579
22,21.0,walk,9.7072,0.0000,0.3710,0.2366,0.0000,0.0002,9.0689,0.0275,361,13581
23,22.0,walk,9.4802,0.0000,0.2985,0.2336,0.0000,0.0003,8.9218,0.0236,361,13583
24,23.0,walk,9.0892,0.0000,0.2927,0.2437,0.0000,0.0003,8.5254,0.0249,361,13583
25,24.0,walk,12.0966,0.0000,0.2740,0.2035,0.9663,0.0003,10.6243,0.0256,346,13583
26,25.0,walk,38.7983,0.0000,0.3803,0.2361,1.0893,0.0009,37.0615,0.0276,350,13583
27,26.0,walk,23.3319,0.0000,0.6303,0.2207,0.7869,0.0003,21.6575,0.0235,354,13583
28,27.0,walk,13.4501,0.0000,0.3927,0.2192,0.7859,0.0001,12.0249,0.0243,358,13583
29,28.0,walk,9.2337,0.0000,0.2942,0.2005,0.5897,0.0001,8.1253,0.0211,361,13583
30,29.0,walk,8.5859,0.0000,0.2613,0.2053,0.0000,0.0001,8.0936,0.0230,361,13583
31,30.0,walk,8.3896,0.0000,0.2964,0.2445,0.0000,0.0004,7.8221,0.0238,361,13583
32,31.0,walk,8.4800,0.0000,0.2821,0.2360,0.0000,0.0004,7.9363,0.0232,361,13583
33,32.0,walk,10.6316,0.0000,0.2929,0.2357,0.9004,0.0003,9.1792,0.0209,346,13583
34,33.0,walk,33.8775,0.0000,0.2913,0.1666,0.8277,0.0003,32.5618,0.0272,350,13583
35,34.0,walk,31.0482,0.0000,0.4427,0.1665,0.8672,0.0005,29.5423,0.0255,354,13583
36,35.0,walk,14.0549,0.0000,0.6218,0.1983,0.8163,0.0001,12.3927,0.0220,358,13583
37,36.0,walk,9.2165,0.0000,0.3437,0.2165,0.6433,0.0004,7.9881,0.0221,361,13583
38,37.0,walk,8.2038,0.0000,0.2948,0.2194,0.0000,0.0001,7.6700,0.0169,361,13583
39,38.0,walk,8.2307,0.0000,0.3016,0.2358,0.0000,0.0003,7.6692,0.0219,361,13583
40,39.0,walk,8.2475,0.0000,0.2961,0.2378,0.0000,0.0003,7.6882,0.0233,361,13583
41,40.0,walk,40.3519,0.0000,0.2860,0.2352,0.9224,0.0003,38.8786,0.0272,346,13583
42,41.0,walk,30.0127,0.0000,0.4128,0.2464,0.7825,0.0002,28.5368,0.0222,350,13583
43,42.0,walk,23.3553,0.0000,0.3817,0.2094,0.7747,0.0003,21.9660,0.0213,354,13583
44,43.0,walk,13.8440,0.0000,0.3399,0.2097,1.1555,0.0001,12.1144,0.0220,358,13583
45,44.0,walk,9.3210,0.0000,0.3282,0.2372,0.5680,0.0001,8.1646,0.0206,361,13583
46,45.0,walk,8.9700,0.0000,0.2584,0.2067,0.0000,0.0001,8.4794,0.0232,361,13583
47,46.0,walk,8.5256,0.0000,0.2857,0.2350,0.0000,0.0001,7.9804,0.0217,361,13583
48,47.0,walk,8.9587,0.0000,0.2831,0.2370,0.0000,0.0003,8.4136,0.0225,361,13583
49,48.0,walk,10.8254,0.0000,0.2834,0.2388,0.8447,0.0002,9.4357,0.0204,346,13583
50,49.0,walk,29.0584,0.0000,0.2932,0.2256,0.8152,0.0004,27.6997,0.0222,350,13583
51,50.0,walk,26.4117,0.0000,0.4452,0.1839,0.9054,0.0008,24.8494,0.0247,354,13583
52,51.0,walk,17.3761,0.0000,0.5561,0.1962,1.0598,0.0006,15.5348,0.0257,358,13583
53,52.0,walk,10.7997,0.0000,0.5380,0.2182,0.6358,0.0001,9.3862,0.0185,361,13583
54,53.0,walk,8.9233,0.0000,0.2689,0.2160,0.0000,0.0001,8.4142,0.0221,361,13583
55,54.0,walk,8.6678,0.0000,0.2849,0.2442,0.0000,0.0005,8.1215,0.0149,361,13583
56,55.0,walk,8.8435,0.0000,0.2716,0.2258,0.0000,0.0003,8.3213,0.0232,361,13583
57,56.0,walk,10.7258,0.0000,0.2947,0.2465,0.9743,0.0003,9.1872,0.0209,346,13583
58,57.0,walk,28.0868,0.0000,0.2812,0.2310,0.8405,0.0003,26.6826,0.0401,350,13583
59,58.0,walk,23.4001,0.0000,0.3197,0.2376,0.8552,0.0003,21.9635,0.0214,354,13583
60,59.0,walk,14.2081,0.0000,0.3477,0.2077,0.8670,0.0001,12.7627,0.0203,358,13583
61,60.0,walk,10.1573,0.0000,0.3247,0.2005,0.6429,0.0001,8.9660,0.0208,361,13583
62,61.0,walk,10.3129,0.0000,0.3168,0.2229,0.0000,0.0002,9.7470,0.0235,361,13583
63,62.0,walk,10.0511,0.0000,0.3877,0.2474,0.0000,0.0000,9.3908,0.0223,361,13583
64,63.0,walk,9.9701,0.0000,0.3631,0.2514,0.0000,0.0006,9.3304,0.0222,361,13583
65,64.0,walk,12.3388,0.0000,0.4106,0.2298,0.9977,0.0004,10.6752,0.0226,346,13583
66,66.0,sprint,41.2827,0.0000,0.5611,0.4283,1.0434,0.0006,39.2190,0.0274,350,13581
67,68.0,sprint,28.8408,0.0000,0.7635,0.3718,0.9328,0.0005,26.7439,0.0245,354,13579
