frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
1,0.0,walk,0.6768,0.0001,0.0000,0.0000,0.0000,0.0001,0.0297,0.3674,361,12853,0.0000,0.0000,0,0
2,1.0,walk,12.8423,0.0000,0.9414,0.3133,0.0000,0.0000,11.5534,0.0301,361,12982,0.0000,11.5117,0,0
3,2.0,walk,12.8215,0.0000,0.6770,0.2983,0.0000,0.0000,11.8133,0.0294,361,13111,0.0000,11.7681,0,0
4,3.0,walk,13.7197,0.0000,0.6256,0.3050,0.0000,0.0000,12.7566,0.0284,361,13240,0.0000,12.7133,0,0
5,4.0,walk,13.2778,0.0000,0.5802,0.3875,0.0000,0.0000,12.2729,0.0330,361,13369,0.0000,12.2002,0,0
6,5.0,walk,12.7857,0.0000,0.8317,0.2989,0.0000,0.0000,11.6001,0.0501,361,13441,0.0000,11.5310,0,0
7,6.0,walk,12.9164,0.0000,0.6232,0.3400,0.0000,0.0001,11.9247,0.0239,361,13479,0.0000,11.8679,0,0
8,7.0,walk,12.8361,0.0000,0.5511,0.2817,0.0000,0.0000,11.9737,0.0254,361,13505,0.0000,11.9212,0,0
9,8.0,walk,82.6717,0.0000,0.5278,0.2716,0.0000,0.0001,81.8342,0.0341,342,13523,79.0806,0.0000,118,0
10,9.0,walk,13.3910,0.0000,1.0775,0.3043,0.0000,0.0001,11.9772,0.0269,342,13535,0.0000,5.1252,0,0
11,10.0,walk,12.7799,0.0000,0.5938,0.2894,0.0000,0.0001,11.8568,0.0253,342,13545,0.0000,11.8151,0,0
12,11.0,walk,12.9015,0.0000,0.4892,0.2832,0.0000,0.0001,12.1012,0.0233,342,13553,0.0000,12.0666,0,0
13,12.0,walk,12.8733,0.0000,0.3715,0.2881,0.0000,0.0000,12.1850,0.0247,342,13559,0.0000,12.1504,0,0
14,13.0,walk,12.8988,0.0000,0.3514,0.2901,0.0000,0.0001,12.2235,0.0298,342,13563,0.0000,12.1820,0,0
