frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
1,0.0,walk,0.3312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,0.0162,361,12853,0.0000,0.0000,0,0
2,1.0,walk,12.7616,0.0000,0.6469,0.1900,0.0000,0.0001,11.9015,0.0208,361,12982,0.0000,11.8797,0,0
3,2.0,walk,13.7760,0.0000,0.2008,0.1885,0.0000,0.0001,13.3615,0.0230,361,13111,0.0000,13.3389,0,0
4,3.0,walk,12.9771,0.0000,0.1814,0.1942,0.0000,0.0000,12.5881,0.0112,361,13240,0.0000,12.5673,0,0
5,4.0,walk,12.7196,0.0000,0.1761,0.2298,0.0000,0.0000,12.2912,0.0216,361,13369,0.0000,12.2690,0,0
6,5.0,walk,12.9932,0.0000,0.1864,0.1768,0.0000,0.0001,12.6070,0.0208,361,13441,0.0000,12.5837,0,0
7,6.0,walk,12.9749,0.0000,0.1843,0.1853,0.0000,0.0001,12.5832,0.0200,361,13479,0.0000,12.5594,0,0
8,7.0,walk,12.7282,0.0000,0.2081,0.1888,0.0000,0.0000,12.3077,0.0212,361,13505,0.0000,12.2840,0,0
9,8.0,walk,59.5709,0.0000,0.1995,0.1813,0.0000,0.0001,59.1670,0.0205,342,13523,58.2826,0.0000,118,0
10,9.0,walk,12.8069,0.0000,0.2488,0.1910,0.0000,0.0001,12.3418,0.0220,342,13535,0.0000,7.9990,0,0
11,10.0,walk,12.8403,0.0000,0.2450,0.1813,0.0000,0.0000,12.3910,0.0201,342,13545,0.0000,12.3662,0,0
12,11.0,walk,12.7512,0.0000,0.2159,0.1913,0.0000,0.0000,12.3209,0.0205,342,13553,0.0000,12.2965,0,0
13,12.0,walk,13.1277,0.0000,0.2070,0.1798,0.0000,0.0000,12.7154,0.0230,342,13559,0.0000,12.6880,0,0
14,13.0,walk,12.9324,0.0000,0.2148,0.1836,0.0000,0.0001,12.5118,0.0197,342,13563,0.0000,12.4875,0,0
15,14.0,walk,13.0628,0.0000,0.2185,0.1830,0.0000,0.0000,12.6380,0.0209,342,13567,0.0000,12.6116,0,0
16,15.0,walk,12.9465,0.0000,0.2170,0.1852,0.0000,0.0001,12.5136,0.0196,342,13569,0.0000,12.4896,0,0
17,16.0,walk,19.5068,0.0000,0.2263,0.2241,0.3345,0.0004,18.6923,0.0208,324,13571,18.0052,0.0000,99,1
18,17.0,walk,13.1360,0.0000,0.2638,0.2283,0.3249,0.0002,12.2775,0.0386,325,13573,0.0000,8.0024,0,1
19,18.0,walk,13.0382,0.0000,0.3422,0.2637,0.2659,0.0002,12.1434,0.0202,326,13575,0.0000,12.1126,0,1
20,19.0,walk,13.1552,0.0000,0.2169,0.1839,0.3178,0.0003,12.3957,0.0383,327,13577,0.0000,12.3552,0,1
21,20.0,walk,13.2846,0.0000,0.2609,0.1881,0.3240,0.0003,12.4701,0.0384,328,13579,0.0000,12.4285,0,1
22,21.0,walk,13.2108,0.0000,0.3484,0.3377,0.2619,0.0001,12.2384,0.0202,329,13581,0.0000,12.2069,0,1
23,22.0,walk,13.0940,0.0000,0.2262,0.1862,0.2758,0.0001,12.3828,0.0206,330,13583,0.0000,12.3392,0,1
24,23.0,walk,11.1643,0.0000,0.2176,0.1856,0.3315,0.0001,10.3879,0.0390,331,13583,0.0000,10.3482,0,1
25,24.0,walk,14.9533,0.0000,0.3076,0.2597,0.4794,0.0000,13.8808,0.0230,313,13583,13.1501,0.0000,95,1
26,25.0,walk,13.0448,0.0000,0.2772,0.2030,0.2659,0.0002,12.2745,0.0215,314,13583,0.0000,7.7995,0,1
27,26.0,walk,13.0801,0.0000,0.2631,0.1834,0.2652,0.0003,12.3460,0.0200,315,13583,0.0000,12.3146,0,1
28,27.0,walk,13.3423,0.0000,0.2379,0.1809,0.2683,0.0003,12.6322,0.0204,316,13583,0.0000,12.5984,0,1
29,28.0,walk,13.1007,0.0000,0.2596,0.1947,0.3018,0.0004,12.3217,0.0202,317,13583,0.0000,12.2897,0,1
30,29.0,walk,12.0183,0.0000,0.2339,0.1860,0.3362,0.0003,11.2214,0.0382,318,13583,0.0000,11.1803,0,1
31,30.0,walk,11.3419,0.0000,0.3873,0.3415,0.2644,0.0000,10.3240,0.0203,319,13583,0.0000,10.2899,0,1
32,31.0,walk,11.9646,0.0000,0.2468,0.1845,0.3200,0.0000,11.1728,0.0378,320,13583,0.0000,11.1319,0,1
33,32.0,walk,10.7110,0.0000,0.3269,0.3394,1.5267,0.0002,8.4946,0.0203,310,13583,7.9501,0.0000,93,9
34,33.0,walk,13.0257,0.0000,0.2417,0.1693,0.2670,0.0002,12.3230,0.0219,311,13583,0.0000,7.8897,0,1
35,34.0,walk,13.1030,0.0000,0.3168,0.2364,0.3330,0.0002,12.1825,0.0213,312,13583,0.0000,12.1480,0,1
36,35.0,walk,14.6690,0.0000,0.2803,0.1916,0.2721,0.0002,13.8926,0.0204,313,13583,0.0000,13.8604,0,1
37,36.0,walk,13.1112,0.0000,0.2411,0.1829,0.2730,0.0003,12.3916,0.0207,314,13583,0.0000,12.3578,0,1
38,37.0,walk,12.9556,0.0000,0.2585,0.1900,0.3340,0.0000,12.1327,0.0379,315,13583,0.0000,12.0892,0,1
39,38.0,walk,10.7093,0.0000,0.2581,0.1873,0.7319,0.0001,9.5085,0.0207,319,13583,0.0000,9.4708,0,4
40,39.0,walk,18.1103,0.0000,0.2365,0.1875,0.2615,0.0000,17.4014,0.0209,320,13583,0.0000,17.3597,0,1
41,40.0,walk,54.7203,0.0000,0.3137,0.1884,0.4764,0.0003,53.7184,0.0205,302,13583,52.9362,0.0000,118,1
42,41.0,walk,13.0384,0.0000,0.2833,0.1836,0.2711,0.0002,12.2770,0.0206,303,13583,0.0000,8.4303,0,1
43,42.0,walk,13.1057,0.0000,0.2827,0.1886,0.3481,0.0004,12.2444,0.0390,304,13583,0.0000,12.1981,0,1
44,43.0,walk,13.4388,0.0000,0.3323,0.3294,0.3491,0.0004,12.3877,0.0373,305,13583,0.0000,12.3341,0,1
45,44.0,walk,12.9843,0.0000,0.2235,0.1878,0.2603,0.0003,12.2902,0.0197,306,13583,0.0000,12.2568,0,1
46,45.0,walk,10.7523,0.0000,0.2241,0.1773,0.9354,0.0000,9.3929,0.0202,312,13583,0.0000,9.3541,0,6
47,46.0,walk,10.7824,0.0000,0.2473,0.1746,1.4956,0.0000,8.8423,0.0202,322,13583,0.0000,8.8017,0,10
48,47.0,walk,11.2563,0.0000,0.2354,0.1776,0.3187,0.0001,10.5031,0.0189,323,13583,0.0000,10.4726,0,1
49,48.0,walk,10.8289,0.0000,0.2413,0.1703,2.7785,0.0000,7.6160,0.0204,322,13583,7.1052,0.0000,99,18
50,49.0,walk,13.3073,0.0000,0.2517,0.1800,0.3417,0.0006,12.5075,0.0241,323,13583,0.0000,8.4511,0,1
51,50.0,walk,13.2566,0.0000,0.2868,0.1730,0.2651,0.0003,12.5093,0.0200,324,13583,0.0000,12.4765,0,1
52,51.0,walk,13.4875,0.0000,0.2332,0.1801,0.3217,0.0003,12.7031,0.0376,325,13583,0.0000,12.6612,0,1
53,52.0,walk,13.1056,0.0000,0.3183,0.3126,0.3257,0.0003,12.1081,0.0380,326,13583,0.0000,12.0652,0,1
