frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
1,0.0,walk,0.2841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0254,0.0167,361,12853,0.0000,0.0000,0,0
2,1.0,walk,58.6986,0.0000,0.6773,0.1859,0.0000,0.0000,57.8109,0.0220,342,12982,57.0241,0.0000,93,0
3,2.0,walk,12.9062,0.0000,0.4727,0.1877,0.0000,0.0002,12.2220,0.0210,342,13111,0.0000,7.7892,0,0
4,3.0,walk,12.8042,0.0000,0.2154,0.1758,0.0000,0.0000,12.3911,0.0192,342,13240,0.0000,12.3666,0,0
5,4.0,walk,12.7031,0.0000,0.2058,0.2039,0.0000,0.0001,12.2789,0.0122,342,13369,0.0000,12.2553,0,0
6,5.0,walk,12.7498,0.0000,0.1760,0.1745,0.0000,0.0001,12.3782,0.0200,342,13441,0.0000,12.3551,0,0
7,6.0,walk,12.9245,0.0000,0.1933,0.1754,0.0000,0.0001,12.5324,0.0211,342,13479,0.0000,12.5079,0,0
8,7.0,walk,12.7609,0.0000,0.1837,0.1752,0.0000,0.0001,12.3797,0.0201,342,13505,0.0000,12.3544,0,0
9,8.0,walk,12.9020,0.0000,0.1925,0.1758,0.0000,0.0001,12.5102,0.0205,342,13523,0.0000,12.4852,0,0
10,9.0,walk,14.8164,0.0000,0.1939,0.1818,0.3492,0.0005,14.0686,0.0204,324,13535,13.3024,0.0000,99,1
11,10.0,walk,13.1230,0.0000,0.1997,0.2242,0.3118,0.0002,12.3457,0.0389,325,13545,0.0000,8.4485,0,1
12,11.0,walk,12.9573,0.0000,0.2923,0.3324,0.2427,0.0002,12.0670,0.0198,326,13553,0.0000,12.0383,0,1
13,12.0,walk,13.1870,0.0000,0.1840,0.1734,0.2526,0.0002,12.5507,0.0239,327,13559,0.0000,12.5157,0,1
14,13.0,walk,13.4124,0.0000,0.2093,0.2019,0.3136,0.0002,12.6662,0.0184,328,13563,0.0000,12.6263,0,1
15,14.0,walk,13.0013,0.0000,0.1858,0.1781,0.2502,0.0001,12.3650,0.0199,329,13567,0.0000,12.3349,0,1
16,15.0,walk,13.3426,0.0000,0.1895,0.1710,0.2501,0.0001,12.7102,0.0197,330,13569,0.0000,12.6797,0,1
17,16.0,walk,13.2666,0.0000,0.1918,0.1803,0.3251,0.0001,12.5200,0.0383,331,13571,0.0000,12.4821,0,1
18,17.0,walk,23.4931,0.0000,0.2326,0.3581,0.3484,0.0005,22.5308,0.0204,313,13573,21.6902,0.0000,95,1
19,18.0,walk,13.3950,0.0000,0.2358,0.1745,0.2659,0.0003,12.6960,0.0201,314,13575,0.0000,8.1290,0,1
20,19.0,walk,11.4714,0.0000,0.2244,0.1756,0.2613,0.0003,10.7879,0.0200,315,13577,0.0000,10.7564,0,1
21,20.0,walk,13.1334,0.0000,0.1973,0.1844,0.2543,0.0001,12.4837,0.0114,316,13579,0.0000,12.4545,0,1
22,21.0,walk,13.3251,0.0000,0.1890,0.1791,0.2605,0.0004,12.6755,0.0200,317,13581,0.0000,12.6478,0,1
23,22.0,walk,13.0235,0.0000,0.2010,0.1805,0.2595,0.0002,12.3600,0.0203,318,13583,0.0000,12.3303,0,1
24,23.0,walk,10.9108,0.0000,0.1963,0.1745,0.2527,0.0002,10.2656,0.0197,319,13583,0.0000,10.2354,0,1
25,24.0,walk,11.2561,0.0000,0.1932,0.1798,0.2508,0.0001,10.6102,0.0199,320,13583,0.0000,10.5800,0,1
26,25.0,walk,55.7753,0.0000,0.2002,0.1756,0.4021,0.0003,54.9729,0.0220,302,13583,53.9774,0.0000,118,1
27,26.0,walk,13.5714,0.0000,0.3733,0.1836,0.3890,0.0002,12.5814,0.0411,303,13583,0.0000,7.7276,0,1
28,27.0,walk,13.1428,0.0000,0.3295,0.3181,0.2645,0.0002,12.2073,0.0204,304,13583,0.0000,12.1757,0,1
29,28.0,walk,13.1187,0.0000,0.2007,0.1800,0.2583,0.0003,12.4577,0.0197,305,13583,0.0000,12.4275,0,1
30,29.0,walk,12.9848,0.0000,0.1949,0.1822,0.2605,0.0001,12.3245,0.0206,306,13583,0.0000,12.2924,0,1
31,30.0,walk,10.7077,0.0000,0.2151,0.1784,2.3753,0.0001,7.9167,0.0201,321,13583,0.0000,7.8717,0,15
32,31.0,walk,10.8032,0.0000,0.2044,0.1566,0.6721,0.0001,9.7476,0.0201,325,13583,0.0000,9.7123,0,4
33,32.0,walk,18.5638,0.0000,0.2009,0.1710,0.2444,0.0000,17.9165,0.0201,326,13583,0.0000,17.8826,0,1
34,33.0,walk,10.8039,0.0000,0.2460,0.1767,2.8558,0.0002,7.4947,0.0202,327,13583,6.9991,0.0000,93,20
35,34.0,walk,13.2492,0.0000,0.2256,0.1809,0.2574,0.0004,12.5634,0.0195,328,13583,0.0000,9.6238,0,1
36,35.0,walk,13.0903,0.0000,0.2324,0.1795,0.2844,0.0003,12.3714,0.0202,329,13583,0.0000,12.3391,0,1
37,36.0,walk,13.0443,0.0000,0.2089,0.1816,0.2638,0.0003,12.3671,0.0205,330,13583,0.0000,12.3335,0,1
38,37.0,walk,10.7667,0.0000,0.1988,0.1851,0.8196,0.0003,9.5410,0.0198,335,13583,0.0000,9.5054,0,5
39,38.0,walk,10.8039,0.0000,0.2126,0.1864,1.6117,0.0001,8.7713,0.0196,345,13583,0.0000,8.7346,0,10
40,39.0,walk,10.7905,0.0000,0.2080,0.1791,0.9352,0.0001,9.4262,0.0393,349,13583,0.0000,9.3819,0,4
41,40.0,walk,10.7194,0.0000,0.2391,0.3386,1.1176,0.0001,9.0006,0.0203,356,13583,0.0000,8.9660,0,7
42,41.0,walk,10.7393,0.0000,0.2044,0.1865,2.9405,0.0001,7.3857,0.0198,357,13583,6.9030,0.0000,99,20
43,42.0,walk,12.9776,0.0000,0.2435,0.1892,0.0000,0.0003,12.5204,0.0221,357,13583,0.0000,8.5103,0,0
44,43.0,walk,12.9288,0.0000,0.2290,0.1885,0.0000,0.0003,12.4874,0.0213,357,13583,0.0000,12.4630,0,0
45,44.0,walk,12.7649,0.0000,0.2123,0.1796,0.0000,0.0003,12.3493,0.0212,357,13583,0.0000,12.3259,0,0
46,45.0,walk,11.6216,0.0000,0.2031,0.1946,0.0000,0.0003,11.1999,0.0213,357,13583,0.0000,11.1753,0,0
47,46.0,walk,10.5712,0.0000,0.2204,0.1861,0.6579,0.0002,9.4843,0.0201,361,13583,0.0000,9.4521,0,4
48,47.0,walk,9.3110,0.0000,0.2103,0.1858,0.0000,0.0001,8.8904,0.0219,361,13583,0.0000,8.8653,0,0
49,48.0,walk,11.1473,0.0000,0.2009,0.1872,0.0000,0.0001,10.7360,0.0208,361,13583,0.0000,10.7113,0,0
50,49.0,walk,10.7634,0.0000,0.2306,0.1916,2.7959,0.0001,7.5228,0.0202,361,13583,7.0233,0.0000,95,19
51,50.0,walk,12.8257,0.0000,0.2236,0.2016,0.0000,0.0004,12.3762,0.0220,361,13583,0.0000,8.2833,0,0
52,51.0,walk,12.9479,0.0000,0.2337,0.1897,0.0000,0.0004,12.5012,0.0212,361,13583,0.0000,12.4775,0,0
53,52.0,walk,12.7719,0.0000,0.2161,0.1820,0.0000,0.0004,12.3416,0.0212,361,13583,0.0000,12.3188,0,0
54,53.0,walk,12.6508,0.0000,0.2136,0.1916,0.0000,0.0002,12.2139,0.0222,361,13583,0.0000,12.1895,0,0
55,54.0,walk,9.4954,0.0000,0.2201,0.2073,0.0000,0.0002,9.0436,0.0221,361,13583,0.0000,9.0199,0,0
56,55.0,walk,11.2114,0.0000,0.2176,0.1791,0.0000,0.0000,10.7999,0.0127,361,13583,0.0000,10.7775,0,0
57,56.0,walk,11.2481,0.0000,0.2121,0.1789,0.0000,0.0001,10.8346,0.0214,361,13583,0.0000,10.8125,0,0
58,57.0,walk,55.5309,0.0000,0.2126,0.1906,0.0000,0.0004,55.1041,0.0207,342,13583,54.4174,0.0000,118,0
59,58.0,walk,12.8416,0.0000,0.3960,0.2054,0.0000,0.0003,12.2146,0.0223,342,13583,0.0000,7.7021,0,0
60,59.0,walk,12.7841,0.0000,0.2519,0.1901,0.0000,0.0002,12.3184,0.0207,342,13583,0.0000,12.2942,0,0
61,60.0,walk,13.0014,0.0000,0.2118,0.1934,0.0000,0.0003,12.5683,0.0216,342,13583,0.0000,12.5440,0,0
62,61.0,walk,12.7608,0.0000,0.2190,0.1886,0.0000,0.0003,12.3287,0.0220,342,13583,0.0000,12.2978,0,0
63,62.0,walk,11.9647,0.0000,0.2085,0.1898,0.0000,0.0002,11.5422,0.0218,342,13583,0.0000,11.5166,0,0
64,63.0,walk,11.1933,0.0000,0.2134,0.1891,0.0000,0.0001,10.7667,0.0218,342,13583,0.0000,10.7400,0,0
65,64.0,walk,12.1566,0.0000,0.2173,0.1826,0.0000,0.0000,11.7325,0.0218,342,13583,0.0000,11.7071,0,0
66,66.0,sprint,10.7469,0.0000,0.2354,0.3657,1.7651,0.0002,8.3556,0.0219,333,13581,7.7190,0.0000,93,10
67,68.0,sprint,13.2196,0.0000,0.3232,0.3712,0.3500,0.0005,12.1511,0.0212,334,13579,0.0000,7.5227,0,1
68,70.0,sprint,13.3836,0.0000,0.3693,0.3672,0.4439,0.0004,12.1601,0.0397,335,13577,0.0000,12.1152,0,1
69,72.0,sprint,13.0739,0.0000,0.3525,0.5138,0.3417,0.0005,11.8410,0.0211,336,13575,0.0000,11.7982,0,1
70,74.0,sprint,12.9067,0.0000,0.3573,0.4005,0.3929,0.0006,11.7178,0.0207,318,13573,11.0909,0.0000,99,1
71,76.0,sprint,13.2460,0.0000,0.3225,0.3978,0.4064,0.0006,12.0670,0.0410,319,13571,0.0000,5.9826,0,1
72,78.0,sprint,13.0695,0.0000,0.4613,0.4901,0.3290,0.0001,11.7613,0.0236,320,13569,0.0000,11.7168,0,1
73,80.0,sprint,13.0764,0.0000,0.3806,0.4159,0.3158,0.0002,11.9390,0.0214,321,13567,0.0000,11.8982,0,1
74,82.0,sprint,18.1994,0.0000,0.3465,0.3812,0.4408,0.0006,16.9810,0.0462,303,13565,16.1604,0.0000,95,1
75,84.0,sprint,13.2511,0.0000,0.5214,0.3898,0.3388,0.0006,11.9744,0.0224,304,13563,0.0000,6.1638,0,1
76,86.0,sprint,13.1266,0.0000,0.4132,0.3887,0.3456,0.0007,11.9521,0.0227,305,13561,0.0000,11.8997,0,1
77,88.0,sprint,13.4231,0.0000,0.5335,0.4555,0.4164,0.0006,11.9901,0.0238,306,13561,0.0000,11.9265,0,1
78,90.0,sprint,75.3119,0.0000,0.5014,0.4102,0.4223,0.0005,73.9462,0.0280,288,13561,72.8530,0.0000,118,1
79,92.0,sprint,13.1524,0.0000,0.7603,0.3915,0.4105,0.0007,11.5604,0.0249,289,13561,0.0000,5.7835,0,1
80,94.0,sprint,13.3595,0.0000,0.5226,0.4043,0.3194,0.0004,12.0867,0.0217,290,13561,0.0000,12.0470,0,1
