frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
1,0.0,walk,0.3499,0.0001,0.0000,0.0000,0.0000,0.0000,0.0274,0.0174,361,12853,0.0000,0.0000,0,0
2,1.0,walk,64.4075,0.0000,0.6999,0.1861,0.0000,0.0000,63.4883,0.0302,342,12982,62.1683,0.0000,93,0
3,2.0,walk,12.8502,0.0000,0.6735,0.1985,0.0000,0.0001,11.9493,0.0247,342,13111,0.0000,6.6866,0,0
4,3.0,walk,12.9662,0.0000,0.2937,0.1954,0.0000,0.0001,12.4506,0.0229,342,13240,0.0000,12.4266,0,0
5,4.0,walk,12.9550,0.0000,0.1971,0.2179,0.0000,0.0000,12.5120,0.0249,342,13369,0.0000,12.4880,0,0
6,5.0,walk,12.7966,0.0000,0.1912,0.1851,0.0000,0.0001,12.3970,0.0205,342,13441,0.0000,12.3740,0,0
7,6.0,walk,12.7464,0.0000,0.2137,0.2069,0.0000,0.0001,12.3010,0.0220,342,13479,0.0000,12.2772,0,0
8,7.0,walk,12.7382,0.0000,0.1885,0.1859,0.0000,0.0001,12.3395,0.0218,342,13505,0.0000,12.3163,0,0
9,8.0,walk,12.7566,0.0000,0.1871,0.1910,0.0000,0.0001,12.3561,0.0198,342,13523,0.0000,12.3326,0,0
10,9.0,walk,25.7925,0.0000,0.2051,0.2051,0.3489,0.0006,25.0083,0.0222,324,13535,24.2182,0.0000,99,1
11,10.0,walk,13.0024,0.0000,0.2470,0.2313,0.2732,0.0003,12.2266,0.0214,325,13545,0.0000,7.4134,0,1
12,11.0,walk,13.1286,0.0000,0.2263,0.1878,0.2760,0.0004,12.4150,0.0212,326,13553,0.0000,12.3836,0,1
13,12.0,walk,13.3947,0.0000,0.2272,0.1896,0.2912,0.0003,12.6362,0.0390,327,13559,0.0000,12.5965,0,1
14,13.0,walk,13.2127,0.0000,0.3234,0.3493,0.3426,0.0003,12.1711,0.0215,328,13563,0.0000,12.1389,0,1
15,14.0,walk,13.0804,0.0000,0.2158,0.1992,0.3331,0.0001,12.2915,0.0383,329,13567,0.0000,12.2519,0,1
16,15.0,walk,13.2615,0.0000,0.3176,0.3454,0.3315,0.0001,12.2247,0.0389,330,13569,0.0000,12.1857,0,1
17,16.0,walk,13.4949,0.0000,0.2466,0.2618,0.2724,0.0000,12.6906,0.0206,331,13571,0.0000,12.6595,0,1
18,17.0,walk,26.3301,0.0000,0.2158,0.2053,0.3751,0.0007,25.5098,0.0216,313,13573,24.4135,0.0000,95,1
19,18.0,walk,13.1423,0.0000,0.3129,0.1932,0.3338,0.0005,12.2599,0.0395,314,13575,0.0000,7.1283,0,1
20,19.0,walk,13.0999,0.0000,0.3117,0.3183,0.3325,0.0005,12.0953,0.0390,315,13577,0.0000,12.0552,0,1
21,20.0,walk,13.1035,0.0000,0.2586,0.2590,0.2608,0.0004,12.3017,0.0202,316,13579,0.0000,12.2722,0,1
22,21.0,walk,12.9832,0.0000,0.2148,0.1872,0.2678,0.0003,12.2908,0.0199,317,13581,0.0000,12.2608,0,1
23,22.0,walk,10.7842,0.0000,0.2125,0.1917,0.9750,0.0001,9.3817,0.0208,322,13583,0.0000,9.3417,0,5
24,23.0,walk,11.2070,0.0000,0.2235,0.1860,0.2554,0.0001,10.5277,0.0122,323,13583,0.0000,10.4994,0,1
25,24.0,walk,11.2137,0.0000,0.2229,0.1678,0.2656,0.0000,10.5358,0.0204,324,13583,0.0000,10.5053,0,1
26,25.0,walk,55.2929,0.0000,0.2131,0.1882,0.5103,0.0004,54.3573,0.0216,306,13583,53.4424,0.0000,118,1
27,26.0,walk,13.1226,0.0000,0.2997,0.1974,0.2767,0.0003,12.3258,0.0206,307,13583,0.0000,7.4395,0,1
28,27.0,walk,13.1176,0.0000,0.2524,0.1894,0.3027,0.0004,12.3418,0.0204,308,13583,0.0000,12.3102,0,1
29,28.0,walk,13.2263,0.0000,0.2288,0.1894,0.2704,0.0003,12.5066,0.0205,309,13583,0.0000,12.4747,0,1
30,29.0,walk,13.0729,0.0000,0.2464,0.1922,0.2933,0.0005,12.3176,0.0212,310,13583,0.0000,12.2828,0,1
31,30.0,walk,10.7227,0.0000,0.2590,0.1949,0.9551,0.0001,9.2905,0.0209,315,13583,0.0000,9.2508,0,5
32,31.0,walk,17.7168,0.0000,0.2251,0.1963,0.2717,0.0001,17.0003,0.0210,316,13583,0.0000,16.9604,0,1
33,32.0,walk,10.8070,0.0000,0.3468,0.1916,0.8287,0.0002,9.4160,0.0213,321,13583,0.0000,9.3788,0,5
34,33.0,walk,10.7331,0.0000,0.2548,0.1940,1.5418,0.0001,8.7184,0.0213,311,13583,7.9315,0.0000,93,9
35,34.0,walk,13.3176,0.0000,0.3094,0.2065,0.3347,0.0003,12.4447,0.0194,312,13583,0.0000,8.5140,0,1
36,35.0,walk,13.0267,0.0000,0.2495,0.1913,0.2707,0.0003,12.2928,0.0200,313,13583,0.0000,12.2624,0,1
37,36.0,walk,13.0875,0.0000,0.2339,0.1921,0.2594,0.0002,12.3799,0.0199,314,13583,0.0000,12.3478,0,1
38,37.0,walk,12.9080,0.0000,0.2359,0.1986,0.3900,0.0002,12.0607,0.0205,315,13583,0.0000,12.0283,0,1
39,38.0,walk,10.8938,0.0000,0.2359,0.1885,0.7623,0.0003,9.6656,0.0387,318,13583,0.0000,9.6205,0,3
40,39.0,walk,10.8232,0.0000,0.2556,0.2402,0.7190,0.0001,9.5660,0.0394,321,13583,0.0000,9.5210,0,3
41,40.0,walk,11.4138,0.0000,0.2724,0.2865,0.3630,0.0000,10.4684,0.0207,322,13583,0.0000,10.4349,0,1
42,41.0,walk,10.7348,0.0000,0.2396,0.1983,2.5047,0.0001,7.7692,0.0206,318,13583,7.2174,0.0000,99,15
43,42.0,walk,13.0680,0.0000,0.2564,0.1890,0.2623,0.0003,12.3384,0.0196,319,13583,0.0000,7.9033,0,1
44,43.0,walk,13.1299,0.0000,0.2541,0.1892,0.2894,0.0002,12.3746,0.0204,320,13583,0.0000,12.3426,0,1
45,44.0,walk,13.1426,0.0000,0.2403,0.1929,0.3331,0.0003,12.3347,0.0390,321,13583,0.0000,12.2938,0,1
46,45.0,walk,12.9988,0.0000,0.3734,0.3548,0.2615,0.0002,11.9844,0.0204,322,13583,0.0000,11.9502,0,1
47,46.0,walk,10.8310,0.0000,0.2534,0.1878,0.2790,0.0003,10.0881,0.0203,323,13583,0.0000,10.0555,0,1
48,47.0,walk,10.9285,0.0000,0.2401,0.1949,0.2676,0.0001,10.1951,0.0200,324,13583,0.0000,10.1634,0,1
49,48.0,walk,11.4121,0.0000,0.2434,0.1871,0.2670,0.0001,10.6858,0.0198,325,13583,0.0000,10.6546,0,1
50,49.0,walk,10.7102,0.0000,0.2402,0.1958,2.7816,0.0001,7.4695,0.0207,323,13583,6.9709,0.0000,95,17
51,50.0,walk,13.2788,0.0000,0.2685,0.1897,0.3356,0.0002,12.4634,0.0192,324,13583,0.0000,8.0178,0,1
52,51.0,walk,13.2213,0.0000,0.2505,0.1856,0.3407,0.0003,12.4025,0.0393,325,13583,0.0000,12.3624,0,1
53,52.0,walk,13.2598,0.0000,0.3061,0.3413,0.2963,0.0003,12.2572,0.0555,326,13583,0.0000,12.2265,0,1
54,53.0,walk,13.1465,0.0000,0.2577,0.2090,0.3380,0.0003,12.3008,0.0385,327,13583,0.0000,12.2580,0,1
55,54.0,walk,11.2865,0.0000,0.2432,0.1932,0.3664,0.0004,10.4615,0.0194,328,13583,0.0000,10.4275,0,1
56,55.0,walk,11.9965,0.0000,0.2894,0.2232,0.2682,0.0002,11.1927,0.0204,329,13583,0.0000,11.1588,0,1
57,56.0,walk,12.5831,0.0000,0.2488,0.2009,0.2773,0.0002,11.8336,0.0201,330,13583,0.0000,11.8016,0,1
58,57.0,walk,56.3664,0.0000,0.2492,0.1963,0.5259,0.0003,55.3710,0.0217,312,13583,54.4416,0.0000,118,1
59,58.0,walk,13.0241,0.0000,0.4046,0.1926,0.3001,0.0002,12.1033,0.0209,313,13583,0.0000,6.7741,0,1
60,59.0,walk,13.3959,0.0000,0.3236,0.1993,0.3615,0.0002,12.4702,0.0388,314,13583,0.0000,12.4282,0,1
61,60.0,walk,13.2353,0.0000,0.3229,0.3295,0.3577,0.0004,12.2018,0.0202,315,13583,0.0000,12.1691,0,1
62,61.0,walk,13.2597,0.0000,0.2512,0.1893,0.3082,0.0004,12.4882,0.0203,316,13583,0.0000,12.4515,0,1
63,62.0,walk,12.0643,0.0000,0.2401,0.1966,0.3458,0.0002,11.2590,0.0205,317,13583,0.0000,11.2250,0,1
64,63.0,walk,12.1114,0.0000,0.2599,0.1835,0.3462,0.0001,11.2993,0.0201,318,13583,0.0000,11.2669,0,1
65,64.0,walk,12.4412,0.0000,0.2500,0.1753,0.2823,0.0001,11.7033,0.0200,319,13583,0.0000,11.6705,0,1
66,66.0,sprint,10.7817,0.0000,0.2662,0.3650,2.1541,0.0000,7.9807,0.0133,313,13581,7.4707,0.0000,93,13
67,68.0,sprint,13.0824,0.0000,0.2708,0.3421,0.2672,0.0002,12.1825,0.0185,314,13579,0.0000,7.1597,0,1
68,70.0,sprint,13.1980,0.0000,0.2777,0.3440,0.3327,0.0004,12.2198,0.0210,315,13577,0.0000,12.1830,0,1
69,72.0,sprint,13.0256,0.0000,0.3086,0.3728,0.2871,0.0003,12.0334,0.0209,316,13575,0.0000,11.9969,0,1
70,74.0,sprint,11.8968,0.0000,0.3036,0.4064,0.3642,0.0003,10.7972,0.0220,298,13573,10.2081,0.0000,99,1
71,76.0,sprint,13.0788,0.0000,0.3474,0.4625,0.3202,0.0004,11.9241,0.0211,299,13571,0.0000,5.8844,0,1
72,78.0,sprint,13.1277,0.0000,0.3686,0.4006,0.2911,0.0001,12.0443,0.0199,300,13569,0.0000,12.0027,0,1
73,80.0,sprint,13.2734,0.0000,0.3296,0.3882,0.3307,0.0001,12.1994,0.0223,301,13567,0.0000,12.1529,0,1
74,82.0,sprint,25.2755,0.0000,0.4304,0.4042,0.4543,0.0006,23.9568,0.0263,283,13565,22.8028,0.0000,95,1
75,84.0,sprint,13.2946,0.0000,0.7275,0.4156,0.3933,0.0005,11.7288,0.0246,284,13563,0.0000,4.6273,0,1
76,86.0,sprint,13.3416,0.0000,0.5946,0.4235,0.3544,0.0005,11.9413,0.0230,285,13561,0.0000,11.8988,0,1
77,88.0,sprint,13.1616,0.0000,0.4103,0.3931,0.3367,0.0006,11.9960,0.0218,286,13561,0.0000,11.9534,0,1
78,90.0,sprint,74.0112,0.0000,0.3295,0.4061,0.8073,0.0006,72.4222,0.0424,268,13561,71.1228,0.0000,118,1
79,92.0,sprint,13.2026,0.0000,0.6049,0.4346,0.3780,0.0008,11.7475,0.0231,269,13561,0.0000,5.1780,0,1
80,94.0,sprint,13.1786,0.0000,0.3947,0.3973,0.3024,0.0005,12.0594,0.0214,270,13561,0.0000,12.0136,0,1
81,96.0,sprint,13.6407,0.0000,0.3175,0.3851,0.3029,0.0006,12.6111,0.0213,271,13561,0.0000,12.5708,0,1
82,98.0,sprint,25.3356,0.0000,0.3065,0.4294,0.4142,0.0006,24.1613,0.0212,253,13561,23.4802,0.0000,93,1
83,100.0,sprint,13.1932,0.0000,0.3245,0.3847,0.3858,0.0004,12.0552,0.0397,254,13561,0.0000,6.1965,0,1
84,102.0,sprint,13.0827,0.0000,0.3955,0.5927,0.2890,0.0003,11.7813,0.0207,255,13561,0.0000,11.7396,0,1
85,104.0,sprint,13.4556,0.0000,0.2904,0.4053,0.4159,0.0004,12.3008,0.0400,256,13561,0.0000,12.2472,0,1
86,106.0,sprint,24.3676,0.0000,0.3018,0.4637,0.3705,0.0003,23.2075,0.0210,238,13561,22.6361,0.0000,99,1
87,108.0,sprint,13.3278,0.0000,0.3115,0.4431,0.3426,0.0004,12.2059,0.0219,239,13561,0.0000,6.6246,0,1
88,110.0,sprint,13.0541,0.0000,0.3872,0.4064,0.3119,0.0006,11.9244,0.0208,240,13561,0.0000,11.8844,0,1
89,112.0,sprint,13.0429,0.0000,0.3215,0.3865,0.2910,0.0002,12.0209,0.0202,241,13561,0.0000,11.9834,0,1
90,114.0,sprint,24.5396,0.0000,0.3069,0.3807,0.3773,0.0002,23.4512,0.0207,223,13561,22.8505,0.0000,95,1
91,116.0,sprint,13.2597,0.0000,0.3206,0.3817,0.3067,0.0004,12.2275,0.0203,224,13561,0.0000,6.9164,0,1
92,118.0,sprint,13.0253,0.0000,0.3265,0.3759,0.2794,0.0003,12.0201,0.0207,225,13561,0.0000,11.9793,0,1
93,120.0,sprint,13.1735,0.0000,0.3014,0.3863,0.3153,0.0006,12.1481,0.0200,226,13561,0.0000,12.1096,0,1
94,122.0,sprint,74.5949,0.0000,0.2995,0.3805,0.4500,0.0004,73.4341,0.0281,208,13561,71.5661,0.0000,118,1
95,124.0,sprint,13.8048,0.0000,0.8137,0.4177,0.5552,0.0002,11.9720,0.0416,209,13561,0.0000,5.0098,0,1
96,126.0,sprint,13.1914,0.0000,0.4856,0.5946,0.3475,0.0004,11.7379,0.0216,210,13561,0.0000,11.6937,0,1
97,128.0,sprint,13.6178,0.0000,0.3208,0.4029,0.3892,0.0003,12.4803,0.0207,211,13561,0.0000,12.4390,0,1
98,132.0,free_fly,26.3540,0.0000,0.3606,0.7392,0.4124,0.0003,24.8175,0.0209,193,13559,24.0217,0.0000,93,1
99,136.0,free_fly,13.1175,0.0000,0.3701,0.7568,0.3716,0.0004,11.5921,0.0237,194,13557,0.0000,5.1341,0,1
100,140.0,free_fly,19.7170,0.0000,0.3763,0.7450,0.3854,0.0003,18.1863,0.0206,176,13555,17.6574,0.0000,99,1
101,144.0,free_fly,13.2243,0.0000,0.3484,0.7322,0.3604,0.0004,11.7591,0.0213,177,13553,0.0000,6.1059,0,1
102,148.0,free_fly,34.9946,0.0000,0.3718,0.7575,0.4032,0.0004,33.4377,0.0212,159,13551,32.8422,0.0000,95,1
103,152.0,free_fly,13.2401,0.0000,0.3829,0.7419,0.2995,0.0004,11.7923,0.0204,160,13549,0.0000,6.1100,0,1
104,156.0,free_fly,94.5367,0.0000,0.3443,0.7222,0.5336,0.0004,92.9099,0.0231,144,13549,91.9652,0.0000,118,1
105,160.0,free_fly,13.4046,0.0000,0.5651,0.7362,0.3934,0.0004,11.6855,0.0211,145,13549,0.0000,5.4701,0,1
106,164.0,free_fly,45.8168,0.0000,0.3731,0.7315,0.4360,0.0004,44.2517,0.0210,129,13549,43.6620,0.0000,93,1
107,168.0,free_fly,13.1102,0.0000,0.3635,0.7397,0.3128,0.0004,11.6703,0.0208,130,13549,0.0000,5.7845,0,1
108,172.0,free_fly,45.2347,0.0000,0.3512,0.7355,0.4803,0.0004,43.6241,0.0399,114,13549,43.0190,0.0000,99,1
109,176.0,free_fly,13.3335,0.0000,0.3983,1.0321,0.2972,0.0003,11.5815,0.0209,115,13549,0.0000,5.6228,0,1
110,180.0,free_fly,44.9202,0.0000,0.3246,0.7114,0.4293,0.0003,43.4310,0.0210,99,13549,42.7916,0.0000,95,1
111,184.0,free_fly,13.5602,0.0000,0.3551,0.7201,0.3041,0.0005,12.1574,0.0205,100,13549,0.0000,6.1007,0,1
112,188.0,free_fly,188.6718,0.0000,0.3509,0.7305,0.4133,0.0004,187.1409,0.0242,84,13549,185.9382,0.0000,118,1
113,192.0,free_fly,13.6877,0.0000,0.6123,0.7465,0.4276,0.0003,11.8567,0.0405,85,13549,0.0000,4.9412,0,1
114,192.0,free_fly,13.2073,0.0000,0.0000,0.0000,0.3035,0.0003,12.8797,0.0206,86,13549,0.0000,12.8324,0,1
115,192.0,free_fly,13.4039,0.0000,0.0000,0.0000,0.3507,0.0003,13.0319,0.0196,87,13549,0.0000,12.9798,0,1
116,192.0,free_fly,13.1290,0.0000,0.0000,0.0000,0.3097,0.0003,12.7970,0.0204,88,13549,0.0000,12.7464,0,1
117,192.0,free_fly,13.2648,0.0000,0.0000,0.0000,0.3786,0.0004,12.8562,0.0202,89,13549,0.0000,12.8122,0,1
118,192.0,free_fly,13.3447,0.0000,0.0000,0.0000,0.4165,0.0005,12.9061,0.0207,90,13549,0.0000,12.8621,0,1
119,192.0,free_fly,13.8672,0.0000,0.0000,0.0000,0.3732,0.0004,13.4692,0.0226,91,13549,0.0000,13.4184,0,1
120,192.0,free_fly,26.1380,0.0000,0.0000,0.0000,0.3319,0.0004,25.7814,0.0230,92,13549,0.0000,25.7299,0,1
121,192.0,free_fly,13.1109,0.0002,0.0000,0.0000,0.3067,0.0003,12.7809,0.0211,93,13549,0.0000,12.7330,0,1
