stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage13,north,3,1.0,128.500,129.500,walk,830,2601,0.6940,0,1,0,0
stage13,north,3,2.0,128.500,130.500,walk,863,2601,1.0994,0,1,0,0
stage13,north,3,3.0,128.500,131.500,walk,896,2601,0.6740,0,1,0,0
stage13,north,3,4.0,128.500,132.500,walk,929,2601,0.6426,0,1,0,0
stage13,north,3,5.0,128.500,133.500,walk,947,2601,0.6300,0,1,0,0
stage13,north,3,6.0,128.500,134.500,walk,957,2601,0.6370,0,1,0,0
stage13,north,3,7.0,128.500,135.500,walk,963,2601,0.6640,0,1,0,0
stage13,north,3,8.0,128.500,136.500,walk,967,2601,0.6297,51,1,0,0
stage13,north,3,9.0,128.500,137.500,walk,969,2601,5.7657,0,0,0,0
stage13,north,3,10.0,128.500,138.500,walk,971,2601,1.1509,0,0,0,0
stage13,north,3,11.0,128.500,139.500,walk,973,2601,0.6874,0,0,0,0
stage13,north,3,12.0,128.500,140.500,walk,975,2601,0.7184,0,0,0,0
stage13,north,3,13.0,128.500,141.500,walk,975,2601,0.7056,0,0,0,0
stage13,north,3,14.0,128.500,142.500,walk,975,2601,0.6961,0,0,0,0
stage13,north,3,15.0,128.500,143.500,walk,975,2601,0.6291,0,0,0,0
stage13,north,3,16.0,128.500,144.500,walk,975,2601,0.8125,51,0,0,0
stage13,north,3,17.0,128.500,145.500,walk,975,2601,5.4501,0,0,0,0
stage13,north,3,18.0,128.500,146.500,walk,975,2601,0.6913,0,0,0,0
stage13,north,3,19.0,128.500,147.500,walk,975,2601,0.6729,0,0,0,0
stage13,north,3,20.0,128.500,148.500,walk,975,2601,0.6667,0,0,0,0
stage13,north,3,21.0,128.500,149.500,walk,975,2601,0.7214,0,0,0,0
stage13,north,3,22.0,128.500,150.500,walk,975,2601,0.6636,0,0,0,0
stage13,north,3,23.0,128.500,151.500,walk,975,2601,0.6291,0,0,0,0
stage13,north,3,24.0,128.500,152.500,walk,975,2601,0.6267,51,0,0,0
stage13,north,3,25.0,128.500,153.500,walk,975,2601,6.2743,0,0,0,0
stage13,north,3,26.0,128.500,154.500,walk,975,2601,0.7078,0,0,0,0
stage13,north,3,27.0,128.500,155.500,walk,975,2601,0.6885,0,0,0,0
stage13,north,3,28.0,128.500,156.500,walk,975,2601,0.6753,0,0,0,0
stage13,north,3,29.0,128.500,157.500,walk,975,2601,0.6430,0,0,0,0
stage13,north,3,30.0,128.500,158.500,walk,975,2601,0.6458,0,0,0,0
stage13,north,3,31.0,128.500,159.500,walk,975,2601,0.6499,0,0,0,0
stage13,north,3,32.0,128.500,160.500,walk,975,2601,0.6919,51,0,0,0
stage13,north,3,33.0,128.500,161.500,walk,975,2601,5.5807,0,0,0,0
stage13,north,3,34.0,128.500,162.500,walk,975,2601,0.9056,0,0,0,0
stage13,north,3,35.0,128.500,163.500,walk,975,2601,0.9088,0,0,0,0
stage13,north,3,36.0,128.500,164.500,walk,975,2601,0.7826,0,0,0,0
stage13,north,3,37.0,128.500,165.500,walk,975,2601,0.7110,0,0,0,0
stage13,north,3,38.0,128.500,166.500,walk,975,2601,0.7162,0,0,0,0
stage13,north,3,39.0,128.500,167.500,walk,975,2601,1.0499,0,0,0,0
stage13,north,3,40.0,128.500,168.500,walk,975,2601,0.9047,51,0,0,0
stage13,north,3,41.0,128.500,169.500,walk,975,2601,5.5779,0,0,0,0
stage13,north,3,42.0,128.500,170.500,walk,975,2601,0.7041,0,0,0,0
stage13,north,3,43.0,128.500,171.500,walk,975,2601,0.6771,0,0,0,0
stage13,north,3,44.0,128.500,172.500,walk,975,2601,0.6523,0,0,0,0
stage13,north,3,45.0,128.500,173.500,walk,975,2601,0.6414,0,0,0,0
stage13,north,3,46.0,128.500,174.500,walk,975,2601,0.6457,0,0,0,0
stage13,north,3,47.0,128.500,175.500,walk,975,2601,0.6414,0,0,0,0
stage13,north,3,48.0,128.500,176.500,walk,975,2601,0.6394,51,0,0,0
stage13,north,3,49.0,128.500,177.500,walk,975,2601,6.0122,0,0,0,0
stage13,north,3,50.0,128.500,178.500,walk,975,2601,0.7222,0,0,0,0
