stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,219,0.4153,2382,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,384,0.3986,2217,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,606,0.5497,1995,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,850,0.5341,1751,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,1078,0.7946,1523,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,1323,0.6448,1278,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,1591,0.7539,1010,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,1909,0.8250,692,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,2282,0.8297,319,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,2579,1.0804,22,0,0,0
stage16b,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.7247,0,0,0,0
stage16b,north,3,1.0,128.500,129.500,walk,830,2601,0.7213,0,1,0,0
stage16b,north,3,2.0,128.500,130.500,walk,863,2601,0.8432,0,1,0,0
stage16b,north,3,3.0,128.500,131.500,walk,896,2601,1.0510,0,1,0,0
stage16b,north,3,4.0,128.500,132.500,walk,929,2601,0.8425,0,1,0,0
stage16b,north,3,5.0,128.500,133.500,walk,947,2601,0.7726,0,1,0,0
stage16b,north,3,6.0,128.500,134.500,walk,957,2601,0.8013,0,1,0,0
stage16b,north,3,7.0,128.500,135.500,walk,963,2601,0.8006,0,1,0,0
stage16b,north,3,8.0,128.500,136.500,walk,967,2601,0.7628,51,1,0,0
stage16b,north,3,9.0,128.500,137.500,walk,969,2601,5.7395,0,0,0,0
stage16b,north,3,10.0,128.500,138.500,walk,971,2601,1.1207,0,0,0,0
stage16b,north,3,11.0,128.500,139.500,walk,973,2601,1.0643,0,0,0,0
stage16b,north,3,12.0,128.500,140.500,walk,975,2601,1.0327,0,0,0,0
stage16b,north,3,13.0,128.500,141.500,walk,975,2601,1.0328,0,0,0,0
stage16b,north,3,14.0,128.500,142.500,walk,975,2601,1.4141,0,0,0,0
stage16b,north,3,15.0,128.500,143.500,walk,975,2601,0.9340,0,0,0,0
stage16b,north,3,16.0,128.500,144.500,walk,975,2601,1.1978,51,0,0,0
stage16b,north,3,17.0,128.500,145.500,walk,975,2601,7.8418,0,0,0,0
stage16b,north,3,18.0,128.500,146.500,walk,975,2601,1.1224,0,0,0,0
stage16b,north,3,19.0,128.500,147.500,walk,975,2601,1.0578,0,0,0,0
stage16b,north,3,20.0,128.500,148.500,walk,975,2601,1.2096,0,0,0,0
stage16b,north,3,21.0,128.500,149.500,walk,975,2601,1.2654,0,0,0,0
stage16b,north,3,22.0,128.500,150.500,walk,975,2601,1.5266,0,0,0,0
stage16b,north,3,23.0,128.500,151.500,walk,975,2601,1.4841,0,0,0,0
stage16b,north,3,24.0,128.500,152.500,walk,975,2601,1.2861,51,0,0,0
stage16b,north,3,25.0,128.500,153.500,walk,975,2601,7.2539,0,0,0,0
stage16b,north,3,26.0,128.500,154.500,walk,975,2601,1.5144,0,0,0,0
stage16b,north,3,27.0,128.500,155.500,walk,975,2601,1.4574,0,0,0,0
stage16b,north,3,28.0,128.500,156.500,walk,975,2601,1.3438,0,0,0,0
stage16b,north,3,29.0,128.500,157.500,walk,975,2601,1.3101,0,0,0,0
stage16b,north,3,30.0,128.500,158.500,walk,975,2601,1.2858,0,0,0,0
stage16b,north,3,31.0,128.500,159.500,walk,975,2601,1.7655,0,0,0,0
stage16b,north,3,32.0,128.500,160.500,walk,975,2601,1.7408,51,0,0,0
stage16b,north,3,33.0,128.500,161.500,walk,975,2550,2.3933,51,0,0,0
stage16b,north,3,34.0,128.500,162.500,walk,975,2550,2.1369,51,0,0,0
stage16b,north,3,35.0,128.500,163.500,walk,975,2550,2.0072,51,0,0,0
stage16b,north,3,36.0,128.500,164.500,walk,975,2550,1.8305,51,0,0,0
stage16b,north,3,37.0,128.500,165.500,walk,975,2550,1.9443,51,0,0,0
stage16b,north,3,38.0,128.500,166.500,walk,975,2550,1.9120,51,0,0,0
stage16b,north,3,39.0,128.500,167.500,walk,975,2550,1.9416,51,0,0,0
stage16b,north,3,40.0,128.500,168.500,walk,975,2550,2.0099,102,0,0,0
stage16b,north,3,41.0,128.500,169.500,walk,975,2499,2.0302,102,0,0,0
stage16b,north,3,42.0,128.500,170.500,walk,975,2499,2.1167,102,0,0,0
stage16b,north,3,43.0,128.500,171.500,walk,975,2499,1.8586,102,0,0,0
stage16b,north,3,44.0,128.500,172.500,walk,975,2499,2.0300,102,0,0,0
stage16b,north,3,45.0,128.500,173.500,walk,975,2499,1.9811,102,0,0,0
stage16b,north,3,46.0,128.500,174.500,walk,975,2501,2.2686,100,0,0,0
stage16b,north,3,47.0,128.500,175.500,walk,975,2505,2.7888,96,0,0,0
stage16b,north,3,48.0,128.500,176.500,walk,975,2509,2.5055,143,0,0,0
