stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,147,0.3718,2454,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,247,0.2261,2354,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,347,0.3251,2254,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,465,0.4249,2136,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,627,0.3632,1974,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,777,0.5749,1824,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,920,0.7875,1681,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,1054,0.4058,1547,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,1179,0.5956,1422,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,1330,0.5909,1271,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,1488,0.7320,1113,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,1658,0.4808,943,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,1845,0.6377,756,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,2121,1.0732,480,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,2308,0.6191,293,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,2503,0.5922,98,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.7134,0,0,0,0
stage16c,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.6533,0,0,0,0
stage16c,north,3,1.0,128.500,129.500,walk,830,2601,0.8493,0,1,0,0
stage16c,north,3,2.0,128.500,130.500,walk,863,2601,0.9316,0,1,0,0
stage16c,north,3,3.0,128.500,131.500,walk,896,2601,0.9427,0,1,0,0
stage16c,north,3,4.0,128.500,132.500,walk,929,2601,0.8264,0,1,0,0
stage16c,north,3,5.0,128.500,133.500,walk,947,2601,0.9439,0,1,0,0
stage16c,north,3,6.0,128.500,134.500,walk,957,2601,0.8358,0,1,0,0
stage16c,north,3,7.0,128.500,135.500,walk,963,2601,0.9348,0,1,0,0
stage16c,north,3,8.0,128.500,136.500,walk,967,2601,0.8178,51,1,0,0
stage16c,north,3,9.0,128.500,137.500,walk,969,2601,5.9391,0,0,0,0
stage16c,north,3,10.0,128.500,138.500,walk,971,2601,1.1771,0,0,0,0
stage16c,north,3,11.0,128.500,139.500,walk,973,2601,1.4049,0,0,0,0
stage16c,north,3,12.0,128.500,140.500,walk,975,2601,1.0963,0,0,0,0
stage16c,north,3,13.0,128.500,141.500,walk,975,2601,1.2083,0,0,0,0
stage16c,north,3,14.0,128.500,142.500,walk,975,2601,1.0738,0,0,0,0
stage16c,north,3,15.0,128.500,143.500,walk,975,2601,1.1941,0,0,0,0
stage16c,north,3,16.0,128.500,144.500,walk,975,2601,1.2093,51,0,0,0
stage16c,north,3,17.0,128.500,145.500,walk,975,2601,7.6092,0,0,0,0
stage16c,north,3,18.0,128.500,146.500,walk,975,2601,1.2663,0,0,0,0
stage16c,north,3,19.0,128.500,147.500,walk,975,2601,1.2156,0,0,0,0
stage16c,north,3,20.0,128.500,148.500,walk,975,2601,1.0730,0,0,0,0
stage16c,north,3,21.0,128.500,149.500,walk,975,2601,1.1718,0,0,0,0
stage16c,north,3,22.0,128.500,150.500,walk,975,2601,1.0816,0,0,0,0
stage16c,north,3,23.0,128.500,151.500,walk,975,2601,1.0464,0,0,0,0
stage16c,north,3,24.0,128.500,152.500,walk,975,2601,1.1036,51,0,0,0
stage16c,north,3,25.0,128.500,153.500,walk,975,2586,4.1532,15,0,0,0
stage16c,north,3,26.0,128.500,154.500,walk,975,2594,1.8018,7,0,0,0
stage16c,north,3,27.0,128.500,155.500,walk,975,2597,2.3686,4,0,0,0
stage16c,north,3,28.0,128.500,156.500,walk,975,2600,2.1734,1,0,0,0
stage16c,north,3,29.0,128.500,157.500,walk,975,2601,1.8073,0,0,0,0
stage16c,north,3,30.0,128.500,158.500,walk,975,2601,1.7903,0,0,0,0
stage16c,north,3,31.0,128.500,159.500,walk,975,2601,1.7576,0,0,0,0
stage16c,north,3,32.0,128.500,160.500,walk,975,2601,1.8280,51,0,0,0
stage16c,north,3,33.0,128.500,161.500,walk,975,2550,2.6305,51,0,0,0
stage16c,north,3,34.0,128.500,162.500,walk,975,2550,2.0666,51,0,0,0
stage16c,north,3,35.0,128.500,163.500,walk,975,2550,2.0873,51,0,0,0
stage16c,north,3,36.0,128.500,164.500,walk,975,2550,2.1027,51,0,0,0
stage16c,north,3,37.0,128.500,165.500,walk,975,2550,2.0310,51,0,0,0
stage16c,north,3,38.0,128.500,166.500,walk,975,2550,1.5143,51,0,0,0
