stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,126,0.2141,2475,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,214,0.4875,2387,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,286,0.2655,2315,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,374,0.4452,2227,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,495,0.5060,2106,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,634,0.7374,1967,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,784,0.5277,1817,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,932,0.4872,1669,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1054,0.4235,1547,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1162,0.5203,1439,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1293,0.4452,1308,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1432,0.5322,1169,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1585,0.7058,1016,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1754,0.6452,847,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,1957,0.8681,644,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,2198,0.6852,403,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,2340,0.6354,261,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,2548,0.7239,53,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.5782,0,0,0,0
stage16d,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.6044,0,0,0,0
stage16d,north,3,1.0,128.500,129.500,walk,830,2601,0.8231,0,1,0,0
stage16d,north,3,2.0,128.500,130.500,walk,863,2601,0.9030,0,1,0,0
stage16d,north,3,3.0,128.500,131.500,walk,896,2601,0.8481,0,1,0,0
stage16d,north,3,4.0,128.500,132.500,walk,929,2601,0.8284,0,1,0,0
stage16d,north,3,5.0,128.500,133.500,walk,947,2601,1.0199,0,1,0,0
stage16d,north,3,6.0,128.500,134.500,walk,957,2601,1.0772,0,1,0,0
stage16d,north,3,7.0,128.500,135.500,walk,963,2601,0.9502,0,1,0,0
stage16d,north,3,8.0,128.500,136.500,walk,967,2601,0.8798,51,1,0,0
stage16d,north,3,9.0,128.500,137.500,walk,969,2601,5.3716,0,0,0,0
stage16d,north,3,10.0,128.500,138.500,walk,971,2601,0.9005,0,0,0,0
stage16d,north,3,11.0,128.500,139.500,walk,973,2601,0.8417,0,0,0,0
stage16d,north,3,12.0,128.500,140.500,walk,975,2601,0.8267,0,0,0,0
stage16d,north,3,13.0,128.500,141.500,walk,975,2601,0.8307,0,0,0,0
stage16d,north,3,14.0,128.500,142.500,walk,975,2601,0.8380,0,0,0,0
stage16d,north,3,15.0,128.500,143.500,walk,975,2601,0.8281,0,0,0,0
stage16d,north,3,16.0,128.500,144.500,walk,975,2601,0.8277,51,0,0,0
stage16d,north,3,17.0,128.500,145.500,walk,975,2601,5.1215,0,0,0,0
stage16d,north,3,18.0,128.500,146.500,walk,975,2601,0.8938,0,0,0,0
stage16d,north,3,19.0,128.500,147.500,walk,975,2601,0.9694,0,0,0,0
stage16d,north,3,20.0,128.500,148.500,walk,975,2601,1.1362,0,0,0,0
stage16d,north,3,21.0,128.500,149.500,walk,975,2601,1.0965,0,0,0,0
stage16d,north,3,22.0,128.500,150.500,walk,975,2601,1.0838,0,0,0,0
stage16d,north,3,23.0,128.500,151.500,walk,975,2601,1.0507,0,0,0,0
stage16d,north,3,24.0,128.500,152.500,walk,975,2601,1.0175,51,0,0,0
stage16d,north,3,25.0,128.500,153.500,walk,975,2580,3.6963,21,0,0,0
stage16d,north,3,26.0,128.500,154.500,walk,975,2587,1.8779,14,0,0,0
stage16d,north,3,27.0,128.500,155.500,walk,975,2589,1.4018,12,0,0,0
stage16d,north,3,28.0,128.500,156.500,walk,975,2592,1.5404,9,0,0,0
stage16d,north,3,29.0,128.500,157.500,walk,975,2592,1.2752,9,0,0,0
stage16d,north,3,30.0,128.500,158.500,walk,975,2596,1.9109,5,0,0,0
stage16d,north,3,31.0,128.500,159.500,walk,975,2597,1.6845,4,0,0,0
stage16d,north,3,32.0,128.500,160.500,walk,975,2600,1.7046,52,0,0,0
stage16d,north,3,33.0,128.500,161.500,walk,975,2550,2.0702,51,0,0,0
stage16d,north,3,34.0,128.500,162.500,walk,975,2550,1.5036,51,0,0,0
stage16d,north,3,35.0,128.500,163.500,walk,975,2550,1.6461,51,0,0,0
stage16d,north,3,36.0,128.500,164.500,walk,975,2550,1.5881,51,0,0,0
stage16d,north,3,37.0,128.500,165.500,walk,975,2550,1.4937,51,0,0,0
stage16d,north,3,38.0,128.500,166.500,walk,975,2550,1.5052,51,0,0,0
stage16d,north,3,39.0,128.500,167.500,walk,975,2550,1.5547,51,0,0,0
stage16d,north,3,40.0,128.500,168.500,walk,975,2550,1.6344,102,0,0,0
stage16d,north,3,41.0,128.500,169.500,walk,975,2499,2.3951,102,0,0,0
stage16d,north,3,42.0,128.500,170.500,walk,975,2499,1.5622,102,0,0,0
stage16d,north,3,43.0,128.500,171.500,walk,975,2499,1.4757,102,0,0,0
stage16d,north,3,44.0,128.500,172.500,walk,975,2499,1.5020,102,0,0,0
stage16d,north,3,45.0,128.500,173.500,walk,975,2499,1.6201,102,0,0,0
stage16d,north,3,46.0,128.500,174.500,walk,975,2499,1.4852,102,0,0,0
stage16d,north,3,47.0,128.500,175.500,walk,975,2499,1.4989,102,0,0,0
stage16d,north,3,48.0,128.500,176.500,walk,975,2499,1.4974,153,0,0,0
stage16d,north,3,49.0,128.500,177.500,walk,975,2448,1.5221,153,0,0,0
stage16d,north,3,50.0,128.500,178.500,walk,975,2448,1.5517,153,0,0,0
stage16d,north,3,51.0,128.500,179.500,walk,975,2448,1.7466,153,0,0,0
stage16d,north,3,52.0,128.500,180.500,walk,975,2448,1.5898,153,0,0,0
stage16d,north,3,53.0,128.500,181.500,walk,975,2448,1.5064,153,0,0,0
stage16d,north,3,54.0,128.500,182.500,walk,975,2448,1.6098,153,0,0,0
stage16d,north,3,55.0,128.500,183.500,walk,975,2448,1.6119,153,0,0,0
stage16d,north,3,56.0,128.500,184.500,walk,975,2448,1.6579,204,0,0,0
stage16d,north,3,57.0,128.500,185.500,walk,975,2397,1.5803,204,0,0,0
stage16d,north,3,58.0,128.500,186.500,walk,975,2397,1.6647,204,0,0,0
stage16d,north,3,59.0,128.500,187.500,walk,975,2397,1.6118,204,0,0,0
stage16d,north,3,60.0,128.500,188.500,walk,975,2397,1.7112,204,0,0,0
stage16d,north,3,61.0,128.500,189.500,walk,975,2397,2.3104,204,0,0,0
stage16d,north,3,62.0,128.500,190.500,walk,975,2397,2.2220,204,0,0,0
stage16d,north,3,63.0,128.500,191.500,walk,975,2397,1.6391,204,0,0,0
stage16d,north,3,64.0,128.500,192.500,walk,975,2397,1.8710,255,0,0,0
stage16d,north,3,66.0,128.500,194.500,sprint,973,2346,1.8419,255,0,0,0
stage16d,north,3,68.0,128.500,196.500,sprint,971,2346,2.5847,255,0,0,0
stage16d,north,3,70.0,128.500,198.500,sprint,969,2346,2.5217,255,0,0,0
stage16d,north,3,72.0,128.500,200.500,sprint,967,2346,2.5145,306,0,0,0
stage16d,north,3,74.0,128.500,202.500,sprint,965,2295,2.7270,306,0,0,0
stage16d,north,3,76.0,128.500,204.500,sprint,963,2297,2.9164,304,0,0,0
stage16d,north,3,78.0,128.500,206.500,sprint,963,2300,2.9571,301,0,0,0
stage16d,north,3,80.0,128.500,208.500,sprint,963,2304,2.5198,348,0,0,0
stage16d,north,3,82.0,128.500,210.500,sprint,963,2254,2.1383,347,0,0,0
stage16d,north,3,84.0,128.500,212.500,sprint,963,2255,2.1077,346,0,0,0
stage16d,north,3,86.0,128.500,214.500,sprint,963,2258,2.5873,343,0,0,0
stage16d,north,3,88.0,128.500,216.500,sprint,963,2263,2.3465,389,0,0,0
stage16d,north,3,90.0,128.500,218.500,sprint,963,2217,2.5976,384,0,0,0
stage16d,north,3,92.0,128.500,220.500,sprint,963,2221,1.9346,380,0,0,0
stage16d,north,3,94.0,128.500,222.500,sprint,963,2224,1.8244,377,0,0,0
stage16d,north,3,96.0,128.500,224.500,sprint,963,2227,1.7634,425,0,0,0
stage16d,north,3,98.0,128.500,226.500,sprint,963,2180,1.7579,421,0,0,0
stage16d,north,3,100.0,128.500,228.500,sprint,963,2183,1.6301,418,0,0,0
stage16d,north,3,102.0,128.500,230.500,sprint,963,2186,1.7490,415,0,0,0
stage16d,north,3,104.0,128.500,232.500,sprint,963,2189,1.7527,463,0,0,0
stage16d,north,3,106.0,128.500,234.500,sprint,963,2140,1.6142,461,0,0,0
stage16d,north,3,108.0,128.500,236.500,sprint,963,2142,1.6578,459,0,0,0
stage16d,north,3,110.0,128.500,238.500,sprint,963,2142,1.2812,459,0,0,0
stage16d,north,3,112.0,128.500,240.500,sprint,963,2142,1.1477,510,0,0,0
stage16d,north,3,114.0,128.500,242.500,sprint,963,2091,1.1626,510,0,0,0
stage16d,north,3,116.0,128.500,244.500,sprint,963,2091,1.1683,510,0,0,0
stage16d,north,3,118.0,128.500,246.500,sprint,963,2091,1.1110,510,0,0,0
stage16d,north,3,120.0,128.500,248.500,sprint,963,2091,1.0422,561,0,0,0
stage16d,north,3,122.0,128.500,250.500,sprint,963,2040,1.0804,561,0,0,0
stage16d,north,3,124.0,128.500,252.500,sprint,963,2040,1.0101,561,0,0,0
stage16d,north,3,126.0,128.500,254.500,sprint,963,2040,1.0188,561,0,0,0
stage16d,north,3,128.0,128.500,256.500,sprint,963,2040,1.0192,612,0,0,0
stage16d,north,3,132.0,128.500,260.500,free_fly,961,1989,1.3143,612,0,0,0
stage16d,north,3,136.0,128.500,264.500,free_fly,959,1989,1.6297,663,0,0,0
stage16d,north,3,140.0,128.500,268.500,free_fly,957,1938,1.5601,663,0,0,0
stage16d,north,3,144.0,128.500,272.500,free_fly,957,1938,1.5577,714,0,0,0
stage16d,north,3,148.0,128.500,276.500,free_fly,957,1887,1.5384,714,0,0,0
stage16d,north,3,152.0,128.500,280.500,free_fly,957,1887,1.4695,765,0,0,0
stage16d,north,3,156.0,128.500,284.500,free_fly,957,1836,1.4702,765,0,0,0
stage16d,north,3,160.0,128.500,288.500,free_fly,957,1836,1.4278,816,0,0,0
stage16d,north,3,164.0,128.500,292.500,free_fly,957,1785,1.4356,816,0,0,0
stage16d,north,3,168.0,128.500,296.500,free_fly,957,1785,1.4204,867,0,0,0
stage16d,north,3,172.0,128.500,300.500,free_fly,957,1734,1.4622,867,0,0,0
stage16d,north,3,176.0,128.500,304.500,free_fly,957,1734,1.7672,918,0,0,0
stage16d,north,3,180.0,128.500,308.500,free_fly,957,1683,1.6422,918,0,0,0
stage16d,north,3,184.0,128.500,312.500,free_fly,957,1683,1.3695,969,0,0,0
stage16d,north,3,188.0,128.500,316.500,free_fly,957,1632,1.3180,969,0,0,0
stage16d,north,3,192.0,128.500,320.500,free_fly,957,1632,1.3533,1020,0,0,0
stage16d,north,3,196.0,128.500,324.500,free_fly,957,1581,1.3583,1020,0,0,0
stage16d,north,3,200.0,128.500,328.500,free_fly,957,1581,1.9664,1071,0,0,0
stage16d,north,3,204.0,128.500,332.500,free_fly,957,1530,1.5909,1071,0,0,0
stage16d,north,3,208.0,128.500,336.500,free_fly,957,1530,1.5464,1122,0,0,0
stage16d,north,3,212.0,128.500,340.500,free_fly,957,1479,1.6380,1122,0,0,0
stage16d,north,3,216.0,128.500,344.500,free_fly,957,1479,1.4150,1173,0,0,0
stage16d,north,3,220.0,128.500,348.500,free_fly,957,1428,2.1677,1173,0,0,0
stage16d,north,3,224.0,128.500,352.500,free_fly,957,1428,1.5716,1224,0,0,0
stage16d,north,3,228.0,128.500,356.500,free_fly,957,1377,1.5165,1224,0,0,0
stage16d,north,3,232.0,128.500,360.500,free_fly,957,1377,1.5403,1275,0,0,0
stage16d,north,3,236.0,128.500,364.500,free_fly,957,1326,1.5933,1275,0,0,0
stage16d,north,3,240.0,128.500,368.500,free_fly,957,1326,1.6047,1326,0,0,0
stage16d,north,3,244.0,128.500,372.500,free_fly,957,1275,1.7610,1326,0,0,0
stage16d,north,3,248.0,128.500,376.500,free_fly,957,1275,2.2634,1377,0,0,0
stage16d,north,3,252.0,128.500,380.500,free_fly,957,1224,1.8595,1377,0,0,0
stage16d,north,3,256.0,128.500,384.500,free_fly,957,1224,2.2093,1428,0,0,0
stage16d,north,3,260.0,128.500,388.500,free_fly,957,1173,1.9742,1428,0,0,0
stage16d,north,3,264.0,128.500,392.500,free_fly,957,1173,1.8256,1479,0,0,0
stage16d,north,3,268.0,128.500,396.500,free_fly,957,1122,1.8162,1479,0,0,0
stage16d,north,3,272.0,128.500,400.500,free_fly,957,1123,1.7864,1529,0,0,0
stage16d,north,3,276.0,128.500,404.500,free_fly,957,1075,2.0307,1526,0,0,0
stage16d,north,3,280.0,128.500,408.500,free_fly,957,1079,2.4343,1573,0,0,0
stage16d,north,3,284.0,128.500,412.500,free_fly,957,1029,1.8812,1572,0,0,0
stage16d,north,3,288.0,128.500,416.500,free_fly,957,1031,2.2137,1621,0,0,0
stage16d,north,3,292.0,128.500,420.500,free_fly,957,980,2.2535,1621,0,0,0
stage16d,north,3,296.0,128.500,424.500,free_fly,957,985,2.1534,1667,0,0,0
stage16d,north,3,300.0,128.500,428.500,free_fly,957,940,2.1658,1661,0,0,0
stage16d,north,3,304.0,128.500,432.500,free_fly,957,943,1.9809,1709,0,0,0
stage16d,north,3,308.0,128.500,436.500,free_fly,957,896,2.0813,1705,0,0,0
stage16d,north,3,312.0,128.500,440.500,free_fly,957,900,2.1461,1752,0,0,0
stage16d,north,3,316.0,128.500,444.500,free_fly,957,853,2.6130,1748,0,0,0
stage16d,north,3,320.0,128.500,448.500,free_fly,957,859,3.7550,1793,0,0,0
stage16d,north,3,324.0,128.500,452.500,free_fly,957,813,2.2941,1788,0,0,0
stage16d,north,3,328.0,128.500,456.500,free_fly,957,816,2.0838,1836,0,0,0
stage16d,north,3,332.0,128.500,460.500,free_fly,957,765,1.8104,1836,0,0,0
stage16d,north,3,336.0,128.500,464.500,free_fly,957,765,1.7134,1887,0,0,0
stage16d,north,3,340.0,128.500,468.500,free_fly,957,714,1.7593,1887,0,0,0
stage16d,north,3,344.0,128.500,472.500,free_fly,957,714,1.8613,1938,0,0,0
stage16d,north,3,348.0,128.500,476.500,free_fly,957,663,1.7833,1938,0,0,0
stage16d,north,3,352.0,128.500,480.500,free_fly,957,663,2.6099,1989,0,0,0
stage16d,north,3,356.0,128.500,484.500,free_fly,957,612,2.0537,1989,0,0,0
stage16d,north,3,360.0,128.500,488.500,free_fly,957,612,1.7546,2040,0,0,0
stage16d,north,3,364.0,128.500,492.500,free_fly,957,561,2.0651,2040,0,0,0
stage16d,north,3,368.0,128.500,496.500,free_fly,957,561,1.9168,2091,0,0,0
stage16d,north,3,372.0,128.500,500.500,free_fly,957,510,1.8645,2091,0,0,0
stage16d,north,3,376.0,128.500,504.500,free_fly,957,510,1.8993,2142,0,0,0
stage16d,north,3,380.0,128.500,508.500,free_fly,957,459,1.8985,2142,0,0,0
stage16d,north,3,384.0,128.500,512.500,free_fly,957,459,2.5340,2193,0,0,0
stage16d,north,3,388.0,128.500,516.500,free_fly,957,408,2.9917,2193,0,0,0
stage16d,north,3,392.0,128.500,520.500,free_fly,957,408,3.0338,2244,0,0,0
stage16d,north,3,396.0,128.500,524.500,free_fly,957,357,2.9624,2244,0,0,0
stage16d,north,3,400.0,128.500,528.500,free_fly,957,357,2.9350,2295,0,0,0
stage16d,north,3,404.0,128.500,532.500,free_fly,957,306,2.5988,2295,0,0,0
stage16d,north,3,408.0,128.500,536.500,free_fly,957,306,3.0393,2346,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,335,0.5049,2266,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,408,0.5766,2193,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,459,0.4481,2142,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,561,0.5040,2040,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,639,0.6523,1962,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,714,0.5392,1887,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,816,0.5007,1785,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,918,0.5201,1683,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1020,1.1925,1581,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1122,0.6794,1479,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1239,0.8915,1362,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1377,0.6523,1224,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1479,0.6183,1122,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1621,0.8621,980,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1769,0.8049,832,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,1938,0.7196,663,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,2091,0.9378,510,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,2265,0.9865,336,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,2448,1.3192,153,0,0,0
stage16d,north,4,408.0,128.500,536.500,settle_outer,957,2601,0.9057,0,0,0,0
stage16d,north,6,404.0,128.500,532.500,free_fly,957,2601,1.2578,51,1,0,0
stage16d,north,6,400.0,128.500,528.500,free_fly,957,2601,5.0042,0,1,0,0
stage16d,north,6,396.0,128.500,524.500,free_fly,957,2601,1.6785,51,0,0,0
stage16d,north,6,392.0,128.500,520.500,free_fly,957,2601,5.8824,0,0,0,0
stage16d,north,6,388.0,128.500,516.500,free_fly,957,2601,1.8754,51,0,0,0
stage16d,north,6,384.0,128.500,512.500,free_fly,957,2601,5.8032,0,0,0,0
stage16d,north,6,380.0,128.500,508.500,free_fly,957,2601,1.6661,51,0,0,0
stage16d,north,6,376.0,128.500,504.500,free_fly,957,2601,5.5971,0,0,0,0
stage16d,north,6,372.0,128.500,500.500,free_fly,957,2601,1.7937,51,0,0,0
stage16d,north,6,368.0,128.500,496.500,free_fly,957,2601,5.8536,0,0,0,0
stage16d,north,6,364.0,128.500,492.500,free_fly,957,2601,1.6478,51,0,0,0
stage16d,north,6,360.0,128.500,488.500,free_fly,957,2601,5.5551,0,0,0,0
stage16d,north,6,356.0,128.500,484.500,free_fly,957,2601,1.5796,51,0,0,0
stage16d,north,6,352.0,128.500,480.500,free_fly,957,2601,5.7806,0,0,0,0
stage16d,north,6,348.0,128.500,476.500,free_fly,957,2601,1.7700,51,0,0,0
stage16d,north,6,344.0,128.500,472.500,free_fly,957,2601,5.4925,0,0,0,0
stage16d,north,6,340.0,128.500,468.500,free_fly,957,2601,1.5413,51,0,0,0
stage16d,north,6,336.0,128.500,464.500,free_fly,957,2601,5.8990,0,0,0,0
stage16d,north,6,332.0,128.500,460.500,free_fly,957,2601,1.8567,51,0,0,0
stage16d,north,6,328.0,128.500,456.500,free_fly,957,2601,5.7481,0,0,0,0
stage16d,north,6,324.0,128.500,452.500,free_fly,957,2601,1.6915,51,0,0,0
stage16d,north,6,320.0,128.500,448.500,free_fly,957,2601,6.0785,0,0,0,0
stage16d,north,6,316.0,128.500,444.500,free_fly,957,2601,2.0923,51,0,0,0
stage16d,north,6,312.0,128.500,440.500,free_fly,957,2601,5.4216,0,0,0,0
stage16d,north,6,308.0,128.500,436.500,free_fly,957,2601,1.4838,51,0,0,0
stage16d,north,6,304.0,128.500,432.500,free_fly,957,2601,5.3168,0,0,0,0
stage16d,north,6,300.0,128.500,428.500,free_fly,957,2601,1.7021,51,0,0,0
stage16d,north,6,296.0,128.500,424.500,free_fly,957,2601,6.4424,0,0,0,0
stage16d,north,6,292.0,128.500,420.500,free_fly,957,2601,1.5181,51,0,0,0
stage16d,north,6,288.0,128.500,416.500,free_fly,957,2601,5.6650,0,0,0,0
stage16d,north,6,284.0,128.500,412.500,free_fly,957,2601,1.9447,51,0,0,0
stage16d,north,6,280.0,128.500,408.500,free_fly,957,2601,9.4391,0,0,0,0
stage16d,north,6,276.0,128.500,404.500,free_fly,957,2601,1.7288,51,0,0,0
