stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,126,0.2241,2475,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,209,0.6791,2392,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,290,0.3546,2311,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,385,0.4077,2216,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,508,0.5588,2093,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,654,0.5952,1947,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,788,0.3550,1813,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,921,0.5664,1680,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1047,0.3863,1554,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1155,0.5075,1446,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1281,0.4204,1320,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1419,0.6419,1182,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1557,0.8726,1044,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1721,0.6459,880,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,1912,0.7985,689,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,2153,0.7568,448,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,2308,0.5813,293,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,2471,0.8256,130,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.6467,0,0,0,0
stage16e,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.6327,0,0,0,0
stage16e,north,3,1.0,128.500,129.500,walk,830,2601,0.7659,0,1,0,0
stage16e,north,3,2.0,128.500,130.500,walk,863,2601,1.1876,0,1,0,0
stage16e,north,3,3.0,128.500,131.500,walk,896,2601,0.9360,0,1,0,0
stage16e,north,3,4.0,128.500,132.500,walk,929,2601,0.9573,0,1,0,0
stage16e,north,3,5.0,128.500,133.500,walk,947,2601,0.8661,0,1,0,0
stage16e,north,3,6.0,128.500,134.500,walk,957,2601,1.0034,0,1,0,0
stage16e,north,3,7.0,128.500,135.500,walk,963,2601,0.9903,0,1,0,0
stage16e,north,3,8.0,128.500,136.500,walk,967,2601,0.8380,51,1,0,0
stage16e,north,3,9.0,128.500,137.500,walk,969,2601,5.5425,0,0,0,0
stage16e,north,3,10.0,128.500,138.500,walk,971,2601,0.9493,0,0,0,0
stage16e,north,3,11.0,128.500,139.500,walk,973,2601,0.8380,0,0,0,0
stage16e,north,3,12.0,128.500,140.500,walk,975,2601,0.8620,0,0,0,0
stage16e,north,3,13.0,128.500,141.500,walk,975,2601,1.1332,0,0,0,0
stage16e,north,3,14.0,128.500,142.500,walk,975,2601,1.5439,0,0,0,0
stage16e,north,3,15.0,128.500,143.500,walk,975,2601,1.3719,0,0,0,0
stage16e,north,3,16.0,128.500,144.500,walk,975,2601,1.2611,51,0,0,0
stage16e,north,3,17.0,128.500,145.500,walk,975,2601,6.8649,0,0,0,0
stage16e,north,3,18.0,128.500,146.500,walk,975,2601,0.8863,0,0,0,0
stage16e,north,3,19.0,128.500,147.500,walk,975,2601,0.8301,0,0,0,0
stage16e,north,3,20.0,128.500,148.500,walk,975,2601,0.9107,0,0,0,0
stage16e,north,3,21.0,128.500,149.500,walk,975,2601,0.9488,0,0,0,0
stage16e,north,3,22.0,128.500,150.500,walk,975,2601,0.9688,0,0,0,0
stage16e,north,3,23.0,128.500,151.500,walk,975,2601,1.4299,0,0,0,0
stage16e,north,3,24.0,128.500,152.500,walk,975,2601,1.7278,51,0,0,0
stage16e,north,3,25.0,128.500,153.500,walk,975,2582,4.8665,19,0,0,0
