TransferId,EdgeId,Class,RequestedMass,AdmittedMass,SourceMassBefore,SourceMassAfter,DestinationMassBefore,DestinationMassAfter,InputSrcRev,InputDstRev,OutputSrcRev,OutputDstRev
c3c5255c0c919189,00099184cbb77f9d,other_certified,1,1,24982,24981,26385,26386,1,1,2,2
2b47ff3e5c622696,0010ea852b9f1db8,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
48532006d7546fe0,0037d2e91c8aaa79,other_certified,12656,12656,12682,26,12701,25357,1,1,2,2
b342a4f849869c78,0066a7799f9b261d,other_certified,10932,10932,10958,26,10965,21897,1,1,2,2
804cbc44bfe6c9c3,00b4223014a5d75e,other_certified,4966,4966,4992,26,6787,11753,1,1,2,2
fd0e54bdbfdaf8ef,00be6a2923f93e92,mixed_downstream,1,1,19376,19375,531640,531641,1,1,2,2
23b7a62f004ed4b9,00cc1b31ebce9eaa,mixed_downstream,6563,6563,19569,13006,200811,207374,1,1,2,2
69c0acb6a3b3e9c4,00d80a4accb28dbb,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
66f0d2f863c7f683,00db2fc0f77f9acb,lake_to_river,67840,67840,168466,100626,56210,124050,1,1,2,2
2b7a999124cfda8b,012801b61b0131d5,mixed_downstream,14898,14898,14976,78,256061,270959,1,1,2,2
d7b60d87d0cce007,014d0a7fb478b1a9,other_certified,714,714,4992,4278,4992,5706,1,1,2,2
e41d23b24ec4ed0a,0177f131e9a555c8,other_certified,933,933,4992,4059,4992,5925,1,1,2,2
c12d1420c962ea6c,01ab68cff266539c,other_certified,190,190,20454,20264,20465,20655,1,1,2,2
85211a56649468db,01b4c5a0c00a6f1d,other_certified,10864,10864,10890,26,4364,15228,1,1,2,2
04688d6cfd05b853,01dfe0f6ac2d4437,mixed_downstream,28757,28757,116177,87420,12787,41544,1,1,2,2
8b31cd50ce9e7fcc,01e93cfea906f3de,other_certified,12383,12383,24083,11700,12066,24449,1,1,2,2
46897cb579cfd2ce,02143630dbe8e521,other_certified,1,1,18421,18420,43537,43538,1,1,2,2
83002ea51fc73080,021a9fcba80a37bf,mixed_downstream,21247,21247,57437,36190,36324,57571,1,1,2,2
