stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms,pending_packages,workers_idle,column_queue,pending_kind
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,1125,0.4221,1476,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,1249,0.4486,1352,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,1376,0.4567,1225,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,1515,0.6931,1086,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,1664,0.5846,937,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,1836,0.7746,765,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,2068,0.5513,533,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,2262,0.5563,339,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,2392,0.6399,209,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,2588,0.5833,13,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.5909,0,0,0,0
stage16f3,north,1,0.0,128.500,128.500,settle_origin,797,2601,0.6646,0,0,0,0
stage16f3,north,3,1.0,128.500,129.500,walk,830,2601,0.8133,0,1,0,0
stage16f3,north,3,2.0,128.500,130.500,walk,863,2601,0.8787,0,1,0,0
stage16f3,north,3,3.0,128.500,131.500,walk,896,2601,0.8141,0,1,0,0
stage16f3,north,3,4.0,128.500,132.500,walk,929,2601,0.7965,0,1,0,0
stage16f3,north,3,5.0,128.500,133.500,walk,947,2601,0.8197,0,1,0,0
stage16f3,north,3,6.0,128.500,134.500,walk,957,2601,0.8079,0,1,0,0
stage16f3,north,3,7.0,128.500,135.500,walk,963,2601,0.8058,0,1,0,0
stage16f3,north,3,8.0,128.500,136.500,walk,967,2601,0.8126,51,1,0,0
stage16f3,north,3,9.0,128.500,137.500,walk,969,2601,5.3239,0,0,0,0
stage16f3,north,3,10.0,128.500,138.500,walk,971,2601,0.8564,0,0,0,0
stage16f3,north,3,11.0,128.500,139.500,walk,973,2601,1.0088,0,0,0,0
stage16f3,north,3,12.0,128.500,140.500,walk,975,2601,1.1842,0,0,0,0
stage16f3,north,3,13.0,128.500,141.500,walk,975,2601,1.2421,0,0,0,0
stage16f3,north,3,14.0,128.500,142.500,walk,975,2601,0.8473,0,0,0,0
stage16f3,north,3,15.0,128.500,143.500,walk,975,2601,0.8190,0,0,0,0
stage16f3,north,3,16.0,128.500,144.500,walk,975,2601,0.8327,51,0,0,0
stage16f3,north,3,17.0,128.500,145.500,walk,975,2601,5.7334,0,0,0,0
stage16f3,north,3,18.0,128.500,146.500,walk,975,2601,0.8924,0,0,0,0
stage16f3,north,3,19.0,128.500,147.500,walk,975,2601,0.8420,0,0,0,0
stage16f3,north,3,20.0,128.500,148.500,walk,975,2601,0.9205,0,0,0,0
stage16f3,north,3,21.0,128.500,149.500,walk,975,2601,0.9665,0,0,0,0
stage16f3,north,3,22.0,128.500,150.500,walk,975,2601,0.9718,0,0,0,0
stage16f3,north,3,23.0,128.500,151.500,walk,975,2601,1.0979,0,0,0,0
stage16f3,north,3,24.0,128.500,152.500,walk,975,2601,1.0473,51,0,0,0
stage16f3,north,3,25.0,128.500,153.500,walk,975,2579,3.6338,22,0,0,0
stage16f3,north,3,26.0,128.500,154.500,walk,975,2586,1.6554,15,0,0,0
stage16f3,north,3,27.0,128.500,155.500,walk,975,2589,1.5584,12,0,0,0
stage16f3,north,3,28.0,128.500,156.500,walk,975,2592,1.4809,9,0,0,0
stage16f3,north,3,29.0,128.500,157.500,walk,975,2595,1.3943,6,0,0,0
stage16f3,north,3,30.0,128.500,158.500,walk,975,2598,1.4735,3,0,0,0
stage16f3,north,3,31.0,128.500,159.500,walk,975,2600,1.3933,1,0,0,0
stage16f3,north,3,32.0,128.500,160.500,walk,975,2601,1.3337,51,0,0,0
stage16f3,north,3,33.0,128.500,161.500,walk,975,2550,1.9320,51,0,0,0
stage16f3,north,3,34.0,128.500,162.500,walk,975,2550,1.5458,51,0,0,0
stage16f3,north,3,35.0,128.500,163.500,walk,975,2550,1.5292,51,0,0,0
stage16f3,north,3,36.0,128.500,164.500,walk,975,2550,1.3837,51,0,0,0
stage16f3,north,3,37.0,128.500,165.500,walk,975,2550,1.5394,51,0,0,0
stage16f3,north,3,38.0,128.500,166.500,walk,975,2550,1.5072,51,0,0,0
stage16f3,north,3,39.0,128.500,167.500,walk,975,2550,1.4383,51,0,0,0
