stage,bearing,phase,distance_m,x,y,mode,resident_cells,resident_packages,frame_ms
stage0,north,3,1.0,128.500,129.500,walk,12982,2601,0.5873
stage0,north,3,2.0,128.500,130.500,walk,13111,2601,1.1978
stage0,north,3,3.0,128.500,131.500,walk,13240,2601,0.7234
stage0,north,3,4.0,128.500,132.500,walk,13369,2601,0.7237
stage0,north,3,5.0,128.500,133.500,walk,13441,2601,0.7451
stage0,north,3,6.0,128.500,134.500,walk,13479,2601,0.7149
stage0,north,3,7.0,128.500,135.500,walk,13505,2601,0.8227
stage0,north,3,8.0,128.500,136.500,walk,13523,2550,0.8042
stage0,north,3,9.0,128.500,137.500,walk,13535,2601,5.1021
stage0,north,3,10.0,128.500,138.500,walk,13545,2601,0.8610
stage0,north,3,11.0,128.500,139.500,walk,13553,2601,0.8019
stage0,north,3,12.0,128.500,140.500,walk,13559,2601,0.7820
stage0,north,3,13.0,128.500,141.500,walk,13563,2601,0.7808
stage0,north,3,14.0,128.500,142.500,walk,13567,2601,0.7312
stage0,north,3,15.0,128.500,143.500,walk,13569,2601,0.7259
stage0,north,3,16.0,128.500,144.500,walk,13571,2550,0.7249
stage0,north,3,17.0,128.500,145.500,walk,13573,2601,4.8977
stage0,north,3,18.0,128.500,146.500,walk,13575,2601,0.8597
stage0,north,3,19.0,128.500,147.500,walk,13577,2601,1.1304
stage0,north,3,20.0,128.500,148.500,walk,13579,2601,0.9155
stage0,north,3,21.0,128.500,149.500,walk,13581,2601,0.9042
stage0,north,3,22.0,128.500,150.500,walk,13583,2601,1.0381
stage0,north,3,23.0,128.500,151.500,walk,13583,2601,0.9593
stage0,north,3,24.0,128.500,152.500,walk,13583,2550,0.8066
stage0,north,3,25.0,128.500,153.500,walk,13583,2601,4.7508
stage0,north,3,26.0,128.500,154.500,walk,13583,2601,0.8525
stage0,north,3,27.0,128.500,155.500,walk,13583,2601,0.7882
stage0,north,3,28.0,128.500,156.500,walk,13583,2601,0.7598
stage0,north,3,29.0,128.500,157.500,walk,13583,2601,0.7550
stage0,north,3,30.0,128.500,158.500,walk,13583,2601,0.7529
stage0,north,3,31.0,128.500,159.500,walk,13583,2601,0.7701
stage0,north,3,32.0,128.500,160.500,walk,13583,2550,0.7550
stage0,north,3,33.0,128.500,161.500,walk,13583,2601,5.2048
stage0,north,3,34.0,128.500,162.500,walk,13583,2601,0.8278
stage0,north,3,35.0,128.500,163.500,walk,13583,2601,0.7648
stage0,north,3,36.0,128.500,164.500,walk,13583,2601,0.7513
stage0,north,3,37.0,128.500,165.500,walk,13583,2601,0.7515
stage0,north,3,38.0,128.500,166.500,walk,13583,2601,0.7497
stage0,north,3,39.0,128.500,167.500,walk,13583,2601,0.7510
stage0,north,3,40.0,128.500,168.500,walk,13583,2550,0.7587
stage0,north,3,41.0,128.500,169.500,walk,13583,2601,4.6761
stage0,north,3,42.0,128.500,170.500,walk,13583,2601,0.8372
stage0,north,3,43.0,128.500,171.500,walk,13583,2601,0.7749
stage0,north,3,44.0,128.500,172.500,walk,13583,2601,0.8241
stage0,north,3,45.0,128.500,173.500,walk,13583,2601,1.0847
stage0,north,3,46.0,128.500,174.500,walk,13583,2601,0.9383
stage0,north,3,47.0,128.500,175.500,walk,13583,2601,0.8311
stage0,north,3,48.0,128.500,176.500,walk,13583,2550,0.7708
stage0,north,3,49.0,128.500,177.500,walk,13583,2601,4.5190
stage0,north,3,50.0,128.500,178.500,walk,13583,2601,0.8173
stage0,north,3,51.0,128.500,179.500,walk,13583,2601,0.7743
stage0,north,3,52.0,128.500,180.500,walk,13583,2601,0.8065
stage0,north,3,53.0,128.500,181.500,walk,13583,2601,0.7724
stage0,north,3,54.0,128.500,182.500,walk,13583,2601,0.7953
stage0,north,3,55.0,128.500,183.500,walk,13583,2601,0.7674
stage0,north,3,56.0,128.500,184.500,walk,13583,2550,0.7744
stage0,north,3,57.0,128.500,185.500,walk,13583,2601,5.4986
stage0,north,3,58.0,128.500,186.500,walk,13583,2601,0.9637
stage0,north,3,59.0,128.500,187.500,walk,13583,2601,0.8030
stage0,north,3,60.0,128.500,188.500,walk,13583,2601,0.8039
stage0,north,3,61.0,128.500,189.500,walk,13583,2601,0.8468
stage0,north,3,62.0,128.500,190.500,walk,13583,2601,0.7946
stage0,north,3,63.0,128.500,191.500,walk,13583,2601,0.7775
stage0,north,3,64.0,128.500,192.500,walk,13583,2550,0.7765
stage0,north,3,66.0,128.500,194.500,sprint,13581,2601,4.4420
stage0,north,3,68.0,128.500,196.500,sprint,13579,2601,0.8452
stage0,north,3,70.0,128.500,198.500,sprint,13577,2601,0.8107
stage0,north,3,72.0,128.500,200.500,sprint,13575,2550,0.8022
stage0,north,3,74.0,128.500,202.500,sprint,13573,2601,4.8404
stage0,north,3,76.0,128.500,204.500,sprint,13571,2601,1.0166
stage0,north,3,78.0,128.500,206.500,sprint,13569,2601,0.8967
stage0,north,3,80.0,128.500,208.500,sprint,13567,2550,0.8554
stage0,north,3,82.0,128.500,210.500,sprint,13565,2601,4.9274
stage0,north,3,84.0,128.500,212.500,sprint,13563,2601,0.8646
stage0,north,3,86.0,128.500,214.500,sprint,13561,2601,0.8184
stage0,north,3,88.0,128.500,216.500,sprint,13561,2550,0.8221
stage0,north,3,90.0,128.500,218.500,sprint,13561,2601,5.1526
stage0,north,3,92.0,128.500,220.500,sprint,13561,2601,0.9781
stage0,north,3,94.0,128.500,222.500,sprint,13561,2601,0.8900
stage0,north,3,96.0,128.500,224.500,sprint,13561,2550,0.8382
stage0,north,3,98.0,128.500,226.500,sprint,13561,2601,4.8945
stage0,north,3,100.0,128.500,228.500,sprint,13561,2601,1.1113
stage0,north,3,102.0,128.500,230.500,sprint,13561,2601,0.8879
stage0,north,3,104.0,128.500,232.500,sprint,13561,2550,0.8631
stage0,north,3,106.0,128.500,234.500,sprint,13561,2601,5.4065
stage0,north,3,108.0,128.500,236.500,sprint,13561,2601,1.1552
stage0,north,3,110.0,128.500,238.500,sprint,13561,2601,0.9579
stage0,north,3,112.0,128.500,240.500,sprint,13561,2550,0.9906
stage0,north,3,114.0,128.500,242.500,sprint,13561,2601,4.6905
stage0,north,3,116.0,128.500,244.500,sprint,13561,2601,0.9090
stage0,north,3,118.0,128.500,246.500,sprint,13561,2601,0.8651
stage0,north,3,120.0,128.500,248.500,sprint,13561,2550,0.8767
stage0,north,3,122.0,128.500,250.500,sprint,13561,2601,5.1582
stage0,north,3,124.0,128.500,252.500,sprint,13561,2601,1.0731
stage0,north,3,126.0,128.500,254.500,sprint,13561,2601,1.0558
stage0,north,3,128.0,128.500,256.500,sprint,13561,2550,0.9464
stage0,north,3,132.0,128.500,260.500,free_fly,13559,2601,4.6628
stage0,north,3,136.0,128.500,264.500,free_fly,13557,2550,0.9518
stage0,north,3,140.0,128.500,268.500,free_fly,13555,2601,5.1796
stage0,north,3,144.0,128.500,272.500,free_fly,13553,2550,0.9946
stage0,north,3,148.0,128.500,276.500,free_fly,13551,2601,4.8227
stage0,north,3,152.0,128.500,280.500,free_fly,13549,2550,1.0849
stage0,north,3,156.0,128.500,284.500,free_fly,13549,2601,4.7419
stage0,north,3,160.0,128.500,288.500,free_fly,13549,2550,0.9706
stage0,north,3,164.0,128.500,292.500,free_fly,13549,2601,5.2850
